period_end,air_temp,cloud_opacity,ghi,period
2024-06-10T10:00:00Z,0.0,0.0,0.0,0
2024-06-10T11:00:00Z,0.0,0.0,0.0,0
2024-06-10T12:00:00Z,20.0,62.0,309.0,PT1H
2024-06-10T13:00:00Z,22.0,10.0,753.0,PT1H
2024-06-10T14:00:00Z,24.0,25.0,606.0,PT1H
2024-06-10T15:00:00Z,24.0,33.0,503.0,PT1H
2024-06-10T16:00:00Z,24.0,40.0,387.0,PT1H
2024-06-10T17:00:00Z,24.0,40.0,293.0,PT1H
2024-06-10T18:00:00Z,25.0,34.0,215.0,PT1H
2024-06-10T19:00:00Z,23.0,40.0,103.0,PT1H
2024-06-10T20:00:00Z,20.0,44.0,26.0,PT1H
2024-06-10T21:00:00Z,18.0,40.0,0.0,PT1H
2024-06-10T22:00:00Z,18.0,37.0,0.0,PT1H
2024-06-10T23:00:00Z,18.0,33.0,0.0,PT1H
2024-06-11,17.0,31.0,0.0,PT1H
2024-06-11T01:00:00Z,16.0,29.0,0.0,PT1H
2024-06-11T02:00:00Z,16.0,28.0,0.0,PT1H
2024-06-11T03:00:00Z,16.0,25.0,0.0,PT1H
2024-06-11T04:00:00Z,15.0,24.0,0.0,PT1H
2024-06-11T05:00:00Z,14.0,23.0,3.0,PT1H
2024-06-11T06:00:00Z,15.0,16.0,68.0,PT1H
2024-06-11T07:00:00Z,17.0,3.0,218.0,PT1H
2024-06-11T08:00:00Z,18.0,0.0,392.0,PT1H
2024-06-11T09:00:00Z,20.0,0.0,558.0,PT1H
2024-06-11T10:00:00Z,22.0,0.0,700.0,PT1H
2024-06-11T11:00:00Z,23.0,6.0,759.0,PT1H
2024-06-11T12:00:00Z,23.0,19.0,708.0,PT1H
2024-06-11T13:00:00Z,23.0,29.0,636.0,PT1H
2024-06-11T14:00:00Z,23.0,39.0,531.0,PT1H
2024-06-11T15:00:00Z,21.0,43.0,454.0,PT1H
2024-06-11T16:00:00Z,20.0,43.0,388.0,PT1H
2024-06-11T17:00:00Z,20.0,42.0,310.0,PT1H
2024-06-11T18:00:00Z,20.0,35.0,240.0,PT1H
2024-06-11T19:00:00Z,19.0,28.0,147.0,PT1H
2024-06-11T20:00:00Z,18.0,27.0,45.0,PT1H
2024-06-11T21:00:00Z,16.0,26.0,1.0,PT1H
2024-06-11T22:00:00Z,15.0,25.0,0.0,PT1H
2024-06-11T23:00:00Z,15.0,26.0,0.0,PT1H
2024-06-12,15.0,30.0,0.0,PT1H
2024-06-12T01:00:00Z,14.0,32.0,0.0,PT1H
2024-06-12T02:00:00Z,15.0,33.0,0.0,PT1H
