,period_end,air_temp,cloud_opacity,ghi,period
0,2024-05-18 16:30:00,19.0,38.0,338.0,PT30M
1,2024-05-18 16:45:00,19.0,42.5,290.5,
2,2024-05-18 17:00:00,19.0,47.0,243.0,PT30M
3,2024-05-18 17:15:00,19.0,50.5,206.0,
4,2024-05-18 17:30:00,19.0,54.0,169.0,PT30M
5,2024-05-18 17:45:00,19.0,45.5,173.5,
6,2024-05-18 18:00:00,19.0,37.0,178.0,PT30M
7,2024-05-18 18:15:00,18.5,30.5,164.0,
8,2024-05-18 18:30:00,18.0,24.0,150.0,PT30M
9,2024-05-18 18:45:00,17.0,21.5,123.0,
10,2024-05-18 19:00:00,16.0,19.0,96.0,PT30M
11,2024-05-18 19:15:00,15.5,19.0,69.0,
12,2024-05-18 19:30:00,15.0,19.0,42.0,PT30M
13,2024-05-18 19:45:00,14.5,18.0,24.0,
14,2024-05-18 20:00:00,14.0,17.0,6.0,PT30M
15,2024-05-18 20:15:00,13.5,16.5,3.0,
16,2024-05-18 20:30:00,13.0,16.0,0.0,PT30M
17,2024-05-18 20:45:00,13.0,16.0,0.0,
18,2024-05-18 21:00:00,13.0,16.0,0.0,PT30M
19,2024-05-18 21:15:00,12.5,16.0,0.0,
20,2024-05-18 21:30:00,12.0,16.0,0.0,PT30M
21,2024-05-18 21:45:00,12.0,15.5,0.0,
22,2024-05-18 22:00:00,12.0,15.0,0.0,PT30M
23,2024-05-18 22:15:00,12.0,15.0,0.0,
24,2024-05-18 22:30:00,12.0,15.0,0.0,PT30M
25,2024-05-18 22:45:00,12.0,15.0,0.0,
26,2024-05-18 23:00:00,12.0,15.0,0.0,PT30M
27,2024-05-18 23:15:00,12.0,14.5,0.0,
28,2024-05-18 23:30:00,12.0,14.0,0.0,PT30M
29,2024-05-18 23:45:00,11.5,14.0,0.0,
30,2024-05-19 00:00:00,11.0,14.0,0.0,PT30M
31,2024-05-19 00:15:00,11.0,13.5,0.0,
32,2024-05-19 00:30:00,11.0,13.0,0.0,PT30M
33,2024-05-19 00:45:00,11.0,12.5,0.0,
34,2024-05-19 01:00:00,11.0,12.0,0.0,PT30M
35,2024-05-19 01:15:00,11.0,12.0,0.0,
36,2024-05-19 01:30:00,11.0,12.0,0.0,PT30M
37,2024-05-19 01:45:00,10.75,11.75,0.0,
38,2024-05-19 02:00:00,10.5,11.5,0.0,
39,2024-05-19 02:15:00,10.25,11.25,0.0,
40,2024-05-19 02:30:00,10.0,11.0,0.0,PT30M
41,2024-05-19 02:45:00,10.0,11.0,0.0,
42,2024-05-19 03:00:00,10.0,11.0,0.0,PT30M
43,2024-05-19 03:15:00,10.0,10.5,0.0,
44,2024-05-19 03:30:00,10.0,10.0,0.0,PT30M
45,2024-05-19 03:45:00,10.0,10.0,0.0,
46,2024-05-19 04:00:00,10.0,10.0,0.0,PT30M
47,2024-05-19 04:15:00,10.0,5.0,0.0,
48,2024-05-19 04:30:00,10.0,0.0,0.0,PT30M
49,2024-05-19 04:45:00,10.0,0.0,0.5,
50,2024-05-19 05:00:00,10.0,0.0,1.0,PT30M
51,2024-05-19 05:15:00,10.0,0.0,17.0,
52,2024-05-19 05:30:00,10.0,0.0,33.0,PT30M
53,2024-05-19 05:45:00,10.5,0.0,64.5,
54,2024-05-19 06:00:00,11.0,0.0,96.0,PT30M
55,2024-05-19 06:15:00,11.5,2.0,131.0,
56,2024-05-19 06:30:00,12.0,4.0,166.0,PT30M
57,2024-05-19 06:45:00,12.0,3.0,210.0,
58,2024-05-19 07:00:00,12.0,2.0,254.0,PT30M
59,2024-05-19 07:15:00,12.5,1.0,300.5,
60,2024-05-19 07:30:00,13.0,0.0,347.0,PT30M
61,2024-05-19 07:45:00,13.5,0.0,391.5,
62,2024-05-19 08:00:00,14.0,0.0,436.0,PT30M
