air_temp,cloud_opacity,ghi,period_end,period
11,12,155,2024-05-19T04:30:00Z,PT30M
12,2,256,2024-05-19T05:00:00Z,PT30M
13,10,313,2024-05-19T05:30:00Z,PT30M
14,19,354,2024-05-19T06:00:00Z,PT30M
15,13,455,2024-05-19T06:30:00Z,PT30M
16,9,546,2024-05-19T07:00:00Z,PT30M
17,12,596,2024-05-19T07:30:00Z,PT30M
18,5,703,2024-05-19T08:00:00Z,PT30M
19,0,798,2024-05-19T08:30:00Z,PT30M
19,0,842,2024-05-19T09:00:00Z,PT30M
20,0,874,2024-05-19T09:30:00Z,PT30M
21,2,877,2024-05-19T10:00:00Z,PT30M
21,5,859,2024-05-19T10:30:00Z,PT30M
22,8,829,2024-05-19T11:00:00Z,PT30M
22,10,795,2024-05-19T11:30:00Z,PT30M
22,12,751,2024-05-19T12:00:00Z,PT30M
22,15,685,2024-05-19T12:30:00Z,PT30M
22,22,591,2024-05-19T13:00:00Z,PT30M
22,26,509,2024-05-19T13:30:00Z,PT30M
21,29,440,2024-05-19T14:00:00Z,PT30M
21,29,385,2024-05-19T14:30:00Z,PT30M
21,25,347,2024-05-19T15:00:00Z,PT30M
21,20,299,2024-05-19T15:30:00Z,PT30M
21,18,235,2024-05-19T16:00:00Z,PT30M
20,17,168,2024-05-19T16:30:00Z,PT30M
19,16,103,2024-05-19T17:00:00Z,PT30M
18,17,46,2024-05-19T17:30:00Z,PT30M
16,17,7,2024-05-19T18:00:00Z,PT30M
16,16,0,2024-05-19T18:30:00Z,PT30M
15,16,0,2024-05-19T19:00:00Z,PT30M
15,16,0,2024-05-19T19:30:00Z,PT30M
14,15,0,2024-05-19T20:00:00Z,PT30M
14,15,0,2024-05-19T20:30:00Z,PT30M
14,16,0,2024-05-19T21:00:00Z,PT30M
14,16,0,2024-05-19T21:30:00Z,PT30M
13,16,0,2024-05-19T22:00:00Z,PT30M
13,17,0,2024-05-19T22:30:00Z,PT30M
13,17,0,2024-05-19T23:00:00Z,PT30M
13,18,0,2024-05-19T23:30:00Z,PT30M
12,20,0,2024-05-20,PT30M
12,21,0,2024-05-20T00:30:00Z,PT30M
12,21,0,2024-05-20T01:00:00Z,PT30M
12,21,0,2024-05-20T01:30:00Z,PT30M
11,21,0,2024-05-20T02:00:00Z,PT30M
11,21,0,2024-05-20T02:30:00Z,PT30M
11,22,1,2024-05-20T03:00:00Z,PT30M
11,23,22,2024-05-20T03:30:00Z,PT30M
12,24,64,2024-05-20T04:00:00Z,PT30M
13,25,118,2024-05-20T04:30:00Z,PT30M
14,26,178,2024-05-20T05:00:00Z,PT30M
15,26,240,2024-05-20T05:30:00Z,PT30M
15,28,300,2024-05-20T06:00:00Z,PT30M
16,28,362,2024-05-20T06:30:00Z,PT30M
17,25,433,2024-05-20T07:00:00Z,PT30M
18,24,495,2024-05-20T07:30:00Z,PT30M
18,24,546,2024-05-20T08:00:00Z,PT30M
19,22,605,2024-05-20T08:30:00Z,PT30M
20,19,665,2024-05-20T09:00:00Z,PT30M
21,17,705,2024-05-20T09:30:00Z,PT30M
22,16,733,2024-05-20T10:00:00Z,PT30M
22,15,747,2024-05-20T10:30:00Z,PT30M
22,14,749,2024-05-20T11:00:00Z,PT30M
23,14,735,2024-05-20T11:30:00Z,PT30M
23,15,701,2024-05-20T12:00:00Z,PT30M
23,15,670,2024-05-20T12:30:00Z,PT30M
23,14,628,2024-05-20T13:00:00Z,PT30M
23,17,555,2024-05-20T13:30:00Z,PT30M
23,22,469,2024-05-20T14:00:00Z,PT30M
23,28,378,2024-05-20T14:30:00Z,PT30M
23,33,291,2024-05-20T15:00:00Z,PT30M
23,37,220,2024-05-20T15:30:00Z,PT30M
23,38,164,2024-05-20T16:00:00Z,PT30M
22,37,116,2024-05-20T16:30:00Z,PT30M
21,34,72,2024-05-20T17:00:00Z,PT30M
19,29,34,2024-05-20T17:30:00Z,PT30M
18,22,6,2024-05-20T18:00:00Z,PT30M
17,21,0,2024-05-20T18:30:00Z,PT30M
16,24,0,2024-05-20T19:00:00Z,PT30M
16,26,0,2024-05-20T19:30:00Z,PT30M
15,25,0,2024-05-20T20:00:00Z,PT30M
14,25,0,2024-05-20T20:30:00Z,PT30M
14,23,0,2024-05-20T21:00:00Z,PT30M
14,23,0,2024-05-20T21:30:00Z,PT30M
14,23,0,2024-05-20T22:00:00Z,PT30M
13,22,0,2024-05-20T22:30:00Z,PT30M
13,20,0,2024-05-20T23:00:00Z,PT30M
13,20,0,2024-05-20T23:30:00Z,PT30M
13,20,0,2024-05-21,PT30M
12,20,0,2024-05-21T00:30:00Z,PT30M
12,20,0,2024-05-21T01:00:00Z,PT30M
12,21,0,2024-05-21T01:30:00Z,PT30M
12,22,0,2024-05-21T02:00:00Z,PT30M
12,22,0,2024-05-21T02:30:00Z,PT30M
11,23,1,2024-05-21T03:00:00Z,PT30M
12,24,22,2024-05-21T03:30:00Z,PT30M
12,24,63,2024-05-21T04:00:00Z,PT30M
13,24,117,2024-05-21T04:30:00Z,PT30M
14,25,177,2024-05-21T05:00:00Z,PT30M
15,25,239,2024-05-21T05:30:00Z,PT30M
16,27,296,2024-05-21T06:00:00Z,PT30M
16,26,361,2024-05-21T06:30:00Z,PT30M
17,22,445,2024-05-21T07:00:00Z,PT30M
18,18,529,2024-05-21T07:30:00Z,PT30M
18,13,618,2024-05-21T08:00:00Z,PT30M
19,7,716,2024-05-21T08:30:00Z,PT30M
20,2,792,2024-05-21T09:00:00Z,PT30M
20,4,813,2024-05-21T09:30:00Z,PT30M
21,7,808,2024-05-21T10:00:00Z,PT30M
21,9,800,2024-05-21T10:30:00Z,PT30M
21,9,790,2024-05-21T11:00:00Z,PT30M
22,9,781,2024-05-21T11:30:00Z,PT30M
22,7,769,2024-05-21T12:00:00Z,PT30M
22,7,732,2024-05-21T12:30:00Z,PT30M
22,12,648,2024-05-21T13:00:00Z,PT30M
22,18,555,2024-05-21T13:30:00Z,PT30M
22,23,464,2024-05-21T14:00:00Z,PT30M
22,27,383,2024-05-21T14:30:00Z,PT30M
22,29,313,2024-05-21T15:00:00Z,PT30M
