air_temp,cloud_opacity,ghi,period_end,period
25,22,646,2024-07-25T12:00:00Z,PT15M
25,18,663,2024-07-25T12:15:00Z,PT15M
25,10,713,2024-07-25T12:30:00Z,PT15M
25,19,625,2024-07-25T12:45:00Z,PT15M
26,23,569,2024-07-25T13:00:00Z,PT15M
25,23,548,2024-07-25T13:15:00Z,PT15M
25,25,512,2024-07-25T13:30:00Z,PT15M
25,31,449,2024-07-25T13:45:00Z,PT15M
25,37,389,2024-07-25T14:00:00Z,PT15M
24,34,383,2024-07-25T14:15:00Z,PT15M
24,28,392,2024-07-25T14:30:00Z,PT15M
23,25,380,2024-07-25T14:45:00Z,PT15M
23,25,348,2024-07-25T15:00:00Z,PT15M
22,27,309,2024-07-25T15:15:00Z,PT15M
22,29,273,2024-07-25T15:30:00Z,PT15M
22,30,240,2024-07-25T15:45:00Z,PT15M
22,30,207,2024-07-25T16:00:00Z,PT15M
22,29,180,2024-07-25T16:15:00Z,PT15M
22,27,156,2024-07-25T16:30:00Z,PT15M
22,25,129,2024-07-25T16:45:00Z,PT15M
22,24,101,2024-07-25T17:00:00Z,PT15M
21,24,72,2024-07-25T17:15:00Z,PT15M
20,24,47,2024-07-25T17:30:00Z,PT15M
20,24,25,2024-07-25T17:45:00Z,PT15M
19,23,8,2024-07-25T18:00:00Z,PT15M
19,22,0,2024-07-25T18:15:00Z,PT15M
19,22,0,2024-07-25T18:30:00Z,PT15M
19,22,0,2024-07-25T18:45:00Z,PT15M
19,21,0,2024-07-25T19:00:00Z,PT15M
18,21,0,2024-07-25T19:15:00Z,PT15M
18,21,0,2024-07-25T19:30:00Z,PT15M
18,20,0,2024-07-25T19:45:00Z,PT15M
17,20,0,2024-07-25T20:00:00Z,PT15M
17,20,0,2024-07-25T20:15:00Z,PT15M
16,19,0,2024-07-25T20:30:00Z,PT15M
16,19,0,2024-07-25T20:45:00Z,PT15M
16,18,0,2024-07-25T21:00:00Z,PT15M
16,18,0,2024-07-25T21:15:00Z,PT15M
