air_temp,ghi,cloud_opacity,period_end,period
25,833,0,2024-06-25T08:45:00Z,PT15M
24,810,0,2024-06-25T08:30:00Z,PT15M
24,784,0,2024-06-25T08:15:00Z,PT15M
24,757,0,2024-06-25T08:00:00Z,PT15M
23,726,0,2024-06-25T07:45:00Z,PT15M
23,694,0,2024-06-25T07:30:00Z,PT15M
22,660,0,2024-06-25T07:15:00Z,PT15M
22,624,0,2024-06-25T07:00:00Z,PT15M
22,586,0,2024-06-25T06:45:00Z,PT15M
21,547,0,2024-06-25T06:30:00Z,PT15M
21,507,0,2024-06-25T06:15:00Z,PT15M
20,466,0,2024-06-25T06:00:00Z,PT15M
20,424,0,2024-06-25T05:45:00Z,PT15M
20,372,3,2024-06-25T05:30:00Z,PT15M
19,334,2,2024-06-25T05:15:00Z,PT15M
19,268,10,2024-06-25T05:00:00Z,PT15M
19,183,29,2024-06-25T04:45:00Z,PT15M
18,133,38,2024-06-25T04:30:00Z,PT15M
18,121,30,2024-06-25T04:15:00Z,PT15M
18,109,20,2024-06-25T04:00:00Z,PT15M
17,86,14,2024-06-25T03:45:00Z,PT15M
17,61,8,2024-06-25T03:30:00Z,PT15M
16,34,14,2024-06-25T03:15:00Z,PT15M
16,14,18,2024-06-25T03:00:00Z,PT15M
16,1,16,2024-06-25T02:45:00Z,PT15M
16,0,4,2024-06-25T02:30:00Z,PT15M
16,0,0,2024-06-25T02:15:00Z,PT15M
16,0,0,2024-06-25T02:00:00Z,PT15M
16,0,0,2024-06-25T01:45:00Z,PT15M
17,0,0,2024-06-25T01:30:00Z,PT15M
17,0,12,2024-06-25T01:15:00Z,PT15M
17,0,25,2024-06-25T01:00:00Z,PT15M
17,0,11,2024-06-25T00:45:00Z,PT15M
17,0,0,2024-06-25T00:30:00Z,PT15M
17,0,0,2024-06-25T00:15:00Z,PT15M
17,0,4,2024-06-25,PT15M
18,0,0,2024-06-24T23:45:00Z,PT15M
18,0,0,2024-06-24T23:30:00Z,PT15M
18,0,14,2024-06-24T23:15:00Z,PT15M
18,0,16,2024-06-24T23:00:00Z,PT15M
18,0,20,2024-06-24T22:45:00Z,PT15M
18,0,11,2024-06-24T22:30:00Z,PT15M
18,0,0,2024-06-24T22:15:00Z,PT15M
18,0,0,2024-06-24T22:00:00Z,PT15M
18,0,8,2024-06-24T21:45:00Z,PT15M
19,0,0,2024-06-24T21:30:00Z,PT15M
19,0,0,2024-06-24T21:15:00Z,PT15M
19,0,0,2024-06-24T21:00:00Z,PT15M
19,0,0,2024-06-24T20:45:00Z,PT15M
19,0,8,2024-06-24T20:30:00Z,PT15M
19,0,0,2024-06-24T20:15:00Z,PT15M
19,0,0,2024-06-24T20:00:00Z,PT15M
19,0,12,2024-06-24T19:45:00Z,PT15M
19,0,14,2024-06-24T19:30:00Z,PT15M
20,0,13,2024-06-24T19:15:00Z,PT15M
20,0,4,2024-06-24T19:00:00Z,PT15M
20,0,11,2024-06-24T18:45:00Z,PT15M
20,0,13,2024-06-24T18:30:00Z,PT15M
21,8,17,2024-06-24T18:15:00Z,PT15M
21,27,14,2024-06-24T18:00:00Z,PT15M
22,54,8,2024-06-24T17:45:00Z,PT15M
22,90,0,2024-06-24T17:30:00Z,PT15M
23,125,0,2024-06-24T17:15:00Z,PT15M
24,162,0,2024-06-24T17:00:00Z,PT15M
24,201,0,2024-06-24T16:45:00Z,PT15M
24,242,0,2024-06-24T16:30:00Z,PT15M
25,256,9,2024-06-24T16:15:00Z,PT15M
25,182,44,2024-06-24T16:00:00Z,PT15M
26,192,48,2024-06-24T15:45:00Z,PT15M
26,244,40,2024-06-24T15:30:00Z,PT15M
26,299,34,2024-06-24T15:15:00Z,PT15M
26,455,7,2024-06-24T15:00:00Z,PT15M
26,448,15,2024-06-24T14:45:00Z,PT15M
26,301,47,2024-06-24T14:30:00Z,PT15M
26,172,72,2024-06-24T14:15:00Z,PT15M
26,186,71,2024-06-24T14:00:00Z,PT15M
27,231,66,2024-06-24T13:45:00Z,PT15M
27,429,39,2024-06-24T13:30:00Z,PT15M
