air_temp,cloud_opacity,ghi,period_end,period
22,0,773,2024-07-30T08:15:00Z,PT15M
22,0,801,2024-07-30T08:30:00Z,PT15M
22,0,826,2024-07-30T08:45:00Z,PT15M
22,0,849,2024-07-30T09:00:00Z,PT15M
23,0,868,2024-07-30T09:15:00Z,PT15M
23,0,884,2024-07-30T09:30:00Z,PT15M
23,0,897,2024-07-30T09:45:00Z,PT15M
24,0,907,2024-07-30T10:00:00Z,PT15M
24,0,914,2024-07-30T10:15:00Z,PT15M
24,0,918,2024-07-30T10:30:00Z,PT15M
24,0,918,2024-07-30T10:45:00Z,PT15M
25,0,915,2024-07-30T11:00:00Z,PT15M
25,0,908,2024-07-30T11:15:00Z,PT15M
25,0,898,2024-07-30T11:30:00Z,PT15M
25,0,885,2024-07-30T11:45:00Z,PT15M
25,0,869,2024-07-30T12:00:00Z,PT15M
25,0,850,2024-07-30T12:15:00Z,PT15M
25,0,828,2024-07-30T12:30:00Z,PT15M
25,0,803,2024-07-30T12:45:00Z,PT15M
26,0,775,2024-07-30T13:00:00Z,PT15M
26,0,745,2024-07-30T13:15:00Z,PT15M
26,0,713,2024-07-30T13:30:00Z,PT15M
26,0,678,2024-07-30T13:45:00Z,PT15M
26,0,641,2024-07-30T14:00:00Z,PT15M
26,0,602,2024-07-30T14:15:00Z,PT15M
25,0,563,2024-07-30T14:30:00Z,PT15M
25,0,521,2024-07-30T14:45:00Z,PT15M
25,0,479,2024-07-30T15:00:00Z,PT15M
25,0,436,2024-07-30T15:15:00Z,PT15M
25,0,392,2024-07-30T15:30:00Z,PT15M
25,0,347,2024-07-30T15:45:00Z,PT15M
24,0,303,2024-07-30T16:00:00Z,PT15M
24,0,258,2024-07-30T16:15:00Z,PT15M
24,1,213,2024-07-30T16:30:00Z,PT15M
23,4,166,2024-07-30T16:45:00Z,PT15M
22,6,122,2024-07-30T17:00:00Z,PT15M
22,0,92,2024-07-30T17:15:00Z,PT15M
21,0,57,2024-07-30T17:30:00Z,PT15M
20,0,27,2024-07-30T17:45:00Z,PT15M
19,0,4,2024-07-30T18:00:00Z,PT15M
18,0,0,2024-07-30T18:15:00Z,PT15M
18,0,0,2024-07-30T18:30:00Z,PT15M
17,0,0,2024-07-30T18:45:00Z,PT15M
17,0,0,2024-07-30T19:00:00Z,PT15M
17,0,0,2024-07-30T19:15:00Z,PT15M
16,0,0,2024-07-30T19:30:00Z,PT15M
16,0,0,2024-07-30T19:45:00Z,PT15M
16,0,0,2024-07-30T20:00:00Z,PT15M
16,0,0,2024-07-30T20:15:00Z,PT15M
16,0,0,2024-07-30T20:30:00Z,PT15M
15,0,0,2024-07-30T20:45:00Z,PT15M
15,0,0,2024-07-30T21:00:00Z,PT15M
15,0,0,2024-07-30T21:15:00Z,PT15M
15,0,0,2024-07-30T21:30:00Z,PT15M
15,0,0,2024-07-30T21:45:00Z,PT15M
14,0,0,2024-07-30T22:00:00Z,PT15M
14,0,0,2024-07-30T22:15:00Z,PT15M
14,0,0,2024-07-30T22:30:00Z,PT15M
14,0,0,2024-07-30T22:45:00Z,PT15M
14,0,0,2024-07-30T23:00:00Z,PT15M
14,0,0,2024-07-30T23:15:00Z,PT15M
14,0,0,2024-07-30T23:30:00Z,PT15M
13,0,0,2024-07-30T23:45:00Z,PT15M
13,0,0,2024-07-31,PT15M
13,0,0,2024-07-31T00:15:00Z,PT15M
13,0,0,2024-07-31T00:30:00Z,PT15M
13,0,0,2024-07-31T00:45:00Z,PT15M
13,0,0,2024-07-31T01:00:00Z,PT15M
12,0,0,2024-07-31T01:15:00Z,PT15M
12,0,0,2024-07-31T01:30:00Z,PT15M
12,0,0,2024-07-31T01:45:00Z,PT15M
12,0,0,2024-07-31T02:00:00Z,PT15M
12,0,0,2024-07-31T02:15:00Z,PT15M
12,0,0,2024-07-31T02:30:00Z,PT15M
12,0,0,2024-07-31T02:45:00Z,PT15M
12,0,0,2024-07-31T03:00:00Z,PT15M
12,0,2,2024-07-31T03:15:00Z,PT15M
12,0,20,2024-07-31T03:30:00Z,PT15M
12,0,47,2024-07-31T03:45:00Z,PT15M
13,0,80,2024-07-31T04:00:00Z,PT15M
13,7,109,2024-07-31T04:15:00Z,PT15M
14,4,152,2024-07-31T04:30:00Z,PT15M
15,1,198,2024-07-31T04:45:00Z,PT15M
15,0,243,2024-07-31T05:00:00Z,PT15M
16,0,287,2024-07-31T05:15:00Z,PT15M
17,0,331,2024-07-31T05:30:00Z,PT15M
18,0,375,2024-07-31T05:45:00Z,PT15M
18,0,419,2024-07-31T06:00:00Z,PT15M
19,0,462,2024-07-31T06:15:00Z,PT15M
20,0,505,2024-07-31T06:30:00Z,PT15M
20,0,546,2024-07-31T06:45:00Z,PT15M
21,0,586,2024-07-31T07:00:00Z,PT15M
22,0,624,2024-07-31T07:15:00Z,PT15M
22,0,661,2024-07-31T07:30:00Z,PT15M
23,0,695,2024-07-31T07:45:00Z,PT15M
23,0,728,2024-07-31T08:00:00Z,PT15M
24,0,758,2024-07-31T08:15:00Z,PT15M
24,0,786,2024-07-31T08:30:00Z,PT15M
25,0,811,2024-07-31T08:45:00Z,PT15M
25,0,833,2024-07-31T09:00:00Z,PT15M
26,0,852,2024-07-31T09:15:00Z,PT15M
26,0,868,2024-07-31T09:30:00Z,PT15M
26,0,881,2024-07-31T09:45:00Z,PT15M
26,0,891,2024-07-31T10:00:00Z,PT15M
27,0,898,2024-07-31T10:15:00Z,PT15M
27,0,901,2024-07-31T10:30:00Z,PT15M
27,0,900,2024-07-31T10:45:00Z,PT15M
28,0,897,2024-07-31T11:00:00Z,PT15M
28,0,890,2024-07-31T11:15:00Z,PT15M
28,0,880,2024-07-31T11:30:00Z,PT15M
28,0,867,2024-07-31T11:45:00Z,PT15M
29,0,851,2024-07-31T12:00:00Z,PT15M
29,0,832,2024-07-31T12:15:00Z,PT15M
29,0,810,2024-07-31T12:30:00Z,PT15M
29,0,785,2024-07-31T12:45:00Z,PT15M
29,0,758,2024-07-31T13:00:00Z,PT15M
29,0,728,2024-07-31T13:15:00Z,PT15M
29,0,696,2024-07-31T13:30:00Z,PT15M
30,0,662,2024-07-31T13:45:00Z,PT15M
30,0,626,2024-07-31T14:00:00Z,PT15M
30,0,588,2024-07-31T14:15:00Z,PT15M
30,0,548,2024-07-31T14:30:00Z,PT15M
30,0,507,2024-07-31T14:45:00Z,PT15M
29,0,465,2024-07-31T15:00:00Z,PT15M
29,0,422,2024-07-31T15:15:00Z,PT15M
29,0,378,2024-07-31T15:30:00Z,PT15M
29,0,334,2024-07-31T15:45:00Z,PT15M
29,0,289,2024-07-31T16:00:00Z,PT15M
28,0,245,2024-07-31T16:15:00Z,PT15M
27,0,202,2024-07-31T16:30:00Z,PT15M
27,3,156,2024-07-31T16:45:00Z,PT15M
26,7,113,2024-07-31T17:00:00Z,PT15M
25,0,84,2024-07-31T17:15:00Z,PT15M
24,0,50,2024-07-31T17:30:00Z,PT15M
23,0,23,2024-07-31T17:45:00Z,PT15M
22,0,3,2024-07-31T18:00:00Z,PT15M
21,0,0,2024-07-31T18:15:00Z,PT15M
21,0,0,2024-07-31T18:30:00Z,PT15M
20,0,0,2024-07-31T18:45:00Z,PT15M
20,0,0,2024-07-31T19:00:00Z,PT15M
20,0,0,2024-07-31T19:15:00Z,PT15M
19,0,0,2024-07-31T19:30:00Z,PT15M
19,0,0,2024-07-31T19:45:00Z,PT15M
19,0,0,2024-07-31T20:00:00Z,PT15M
19,10,0,2024-07-31T20:15:00Z,PT15M
19,10,0,2024-07-31T20:30:00Z,PT15M
18,11,0,2024-07-31T20:45:00Z,PT15M
18,11,0,2024-07-31T21:00:00Z,PT15M
18,11,0,2024-07-31T21:15:00Z,PT15M
18,11,0,2024-07-31T21:30:00Z,PT15M
18,11,0,2024-07-31T21:45:00Z,PT15M
17,11,0,2024-07-31T22:00:00Z,PT15M
17,11,0,2024-07-31T22:15:00Z,PT15M
17,12,0,2024-07-31T22:30:00Z,PT15M
17,12,0,2024-07-31T22:45:00Z,PT15M
17,12,0,2024-07-31T23:00:00Z,PT15M
17,12,0,2024-07-31T23:15:00Z,PT15M
16,12,0,2024-07-31T23:30:00Z,PT15M
16,12,0,2024-07-31T23:45:00Z,PT15M
16,12,0,2024-08-01,PT15M
16,13,0,2024-08-01T00:15:00Z,PT15M
16,14,0,2024-08-01T00:30:00Z,PT15M
16,16,0,2024-08-01T00:45:00Z,PT15M
16,17,0,2024-08-01T01:00:00Z,PT15M
15,18,0,2024-08-01T01:15:00Z,PT15M
15,18,0,2024-08-01T01:30:00Z,PT15M
15,18,0,2024-08-01T01:45:00Z,PT15M
15,18,0,2024-08-01T02:00:00Z,PT15M
15,18,0,2024-08-01T02:15:00Z,PT15M
15,18,0,2024-08-01T02:30:00Z,PT15M
15,18,0,2024-08-01T02:45:00Z,PT15M
14,18,0,2024-08-01T03:00:00Z,PT15M
15,18,1,2024-08-01T03:15:00Z,PT15M
15,18,13,2024-08-01T03:30:00Z,PT15M
15,18,33,2024-08-01T03:45:00Z,PT15M
16,17,59,2024-08-01T04:00:00Z,PT15M
16,15,90,2024-08-01T04:15:00Z,PT15M
16,12,127,2024-08-01T04:30:00Z,PT15M
17,8,170,2024-08-01T04:45:00Z,PT15M
