air_temp,ghi,cloud_opacity,period_end,period
24,689,0,2024-09-24T11:00:00Z,PT15M
24,695,0,2024-09-24T10:45:00Z,PT15M
23,698,0,2024-09-24T10:30:00Z,PT15M
23,697,0,2024-09-24T10:15:00Z,PT15M
23,693,0,2024-09-24T10:00:00Z,PT15M
22,685,0,2024-09-24T09:45:00Z,PT15M
22,673,0,2024-09-24T09:30:00Z,PT15M
22,659,0,2024-09-24T09:15:00Z,PT15M
21,641,0,2024-09-24T09:00:00Z,PT15M
21,620,0,2024-09-24T08:45:00Z,PT15M
20,596,0,2024-09-24T08:30:00Z,PT15M
20,569,0,2024-09-24T08:15:00Z,PT15M
19,539,0,2024-09-24T08:00:00Z,PT15M
18,508,0,2024-09-24T07:45:00Z,PT15M
18,474,0,2024-09-24T07:30:00Z,PT15M
17,437,0,2024-09-24T07:15:00Z,PT15M
17,399,0,2024-09-24T07:00:00Z,PT15M
16,359,0,2024-09-24T06:45:00Z,PT15M
15,318,0,2024-09-24T06:30:00Z,PT15M
14,276,0,2024-09-24T06:15:00Z,PT15M
14,233,0,2024-09-24T06:00:00Z,PT15M
13,190,0,2024-09-24T05:45:00Z,PT15M
12,147,0,2024-09-24T05:30:00Z,PT15M
12,105,0,2024-09-24T05:15:00Z,PT15M
11,67,0,2024-09-24T05:00:00Z,PT15M
11,33,0,2024-09-24T04:45:00Z,PT15M
11,7,0,2024-09-24T04:30:00Z,PT15M
11,0,0,2024-09-24T04:15:00Z,PT15M
11,0,0,2024-09-24T04:00:00Z,PT15M
11,0,0,2024-09-24T03:45:00Z,PT15M
11,0,0,2024-09-24T03:30:00Z,PT15M
11,0,0,2024-09-24T03:15:00Z,PT15M
11,0,0,2024-09-24T03:00:00Z,PT15M
11,0,0,2024-09-24T02:45:00Z,PT15M
11,0,0,2024-09-24T02:30:00Z,PT15M
12,0,0,2024-09-24T02:15:00Z,PT15M
12,0,0,2024-09-24T02:00:00Z,PT15M
12,0,0,2024-09-24T01:45:00Z,PT15M
12,0,0,2024-09-24T01:30:00Z,PT15M
12,0,0,2024-09-24T01:15:00Z,PT15M
12,0,0,2024-09-24T01:00:00Z,PT15M
12,0,0,2024-09-24T00:45:00Z,PT15M
13,0,0,2024-09-24T00:30:00Z,PT15M
13,0,0,2024-09-24T00:15:00Z,PT15M
13,0,0,2024-09-24,PT15M
13,0,0,2024-09-23T23:45:00Z,PT15M
13,0,0,2024-09-23T23:30:00Z,PT15M
