period_end,air_temp,cloud_opacity,ghi,period
2024-08-05T15:00:00Z,0.0,0.0,0.0,0
2024-08-05T16:00:00Z,0.0,0.0,0.0,0
2024-08-05T17:00:00Z,0.0,0.0,0.0,0
2024-08-05T18:00:00Z,26.0,54.0,228.0,PT1H
2024-08-05T19:00:00Z,25.0,55.0,139.0,PT1H
2024-08-05T20:00:00Z,24.0,54.0,66.0,PT1H
2024-08-05T21:00:00Z,20.0,59.0,10.0,PT1H
2024-08-05T22:00:00Z,16.0,62.0,0.0,PT1H
2024-08-05T23:00:00Z,16.0,62.0,0.0,PT1H
2024-08-06,16.0,62.0,0.0,PT1H
2024-08-06T01:00:00Z,16.0,60.0,0.0,PT1H
2024-08-06T02:00:00Z,15.0,55.0,0.0,PT1H
2024-08-06T03:00:00Z,15.0,51.0,0.0,PT1H
2024-08-06T04:00:00Z,14.0,47.0,0.0,PT1H
2024-08-06T05:00:00Z,14.0,42.0,0.0,PT1H
2024-08-06T06:00:00Z,13.0,38.0,0.0,PT1H
2024-08-06T07:00:00Z,13.0,35.0,16.0,PT1H
2024-08-06T08:00:00Z,13.0,32.0,104.0,PT1H
2024-08-06T09:00:00Z,13.0,31.0,223.0,PT1H
2024-08-06T10:00:00Z,14.0,34.0,326.0,PT1H
2024-08-06T11:00:00Z,15.0,37.0,409.0,PT1H
2024-08-06T12:00:00Z,17.0,37.0,482.0,PT1H
2024-08-06T13:00:00Z,18.0,31.0,581.0,PT1H
2024-08-06T14:00:00Z,20.0,29.0,616.0,PT1H
2024-08-06T15:00:00Z,22.0,36.0,544.0,PT1H
2024-08-06T16:00:00Z,22.0,36.0,495.0,PT1H
2024-08-06T17:00:00Z,21.0,30.0,459.0,PT1H
2024-08-06T18:00:00Z,22.0,25.0,380.0,PT1H
2024-08-06T19:00:00Z,21.0,19.0,270.0,PT1H
2024-08-06T20:00:00Z,20.0,17.0,137.0,PT1H
2024-08-06T21:00:00Z,17.0,20.0,23.0,PT1H
2024-08-06T22:00:00Z,15.0,19.0,0.0,PT1H
2024-08-06T23:00:00Z,14.0,17.0,0.0,PT1H
2024-08-07,13.0,14.0,0.0,PT1H
2024-08-07T01:00:00Z,12.0,13.0,0.0,PT1H
2024-08-07T02:00:00Z,12.0,13.0,0.0,PT1H
2024-08-07T03:00:00Z,12.0,13.0,0.0,PT1H
2024-08-07T04:00:00Z,12.0,12.0,0.0,PT1H
2024-08-07T05:00:00Z,12.0,11.0,0.0,PT1H
2024-08-07T06:00:00Z,11.0,0.0,0.0,PT1H
2024-08-07T07:00:00Z,12.0,0.0,25.0,PT1H
2024-08-07T08:00:00Z,13.0,4.0,153.0,PT1H
2024-08-07T09:00:00Z,16.0,0.0,329.0,PT1H
2024-08-07T10:00:00Z,18.0,0.0,499.0,PT1H
2024-08-07T11:00:00Z,20.0,0.0,651.0,PT1H
2024-08-07T12:00:00Z,22.0,0.0,769.0,PT1H
2024-08-07T13:00:00Z,23.0,0.0,845.0,PT1H
2024-08-07T14:00:00Z,25.0,0.0,870.0,PT1H
2024-08-07T15:00:00Z,26.0,0.0,844.0,PT1H
2024-08-07T16:00:00Z,27.0,0.0,769.0,PT1H
2024-08-07T17:00:00Z,27.0,0.0,651.0,PT1H
2024-08-07T18:00:00Z,27.0,5.0,476.0,PT1H
2024-08-07T19:00:00Z,27.0,11.0,294.0,PT1H
2024-08-07T20:00:00Z,25.0,17.0,133.0,PT1H
2024-08-07T21:00:00Z,22.0,24.0,20.0,PT1H
2024-08-07T22:00:00Z,20.0,28.0,0.0,PT1H
2024-08-07T23:00:00Z,19.0,31.0,0.0,PT1H
2024-08-08,18.0,32.0,0.0,PT1H
2024-08-08T01:00:00Z,18.0,30.0,0.0,PT1H
2024-08-08T02:00:00Z,17.0,22.0,0.0,PT1H
2024-08-08T03:00:00Z,17.0,15.0,0.0,PT1H
2024-08-08T04:00:00Z,16.0,13.0,0.0,PT1H
2024-08-08T05:00:00Z,16.0,11.0,0.0,PT1H
2024-08-08T06:00:00Z,15.0,0.0,0.0,PT1H
2024-08-08T07:00:00Z,15.0,0.0,23.0,PT1H
2024-08-08T08:00:00Z,17.0,0.0,150.0,PT1H
2024-08-08T09:00:00Z,20.0,0.0,319.0,PT1H
2024-08-08T10:00:00Z,22.0,0.0,489.0,PT1H
2024-08-08T11:00:00Z,24.0,0.0,639.0,PT1H
2024-08-08T12:00:00Z,26.0,0.0,755.0,PT1H
2024-08-08T13:00:00Z,28.0,0.0,829.0,PT1H
2024-08-08T14:00:00Z,29.0,0.0,854.0,PT1H
2024-08-08T15:00:00Z,30.0,0.0,827.0,PT1H
2024-08-08T16:00:00Z,30.0,0.0,748.0,PT1H
2024-08-08T17:00:00Z,30.0,5.0,602.0,PT1H
2024-08-08T18:00:00Z,30.0,12.0,424.0,PT1H
2024-08-08T19:00:00Z,30.0,17.0,260.0,PT1H
2024-08-08T20:00:00Z,28.0,21.0,116.0,PT1H
2024-08-08T21:00:00Z,25.0,23.0,17.0,PT1H
2024-08-08T22:00:00Z,23.0,21.0,0.0,PT1H
2024-08-08T23:00:00Z,21.0,23.0,0.0,PT1H
2024-08-09,21.0,25.0,0.0,PT1H
2024-08-09T01:00:00Z,20.0,25.0,0.0,PT1H
2024-08-09T02:00:00Z,20.0,24.0,0.0,PT1H
2024-08-09T03:00:00Z,19.0,23.0,0.0,PT1H
2024-08-09T04:00:00Z,19.0,20.0,0.0,PT1H
2024-08-09T05:00:00Z,18.0,16.0,0.0,PT1H
2024-08-09T06:00:00Z,18.0,12.0,0.0,PT1H
2024-08-09T07:00:00Z,19.0,0.0,20.0,PT1H
2024-08-09T08:00:00Z,20.0,0.0,141.0,PT1H
2024-08-09T09:00:00Z,22.0,0.0,307.0,PT1H
2024-08-09T10:00:00Z,24.0,0.0,475.0,PT1H
2024-08-09T11:00:00Z,26.0,0.0,626.0,PT1H
2024-08-09T12:00:00Z,28.0,0.0,743.0,PT1H
2024-08-09T13:00:00Z,30.0,0.0,816.0,PT1H
2024-08-09T14:00:00Z,31.0,6.0,792.0,PT1H
2024-08-09T15:00:00Z,32.0,14.0,704.0,PT1H
2024-08-09T16:00:00Z,31.0,13.0,652.0,PT1H
2024-08-09T17:00:00Z,30.0,13.0,551.0,PT1H
2024-08-09T18:00:00Z,30.0,19.0,392.0,PT1H
2024-08-09T19:00:00Z,28.0,22.0,246.0,PT1H
2024-08-09T20:00:00Z,27.0,25.0,112.0,PT1H
2024-08-09T21:00:00Z,25.0,27.0,16.0,PT1H
2024-08-09T22:00:00Z,23.0,22.0,0.0,PT1H
2024-08-09T23:00:00Z,22.0,18.0,0.0,PT1H
2024-08-10,21.0,18.0,0.0,PT1H
2024-08-10T01:00:00Z,20.0,16.0,0.0,PT1H
2024-08-10T02:00:00Z,20.0,20.0,0.0,PT1H
2024-08-10T03:00:00Z,19.0,24.0,0.0,PT1H
2024-08-10T04:00:00Z,18.0,24.0,0.0,PT1H
2024-08-10T05:00:00Z,18.0,24.0,0.0,PT1H
2024-08-10T06:00:00Z,18.0,24.0,0.0,PT1H
2024-08-10T07:00:00Z,18.0,23.0,14.0,PT1H
2024-08-10T08:00:00Z,19.0,11.0,127.0,PT1H
2024-08-10T09:00:00Z,22.0,0.0,305.0,PT1H
2024-08-10T10:00:00Z,24.0,0.0,472.0,PT1H
2024-08-10T11:00:00Z,26.0,0.0,623.0,PT1H
2024-08-10T12:00:00Z,27.0,1.0,731.0,PT1H
2024-08-10T13:00:00Z,29.0,3.0,788.0,PT1H
2024-08-10T14:00:00Z,30.0,1.0,825.0,PT1H
2024-08-10T15:00:00Z,31.0,2.0,798.0,PT1H
2024-08-10T16:00:00Z,31.0,3.0,721.0,PT1H
2024-08-10T17:00:00Z,31.0,3.0,605.0,PT1H
