period_end,air_temp,cloud_opacity,ghi,period
2024-10-06T12:00:00Z,0.0,0.0,0.0,0
2024-10-06T13:00:00Z,0.0,0.0,0.0,0
2024-10-06T14:00:00Z,15.0,65.0,207.0,PT1H
2024-10-06T15:00:00Z,15.0,73.0,136.0,PT1H
2024-10-06T16:00:00Z,14.0,52.0,175.0,PT1H
2024-10-06T17:00:00Z,13.0,41.0,123.0,PT1H
2024-10-06T18:00:00Z,12.0,39.0,32.0,PT1H
2024-10-06T19:00:00Z,10.0,37.0,0.0,PT1H
2024-10-06T20:00:00Z,9.0,33.0,0.0,PT1H
2024-10-06T21:00:00Z,8.0,29.0,0.0,PT1H
2024-10-06T22:00:00Z,8.0,28.0,0.0,PT1H
2024-10-06T23:00:00Z,9.0,25.0,0.0,PT1H
2024-10-07,8.0,21.0,0.0,PT1H
2024-10-07T01:00:00Z,8.0,18.0,0.0,PT1H
2024-10-07T02:00:00Z,8.0,17.0,0.0,PT1H
2024-10-07T03:00:00Z,8.0,15.0,0.0,PT1H
2024-10-07T04:00:00Z,7.0,14.0,0.0,PT1H
2024-10-07T05:00:00Z,7.0,13.0,0.0,PT1H
2024-10-07T06:00:00Z,7.0,12.0,0.0,PT1H
2024-10-07T07:00:00Z,6.0,12.0,5.0,PT1H
2024-10-07T08:00:00Z,7.0,12.0,105.0,PT1H
2024-10-07T09:00:00Z,10.0,9.0,267.0,PT1H
2024-10-07T10:00:00Z,12.0,2.0,439.0,PT1H
2024-10-07T11:00:00Z,14.0,0.0,571.0,PT1H
2024-10-07T12:00:00Z,15.0,0.0,643.0,PT1H
2024-10-07T13:00:00Z,16.0,0.0,659.0,PT1H
2024-10-07T14:00:00Z,17.0,0.0,618.0,PT1H
2024-10-07T15:00:00Z,17.0,0.0,524.0,PT1H
2024-10-07T16:00:00Z,17.0,0.0,385.0,PT1H
2024-10-07T17:00:00Z,16.0,0.0,218.0,PT1H
2024-10-07T18:00:00Z,13.0,0.0,55.0,PT1H
2024-10-07T19:00:00Z,11.0,0.0,0.0,PT1H
2024-10-07T20:00:00Z,10.0,0.0,0.0,PT1H
2024-10-07T21:00:00Z,9.0,0.0,0.0,PT1H
2024-10-07T22:00:00Z,9.0,0.0,0.0,PT1H
