period_end,air_temp,cloud_opacity,ghi,period
2024-10-04T12:00:00Z,0.0,0.0,0.0,0
2024-10-04T13:00:00Z,0.0,0.0,0.0,0
2024-10-04T14:00:00Z,30.0,68.0,187.0,PT1H
2024-10-04T15:00:00Z,30.0,18.0,392.0,PT1H
2024-10-04T16:00:00Z,30.0,42.0,197.0,PT1H
2024-10-04T17:00:00Z,29.0,55.0,81.0,PT1H
2024-10-04T18:00:00Z,26.0,62.0,14.0,PT1H
2024-10-04T19:00:00Z,24.0,63.0,0.0,PT1H
2024-10-04T20:00:00Z,23.0,63.0,0.0,PT1H
2024-10-04T21:00:00Z,23.0,62.0,0.0,PT1H
2024-10-04T22:00:00Z,22.0,61.0,0.0,PT1H
2024-10-04T23:00:00Z,21.0,59.0,0.0,PT1H
2024-10-05,20.0,57.0,0.0,PT1H
2024-10-05T01:00:00Z,20.0,57.0,0.0,PT1H
2024-10-05T02:00:00Z,19.0,56.0,0.0,PT1H
2024-10-05T03:00:00Z,19.0,52.0,0.0,PT1H
2024-10-05T04:00:00Z,18.0,51.0,0.0,PT1H
2024-10-05T05:00:00Z,18.0,51.0,0.0,PT1H
2024-10-05T06:00:00Z,18.0,51.0,0.0,PT1H
2024-10-05T07:00:00Z,18.0,52.0,6.0,PT1H
2024-10-05T08:00:00Z,19.0,48.0,60.0,PT1H
2024-10-05T09:00:00Z,20.0,40.0,162.0,PT1H
2024-10-05T10:00:00Z,22.0,32.0,286.0,PT1H
2024-10-05T11:00:00Z,23.0,21.0,422.0,PT1H
2024-10-05T12:00:00Z,24.0,20.0,475.0,PT1H
2024-10-05T13:00:00Z,25.0,27.0,444.0,PT1H
2024-10-05T14:00:00Z,26.0,37.0,355.0,PT1H
2024-10-05T15:00:00Z,26.0,47.0,243.0,PT1H
2024-10-05T16:00:00Z,26.0,55.0,143.0,PT1H
2024-10-05T17:00:00Z,24.0,60.0,61.0,PT1H
2024-10-05T18:00:00Z,20.0,70.0,9.0,PT1H
2024-10-05T19:00:00Z,17.0,78.0,0.0,PT1H
2024-10-05T20:00:00Z,17.0,80.0,0.0,PT1H
2024-10-05T21:00:00Z,17.0,80.0,0.0,PT1H
2024-10-05T22:00:00Z,17.0,80.0,0.0,PT1H
2024-10-05T23:00:00Z,17.0,65.0,0.0,PT1H
2024-10-06,17.0,61.0,0.0,PT1H
2024-10-06T01:00:00Z,17.0,71.0,0.0,PT1H
2024-10-06T02:00:00Z,16.0,66.0,0.0,PT1H
2024-10-06T03:00:00Z,15.0,59.0,0.0,PT1H
2024-10-06T04:00:00Z,15.0,55.0,0.0,PT1H
2024-10-06T05:00:00Z,14.0,44.0,0.0,PT1H
2024-10-06T06:00:00Z,14.0,42.0,0.0,PT1H
2024-10-06T07:00:00Z,14.0,52.0,7.0,PT1H
2024-10-06T08:00:00Z,14.0,48.0,76.0,PT1H
2024-10-06T09:00:00Z,15.0,38.0,195.0,PT1H
2024-10-06T10:00:00Z,17.0,30.0,325.0,PT1H
2024-10-06T11:00:00Z,19.0,25.0,434.0,PT1H
2024-10-06T12:00:00Z,20.0,24.0,490.0,PT1H
2024-10-06T13:00:00Z,21.0,21.0,512.0,PT1H
2024-10-06T14:00:00Z,22.0,18.0,491.0,PT1H
2024-10-06T15:00:00Z,22.0,18.0,410.0,PT1H
2024-10-06T16:00:00Z,22.0,19.0,286.0,PT1H
2024-10-06T17:00:00Z,21.0,20.0,149.0,PT1H
2024-10-06T18:00:00Z,20.0,17.0,30.0,PT1H
2024-10-06T19:00:00Z,18.0,15.0,0.0,PT1H
2024-10-06T20:00:00Z,18.0,15.0,0.0,PT1H
2024-10-06T21:00:00Z,18.0,15.0,0.0,PT1H
2024-10-06T22:00:00Z,17.0,15.0,0.0,PT1H
2024-10-06T23:00:00Z,16.0,15.0,0.0,PT1H
2024-10-07,16.0,14.0,0.0,PT1H
2024-10-07T01:00:00Z,15.0,14.0,0.0,PT1H
2024-10-07T02:00:00Z,15.0,12.0,0.0,PT1H
2024-10-07T03:00:00Z,15.0,11.0,0.0,PT1H
2024-10-07T04:00:00Z,14.0,12.0,0.0,PT1H
2024-10-07T05:00:00Z,13.0,12.0,0.0,PT1H
2024-10-07T06:00:00Z,13.0,12.0,0.0,PT1H
2024-10-07T07:00:00Z,13.0,12.0,11.0,PT1H
2024-10-07T08:00:00Z,13.0,11.0,118.0,PT1H
2024-10-07T09:00:00Z,15.0,0.0,303.0,PT1H
2024-10-07T10:00:00Z,16.0,0.0,457.0,PT1H
2024-10-07T11:00:00Z,18.0,0.0,572.0,PT1H
2024-10-07T12:00:00Z,19.0,0.0,638.0,PT1H
2024-10-07T13:00:00Z,20.0,0.0,647.0,PT1H
2024-10-07T14:00:00Z,21.0,0.0,598.0,PT1H
2024-10-07T15:00:00Z,21.0,0.0,497.0,PT1H
2024-10-07T16:00:00Z,21.0,6.0,332.0,PT1H
2024-10-07T17:00:00Z,21.0,16.0,156.0,PT1H
2024-10-07T18:00:00Z,19.0,18.0,28.0,PT1H
2024-10-07T19:00:00Z,18.0,17.0,0.0,PT1H
2024-10-07T20:00:00Z,17.0,17.0,0.0,PT1H
2024-10-07T21:00:00Z,16.0,17.0,0.0,PT1H
2024-10-07T22:00:00Z,16.0,17.0,0.0,PT1H
2024-10-07T23:00:00Z,15.0,17.0,0.0,PT1H
2024-10-08,15.0,15.0,0.0,PT1H
2024-10-08T01:00:00Z,14.0,13.0,0.0,PT1H
2024-10-08T02:00:00Z,14.0,11.0,0.0,PT1H
2024-10-08T03:00:00Z,14.0,0.0,0.0,PT1H
2024-10-08T04:00:00Z,13.0,0.0,0.0,PT1H
2024-10-08T05:00:00Z,13.0,0.0,0.0,PT1H
2024-10-08T06:00:00Z,13.0,0.0,0.0,PT1H
2024-10-08T07:00:00Z,13.0,0.0,14.0,PT1H
2024-10-08T08:00:00Z,14.0,0.0,146.0,PT1H
2024-10-08T09:00:00Z,16.0,0.0,320.0,PT1H
2024-10-08T10:00:00Z,18.0,0.0,475.0,PT1H
2024-10-08T11:00:00Z,19.0,0.0,590.0,PT1H
2024-10-08T12:00:00Z,21.0,0.0,653.0,PT1H
2024-10-08T13:00:00Z,22.0,0.0,659.0,PT1H
2024-10-08T14:00:00Z,23.0,0.0,607.0,PT1H
2024-10-08T15:00:00Z,23.0,0.0,449.0,PT1H
2024-10-08T16:00:00Z,24.0,0.0,288.0,PT1H
2024-10-08T17:00:00Z,23.0,0.0,135.0,PT1H
2024-10-08T18:00:00Z,21.0,0.0,21.0,PT1H
2024-10-08T19:00:00Z,20.0,0.0,0.0,PT1H
2024-10-08T20:00:00Z,19.0,0.0,0.0,PT1H
2024-10-08T21:00:00Z,18.0,0.0,0.0,PT1H
2024-10-08T22:00:00Z,17.0,0.0,0.0,PT1H
2024-10-08T23:00:00Z,17.0,11.0,0.0,PT1H
2024-10-09,16.0,14.0,0.0,PT1H
2024-10-09T01:00:00Z,16.0,18.0,0.0,PT1H
2024-10-09T02:00:00Z,16.0,23.0,0.0,PT1H
2024-10-09T03:00:00Z,15.0,27.0,0.0,PT1H
2024-10-09T04:00:00Z,15.0,28.0,0.0,PT1H
2024-10-09T05:00:00Z,15.0,29.0,0.0,PT1H
2024-10-09T06:00:00Z,14.0,30.0,0.0,PT1H
2024-10-09T07:00:00Z,14.0,29.0,6.0,PT1H
2024-10-09T08:00:00Z,15.0,25.0,72.0,PT1H
2024-10-09T09:00:00Z,16.0,16.0,200.0,PT1H
