period_end,air_temp,cloud_opacity,ghi,period
2024-10-04T15:00:00Z,0.0,0.0,0.0,0
2024-10-04T16:00:00Z,0.0,0.0,0.0,0
2024-10-04T17:00:00Z,16.0,77.0,45.0,PT1H
2024-10-04T18:00:00Z,16.0,84.0,9.0,PT1H
2024-10-04T19:00:00Z,16.0,84.0,0.0,PT1H
2024-10-04T20:00:00Z,16.0,83.0,0.0,PT1H
2024-10-04T21:00:00Z,15.0,82.0,0.0,PT1H
2024-10-04T22:00:00Z,15.0,80.0,0.0,PT1H
2024-10-04T23:00:00Z,15.0,80.0,0.0,PT1H
2024-10-05,14.0,79.0,0.0,PT1H
2024-10-05T01:00:00Z,14.0,78.0,0.0,PT1H
2024-10-05T02:00:00Z,13.0,77.0,0.0,PT1H
2024-10-05T03:00:00Z,14.0,77.0,0.0,PT1H
2024-10-05T04:00:00Z,14.0,77.0,0.0,PT1H
2024-10-05T05:00:00Z,14.0,76.0,0.0,PT1H
2024-10-05T06:00:00Z,13.0,76.0,0.0,PT1H
2024-10-05T07:00:00Z,13.0,75.0,1.0,PT1H
2024-10-05T08:00:00Z,13.0,73.0,24.0,PT1H
2024-10-05T09:00:00Z,13.0,68.0,78.0,PT1H
2024-10-05T10:00:00Z,14.0,62.0,148.0,PT1H
2024-10-05T11:00:00Z,15.0,54.0,231.0,PT1H
2024-10-05T12:00:00Z,15.0,50.0,290.0,PT1H
2024-10-05T13:00:00Z,15.0,47.0,316.0,PT1H
2024-10-05T14:00:00Z,16.0,45.0,309.0,PT1H
2024-10-05T15:00:00Z,16.0,47.0,252.0,PT1H
2024-10-05T16:00:00Z,16.0,50.0,172.0,PT1H
2024-10-05T17:00:00Z,15.0,55.0,87.0,PT1H
2024-10-05T18:00:00Z,15.0,59.0,20.0,PT1H
2024-10-05T19:00:00Z,15.0,59.0,0.0,PT1H
2024-10-05T20:00:00Z,15.0,61.0,0.0,PT1H
2024-10-05T21:00:00Z,14.0,62.0,0.0,PT1H
2024-10-05T22:00:00Z,14.0,63.0,0.0,PT1H
2024-10-05T23:00:00Z,14.0,63.0,0.0,PT1H
2024-10-06,14.0,64.0,0.0,PT1H
2024-10-06T01:00:00Z,14.0,66.0,0.0,PT1H
2024-10-06T02:00:00Z,14.0,67.0,0.0,PT1H
2024-10-06T03:00:00Z,14.0,68.0,0.0,PT1H
2024-10-06T04:00:00Z,13.0,69.0,0.0,PT1H
2024-10-06T05:00:00Z,13.0,70.0,0.0,PT1H
2024-10-06T06:00:00Z,13.0,70.0,0.0,PT1H
2024-10-06T07:00:00Z,13.0,71.0,1.0,PT1H
2024-10-06T08:00:00Z,13.0,70.0,29.0,PT1H
2024-10-06T09:00:00Z,13.0,66.0,86.0,PT1H
2024-10-06T10:00:00Z,14.0,62.0,152.0,PT1H
2024-10-06T11:00:00Z,14.0,59.0,212.0,PT1H
2024-10-06T12:00:00Z,14.0,56.0,255.0,PT1H
2024-10-06T13:00:00Z,14.0,55.0,273.0,PT1H
2024-10-06T14:00:00Z,15.0,54.0,258.0,PT1H
2024-10-06T15:00:00Z,15.0,54.0,218.0,PT1H
2024-10-06T16:00:00Z,15.0,56.0,154.0,PT1H
2024-10-06T17:00:00Z,15.0,62.0,77.0,PT1H
