period_end,air_temp,cloud_opacity,ghi,period
2024-10-06T21:00:00Z,0.0,0.0,0.0,0
2024-10-06T22:00:00Z,0.0,0.0,0.0,0
2024-10-06T23:00:00Z,16.0,78.0,0.0,PT1H
2024-10-07,15.0,70.0,0.0,PT1H
2024-10-07T01:00:00Z,14.0,46.0,0.0,PT1H
2024-10-07T02:00:00Z,14.0,32.0,0.0,PT1H
2024-10-07T03:00:00Z,14.0,24.0,0.0,PT1H
2024-10-07T04:00:00Z,14.0,20.0,0.0,PT1H
2024-10-07T05:00:00Z,13.0,19.0,0.0,PT1H
2024-10-07T06:00:00Z,12.0,19.0,0.0,PT1H
2024-10-07T07:00:00Z,12.0,20.0,17.0,PT1H
2024-10-07T08:00:00Z,13.0,20.0,124.0,PT1H
2024-10-07T09:00:00Z,14.0,20.0,257.0,PT1H
2024-10-07T10:00:00Z,16.0,21.0,371.0,PT1H
2024-10-07T11:00:00Z,18.0,17.0,481.0,PT1H
2024-10-07T12:00:00Z,19.0,12.0,556.0,PT1H
2024-10-07T13:00:00Z,20.0,11.0,566.0,PT1H
2024-10-07T14:00:00Z,21.0,8.0,534.0,PT1H
2024-10-07T15:00:00Z,21.0,5.0,453.0,PT1H
2024-10-07T16:00:00Z,21.0,8.0,309.0,PT1H
2024-10-07T17:00:00Z,20.0,13.0,144.0,PT1H
2024-10-07T18:00:00Z,19.0,17.0,20.0,PT1H
2024-10-07T19:00:00Z,18.0,20.0,0.0,PT1H
2024-10-07T20:00:00Z,17.0,18.0,0.0,PT1H
2024-10-07T21:00:00Z,17.0,17.0,0.0,PT1H
2024-10-07T22:00:00Z,16.0,17.0,0.0,PT1H
2024-10-07T23:00:00Z,15.0,18.0,0.0,PT1H
2024-10-08,15.0,17.0,0.0,PT1H
2024-10-08T01:00:00Z,14.0,14.0,0.0,PT1H
2024-10-08T02:00:00Z,14.0,11.0,0.0,PT1H
2024-10-08T03:00:00Z,13.0,0.0,0.0,PT1H
2024-10-08T04:00:00Z,13.0,0.0,0.0,PT1H
2024-10-08T05:00:00Z,13.0,0.0,0.0,PT1H
2024-10-08T06:00:00Z,12.0,0.0,0.0,PT1H
2024-10-08T07:00:00Z,12.0,0.0,22.0,PT1H
2024-10-08T08:00:00Z,14.0,0.0,164.0,PT1H
2024-10-08T09:00:00Z,16.0,0.0,335.0,PT1H
2024-10-08T10:00:00Z,18.0,0.0,483.0,PT1H
2024-10-08T11:00:00Z,20.0,0.0,592.0,PT1H
2024-10-08T12:00:00Z,22.0,0.0,648.0,PT1H
2024-10-08T13:00:00Z,23.0,0.0,648.0,PT1H
2024-10-08T14:00:00Z,23.0,0.0,591.0,PT1H
2024-10-08T15:00:00Z,24.0,0.0,483.0,PT1H
2024-10-08T16:00:00Z,24.0,0.0,335.0,PT1H
2024-10-08T17:00:00Z,23.0,0.0,164.0,PT1H
2024-10-08T18:00:00Z,21.0,0.0,22.0,PT1H
2024-10-08T19:00:00Z,19.0,0.0,0.0,PT1H
