period_end,air_temp,cloud_opacity,ghi,period
2024-10-06T12:00:00Z,0.0,0.0,0.0,0
2024-10-06T13:00:00Z,0.0,0.0,0.0,0
2024-10-06T14:00:00Z,13.0,71.0,155.0,PT1H
2024-10-06T15:00:00Z,12.0,72.0,129.0,PT1H
2024-10-06T16:00:00Z,12.0,78.0,73.0,PT1H
2024-10-06T17:00:00Z,12.0,74.0,46.0,PT1H
2024-10-06T18:00:00Z,12.0,73.0,12.0,PT1H
2024-10-06T19:00:00Z,12.0,72.0,0.0,PT1H
2024-10-06T20:00:00Z,12.0,71.0,0.0,PT1H
2024-10-06T21:00:00Z,12.0,71.0,0.0,PT1H
2024-10-06T22:00:00Z,12.0,70.0,0.0,PT1H
2024-10-06T23:00:00Z,12.0,69.0,0.0,PT1H
2024-10-07,12.0,67.0,0.0,PT1H
2024-10-07T01:00:00Z,12.0,66.0,0.0,PT1H
2024-10-07T02:00:00Z,12.0,64.0,0.0,PT1H
2024-10-07T03:00:00Z,12.0,63.0,0.0,PT1H
2024-10-07T04:00:00Z,12.0,62.0,0.0,PT1H
2024-10-07T05:00:00Z,12.0,60.0,0.0,PT1H
2024-10-07T06:00:00Z,11.0,59.0,0.0,PT1H
2024-10-07T07:00:00Z,11.0,58.0,1.0,PT1H
2024-10-07T08:00:00Z,12.0,56.0,39.0,PT1H
2024-10-07T09:00:00Z,12.0,48.0,128.0,PT1H
2024-10-07T10:00:00Z,13.0,38.0,246.0,PT1H
2024-10-07T11:00:00Z,14.0,30.0,359.0,PT1H
2024-10-07T12:00:00Z,16.0,27.0,426.0,PT1H
2024-10-07T13:00:00Z,17.0,16.0,506.0,PT1H
2024-10-07T14:00:00Z,17.0,3.0,550.0,PT1H
2024-10-07T15:00:00Z,18.0,9.0,439.0,PT1H
2024-10-07T16:00:00Z,18.0,21.0,282.0,PT1H
2024-10-07T17:00:00Z,17.0,29.0,142.0,PT1H
2024-10-07T18:00:00Z,16.0,31.0,34.0,PT1H
2024-10-07T19:00:00Z,14.0,28.0,0.0,PT1H
2024-10-07T20:00:00Z,14.0,19.0,0.0,PT1H
2024-10-07T21:00:00Z,13.0,15.0,0.0,PT1H
2024-10-07T22:00:00Z,12.0,15.0,0.0,PT1H
