period_end,air_temp,cloud_opacity,ghi,period
2024-10-06T21:00:00Z,0.0,0.0,0.0,0
2024-10-06T22:00:00Z,0.0,0.0,0.0,0
2024-10-06T23:00:00Z,12.0,40.0,0.0,PT1H
2024-10-07,11.0,51.0,0.0,PT1H
2024-10-07T01:00:00Z,11.0,59.0,0.0,PT1H
2024-10-07T02:00:00Z,11.0,61.0,0.0,PT1H
2024-10-07T03:00:00Z,11.0,61.0,0.0,PT1H
2024-10-07T04:00:00Z,11.0,59.0,0.0,PT1H
2024-10-07T05:00:00Z,11.0,56.0,0.0,PT1H
2024-10-07T06:00:00Z,11.0,55.0,0.0,PT1H
2024-10-07T07:00:00Z,11.0,55.0,1.0,PT1H
2024-10-07T08:00:00Z,11.0,54.0,42.0,PT1H
2024-10-07T09:00:00Z,12.0,46.0,134.0,PT1H
2024-10-07T10:00:00Z,12.0,37.0,251.0,PT1H
2024-10-07T11:00:00Z,13.0,30.0,361.0,PT1H
2024-10-07T12:00:00Z,14.0,26.0,432.0,PT1H
2024-10-07T13:00:00Z,15.0,23.0,466.0,PT1H
2024-10-07T14:00:00Z,16.0,19.0,462.0,PT1H
2024-10-07T15:00:00Z,17.0,19.0,389.0,PT1H
2024-10-07T16:00:00Z,17.0,21.0,280.0,PT1H
2024-10-07T17:00:00Z,16.0,23.0,152.0,PT1H
2024-10-07T18:00:00Z,15.0,24.0,37.0,PT1H
2024-10-07T19:00:00Z,13.0,21.0,0.0,PT1H
2024-10-07T20:00:00Z,12.0,17.0,0.0,PT1H
2024-10-07T21:00:00Z,12.0,15.0,0.0,PT1H
2024-10-07T22:00:00Z,11.0,15.0,0.0,PT1H
2024-10-07T23:00:00Z,11.0,14.0,0.0,PT1H
2024-10-08,11.0,12.0,0.0,PT1H
2024-10-08T01:00:00Z,11.0,12.0,0.0,PT1H
2024-10-08T02:00:00Z,11.0,12.0,0.0,PT1H
2024-10-08T03:00:00Z,11.0,12.0,0.0,PT1H
2024-10-08T04:00:00Z,10.0,12.0,0.0,PT1H
2024-10-08T05:00:00Z,10.0,12.0,0.0,PT1H
2024-10-08T06:00:00Z,10.0,12.0,0.0,PT1H
2024-10-08T07:00:00Z,10.0,12.0,3.0,PT1H
2024-10-08T08:00:00Z,11.0,12.0,85.0,PT1H
2024-10-08T09:00:00Z,14.0,10.0,230.0,PT1H
2024-10-08T10:00:00Z,16.0,4.0,389.0,PT1H
2024-10-08T11:00:00Z,18.0,2.0,508.0,PT1H
2024-10-08T12:00:00Z,20.0,4.0,561.0,PT1H
2024-10-08T13:00:00Z,21.0,6.0,564.0,PT1H
2024-10-08T14:00:00Z,22.0,9.0,514.0,PT1H
2024-10-08T15:00:00Z,23.0,6.0,451.0,PT1H
2024-10-08T16:00:00Z,23.0,0.0,353.0,PT1H
2024-10-08T17:00:00Z,21.0,0.0,197.0,PT1H
2024-10-08T18:00:00Z,19.0,0.0,47.0,PT1H
2024-10-08T19:00:00Z,17.0,0.0,0.0,PT1H
