period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-02-10T19:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-02-10T20:00:00Z,-2.0,81.0,0.0,-9.9,0.0,PT1H,56.6,119.0
2025-02-10T21:00:00Z,-3.0,68.0,0.0,-9.9,0.0,PT1H,57.9,129.0
2025-02-10T22:00:00Z,-3.0,53.0,0.0,-9.8,0.0,PT1H,58.8,138.0
2025-02-10T23:00:00Z,-3.0,32.0,0.0,-10.0,0.0,PT1H,58.5,145.0
2025-02-11,-3.0,6.0,0.0,-10.4,0.0,PT1H,57.5,149.0
2025-02-11T01:00:00Z,-3.0,-22.0,0.0,-10.8,0.0,PT1H,56.6,147.0
2025-02-11T02:00:00Z,-4.0,-45.0,0.0,-11.2,0.0,PT1H,55.2,142.0
2025-02-11T03:00:00Z,-4.0,-62.0,0.0,-11.7,0.0,PT1H,53.9,133.0
2025-02-11T04:00:00Z,-4.0,-76.0,0.0,-12.0,0.0,PT1H,53.0,123.0
2025-02-11T05:00:00Z,-4.0,-88.0,0.0,-12.4,0.0,PT1H,52.3,113.0
2025-02-11T06:00:00Z,-4.0,-98.0,0.0,-12.7,0.0,PT1H,51.6,103.0
2025-02-11T07:00:00Z,-4.0,-109.0,0.0,-13.0,3.0,PT1H,50.9,92.0
2025-02-11T08:00:00Z,-4.0,-120.0,0.0,-13.1,100.0,PT1H,47.4,83.0
2025-02-11T09:00:00Z,-2.0,-132.0,0.0,-13.4,259.0,PT1H,41.3,74.0
2025-02-11T10:00:00Z,0.0,-145.0,0.0,-13.6,397.0,PT1H,36.5,67.0
2025-02-11T11:00:00Z,1.0,-160.0,0.0,-13.5,491.0,PT1H,33.5,62.0
2025-02-11T12:00:00Z,2.0,-177.0,0.0,-13.4,530.0,PT1H,31.7,60.0
2025-02-11T13:00:00Z,2.0,167.0,0.0,-13.2,511.0,PT1H,30.7,61.0
2025-02-11T14:00:00Z,3.0,151.0,0.0,-13.0,437.0,PT1H,30.7,65.0
2025-02-11T15:00:00Z,2.0,137.0,0.0,-12.6,312.0,PT1H,32.0,71.0
2025-02-11T16:00:00Z,1.0,124.0,0.0,-11.6,159.0,PT1H,37.4,79.0
2025-02-11T17:00:00Z,-1.0,113.0,0.0,-11.2,25.0,PT1H,45.1,88.0
2025-02-11T18:00:00Z,-2.0,102.0,0.0,-11.4,0.0,PT1H,49.3,98.0
2025-02-11T19:00:00Z,-3.0,92.0,0.0,-11.5,0.0,PT1H,51.0,108.0
2025-02-11T20:00:00Z,-3.0,81.0,0.0,-11.8,0.0,PT1H,50.9,119.0
2025-02-11T21:00:00Z,-3.0,68.0,0.0,-12.3,0.0,PT1H,49.8,129.0
2025-02-11T22:00:00Z,-4.0,52.0,0.0,-12.5,0.0,PT1H,49.8,138.0
2025-02-11T23:00:00Z,-4.0,32.0,0.0,-12.5,0.0,PT1H,50.5,145.0
2025-02-12,-4.0,6.0,0.0,-12.5,0.0,PT1H,51.5,148.0
2025-02-12T01:00:00Z,-4.0,-21.0,0.0,-12.4,0.0,PT1H,52.7,147.0
2025-02-12T02:00:00Z,-4.0,-44.0,0.0,-12.3,0.0,PT1H,53.9,141.0
2025-02-12T03:00:00Z,-4.0,-62.0,0.0,-12.2,0.0,PT1H,55.2,133.0
2025-02-12T04:00:00Z,-5.0,-76.0,0.0,-12.2,0.0,PT1H,55.8,123.0
2025-02-12T05:00:00Z,-5.0,-87.0,0.0,-12.2,0.0,PT1H,56.0,113.0
2025-02-12T06:00:00Z,-5.0,-98.0,0.0,-12.3,0.0,PT1H,56.4,102.0
2025-02-12T07:00:00Z,-5.0,-108.0,0.0,-12.3,3.0,PT1H,56.4,92.0
2025-02-12T08:00:00Z,-4.0,-119.0,0.0,-12.2,95.0,PT1H,53.3,82.0
2025-02-12T09:00:00Z,-2.0,-131.0,0.0,-12.2,250.0,PT1H,46.8,74.0
2025-02-12T10:00:00Z,-1.0,-145.0,0.0,-12.4,387.0,PT1H,41.4,67.0
2025-02-12T11:00:00Z,0.0,-160.0,0.0,-12.4,482.0,PT1H,37.8,62.0
2025-02-12T12:00:00Z,2.0,-177.0,0.0,-12.4,522.0,PT1H,34.9,60.0
2025-02-12T13:00:00Z,2.0,167.0,0.0,-12.4,504.0,PT1H,33.0,61.0
2025-02-12T14:00:00Z,3.0,151.0,0.0,-12.4,431.0,PT1H,31.8,65.0
2025-02-12T15:00:00Z,3.0,137.0,0.0,-12.2,310.0,PT1H,32.3,71.0
2025-02-12T16:00:00Z,2.0,124.0,0.0,-11.7,158.0,PT1H,37.0,79.0
2025-02-12T17:00:00Z,-1.0,113.0,0.0,-11.2,25.0,PT1H,44.5,88.0
2025-02-12T18:00:00Z,-2.0,102.0,0.0,-11.4,0.0,PT1H,49.0,98.0
2025-02-12T19:00:00Z,-2.0,92.0,0.0,-11.4,0.0,PT1H,50.1,108.0
2025-02-12T20:00:00Z,-2.0,81.0,0.0,-11.4,0.0,PT1H,49.5,119.0
2025-02-12T21:00:00Z,-2.0,68.0,0.0,-11.2,0.0,PT1H,49.9,129.0
2025-02-12T22:00:00Z,-2.0,52.0,11.0,-11.0,0.0,PT1H,51.5,138.0
2025-02-12T23:00:00Z,-2.0,31.0,18.0,-10.8,0.0,PT1H,52.5,145.0
2025-02-13,-2.0,6.0,28.0,-10.6,0.0,PT1H,53.0,148.0
2025-02-13T01:00:00Z,-2.0,-21.0,32.0,-10.6,0.0,PT1H,52.6,147.0
2025-02-13T02:00:00Z,-2.0,-44.0,39.0,-10.6,0.0,PT1H,52.2,141.0
2025-02-13T03:00:00Z,-2.0,-62.0,51.0,-10.6,0.0,PT1H,52.0,133.0
2025-02-13T04:00:00Z,-2.0,-75.0,61.0,-10.6,0.0,PT1H,51.8,123.0
2025-02-13T05:00:00Z,-2.0,-87.0,65.0,-10.6,0.0,PT1H,51.8,113.0
2025-02-13T06:00:00Z,-2.0,-98.0,65.0,-10.4,0.0,PT1H,51.9,102.0
2025-02-13T07:00:00Z,-2.0,-108.0,65.0,-10.2,1.0,PT1H,51.8,92.0
2025-02-13T08:00:00Z,-1.0,-119.0,65.0,-10.0,34.0,PT1H,50.3,82.0
2025-02-13T09:00:00Z,0.0,-131.0,60.0,-9.5,101.0,PT1H,48.5,74.0
2025-02-13T10:00:00Z,1.0,-145.0,57.0,-8.7,162.0,PT1H,48.0,67.0
2025-02-13T11:00:00Z,2.0,-160.0,57.0,-7.6,202.0,PT1H,49.2,62.0
2025-02-13T12:00:00Z,3.0,-176.0,56.0,-6.5,224.0,PT1H,51.1,60.0
2025-02-13T13:00:00Z,3.0,167.0,56.0,-5.7,215.0,PT1H,51.9,60.0
2025-02-13T14:00:00Z,4.0,151.0,56.0,-5.2,185.0,PT1H,53.0,64.0
2025-02-13T15:00:00Z,3.0,137.0,55.0,-4.6,135.0,PT1H,56.4,70.0
2025-02-13T16:00:00Z,2.0,124.0,58.0,-4.0,67.0,PT1H,63.2,78.0
2025-02-13T17:00:00Z,1.0,113.0,58.0,-3.5,11.0,PT1H,71.4,88.0
2025-02-13T18:00:00Z,0.0,102.0,55.0,-3.3,0.0,PT1H,76.5,98.0
2025-02-13T19:00:00Z,0.0,91.0,54.0,-3.2,0.0,PT1H,78.5,108.0
2025-02-13T20:00:00Z,0.0,80.0,53.0,-3.2,0.0,PT1H,79.0,118.0
2025-02-13T21:00:00Z,0.0,68.0,51.0,-3.2,0.0,PT1H,78.5,128.0
2025-02-13T22:00:00Z,0.0,52.0,49.0,-3.0,0.0,PT1H,77.7,137.0
2025-02-13T23:00:00Z,1.0,31.0,50.0,-2.8,0.0,PT1H,77.7,144.0
2025-02-14,1.0,6.0,54.0,-2.4,0.0,PT1H,78.6,148.0
2025-02-14T01:00:00Z,1.0,-21.0,56.0,-2.2,0.0,PT1H,79.8,146.0
2025-02-14T02:00:00Z,1.0,-44.0,54.0,-2.1,0.0,PT1H,80.9,141.0
2025-02-14T03:00:00Z,1.0,-61.0,49.0,-2.1,0.0,PT1H,82.1,132.0
2025-02-14T04:00:00Z,1.0,-75.0,44.0,-2.0,0.0,PT1H,83.0,123.0
2025-02-14T05:00:00Z,1.0,-87.0,42.0,-1.9,0.0,PT1H,83.6,112.0
2025-02-14T06:00:00Z,0.0,-97.0,42.0,-1.8,0.0,PT1H,84.3,102.0
2025-02-14T07:00:00Z,1.0,-108.0,42.0,-1.7,3.0,PT1H,84.3,92.0
2025-02-14T08:00:00Z,2.0,-119.0,40.0,-1.4,60.0,PT1H,81.1,82.0
2025-02-14T09:00:00Z,3.0,-131.0,30.0,-0.9,176.0,PT1H,75.0,73.0
2025-02-14T10:00:00Z,5.0,-145.0,22.0,-0.5,298.0,PT1H,69.8,66.0
2025-02-14T11:00:00Z,6.0,-160.0,23.0,0.0,361.0,PT1H,67.5,61.0
2025-02-14T12:00:00Z,6.0,-176.0,34.0,0.5,337.0,PT1H,67.8,59.0
2025-02-14T13:00:00Z,6.0,167.0,43.0,0.8,276.0,PT1H,71.0,60.0
2025-02-14T14:00:00Z,4.0,151.0,48.0,1.3,216.0,PT1H,82.7,64.0
2025-02-14T15:00:00Z,2.0,136.0,49.0,1.3,151.0,PT1H,95.5,70.0
2025-02-14T16:00:00Z,1.0,124.0,53.0,0.6,73.0,PT1H,98.9,78.0
2025-02-14T17:00:00Z,0.0,112.0,57.0,0.0,11.0,PT1H,98.9,87.0
2025-02-14T18:00:00Z,0.0,102.0,57.0,-0.3,0.0,PT1H,98.2,97.0
2025-02-14T19:00:00Z,0.0,91.0,59.0,-0.8,0.0,PT1H,97.1,108.0
2025-02-14T20:00:00Z,-1.0,80.0,63.0,-1.5,0.0,PT1H,94.3,118.0
2025-02-14T21:00:00Z,-1.0,67.0,61.0,-2.4,0.0,PT1H,91.2,128.0
2025-02-14T22:00:00Z,-2.0,51.0,60.0,-3.2,0.0,PT1H,88.8,137.0
2025-02-14T23:00:00Z,-2.0,31.0,67.0,-3.6,0.0,PT1H,88.1,144.0
2025-02-15,-3.0,6.0,68.0,-4.0,0.0,PT1H,89.8,147.0
2025-02-15T01:00:00Z,-3.0,-21.0,68.0,-4.6,0.0,PT1H,90.7,146.0
2025-02-15T02:00:00Z,-4.0,-44.0,69.0,-4.8,0.0,PT1H,91.0,140.0
2025-02-15T03:00:00Z,-4.0,-61.0,67.0,-4.8,0.0,PT1H,91.4,132.0
2025-02-15T04:00:00Z,-4.0,-75.0,64.0,-5.2,0.0,PT1H,91.7,122.0
