air_temp,cloud_opacity,ghi,period_end,period
25,0,830,2024-07-30T12:30:00Z,PT15M
25,0,805,2024-07-30T12:45:00Z,PT15M
25,0,777,2024-07-30T13:00:00Z,PT15M
25,0,747,2024-07-30T13:15:00Z,PT15M
25,0,714,2024-07-30T13:30:00Z,PT15M
25,0,679,2024-07-30T13:45:00Z,PT15M
25,0,641,2024-07-30T14:00:00Z,PT15M
25,0,602,2024-07-30T14:15:00Z,PT15M
25,0,562,2024-07-30T14:30:00Z,PT15M
25,0,521,2024-07-30T14:45:00Z,PT15M
25,0,478,2024-07-30T15:00:00Z,PT15M
25,0,434,2024-07-30T15:15:00Z,PT15M
25,0,390,2024-07-30T15:30:00Z,PT15M
25,0,346,2024-07-30T15:45:00Z,PT15M
24,0,301,2024-07-30T16:00:00Z,PT15M
24,0,257,2024-07-30T16:15:00Z,PT15M
23,1,211,2024-07-30T16:30:00Z,PT15M
23,4,165,2024-07-30T16:45:00Z,PT15M
22,7,121,2024-07-30T17:00:00Z,PT15M
22,0,91,2024-07-30T17:15:00Z,PT15M
21,0,56,2024-07-30T17:30:00Z,PT15M
20,0,26,2024-07-30T17:45:00Z,PT15M
19,0,4,2024-07-30T18:00:00Z,PT15M
18,0,0,2024-07-30T18:15:00Z,PT15M
18,0,0,2024-07-30T18:30:00Z,PT15M
17,0,0,2024-07-30T18:45:00Z,PT15M
17,0,0,2024-07-30T19:00:00Z,PT15M
17,0,0,2024-07-30T19:15:00Z,PT15M
16,0,0,2024-07-30T19:30:00Z,PT15M
16,0,0,2024-07-30T19:45:00Z,PT15M
16,0,0,2024-07-30T20:00:00Z,PT15M
16,0,0,2024-07-30T20:15:00Z,PT15M
15,0,0,2024-07-30T20:30:00Z,PT15M
15,0,0,2024-07-30T20:45:00Z,PT15M
15,0,0,2024-07-30T21:00:00Z,PT15M
15,0,0,2024-07-30T21:15:00Z,PT15M
15,0,0,2024-07-30T21:30:00Z,PT15M
15,0,0,2024-07-30T21:45:00Z,PT15M
15,0,0,2024-07-30T22:00:00Z,PT15M
14,0,0,2024-07-30T22:15:00Z,PT15M
14,0,0,2024-07-30T22:30:00Z,PT15M
14,0,0,2024-07-30T22:45:00Z,PT15M
14,0,0,2024-07-30T23:00:00Z,PT15M
14,0,0,2024-07-30T23:15:00Z,PT15M
14,0,0,2024-07-30T23:30:00Z,PT15M
14,0,0,2024-07-30T23:45:00Z,PT15M
14,0,0,2024-07-31,PT15M
13,0,0,2024-07-31T00:15:00Z,PT15M
13,0,0,2024-07-31T00:30:00Z,PT15M
13,0,0,2024-07-31T00:45:00Z,PT15M
13,0,0,2024-07-31T01:00:00Z,PT15M
13,0,0,2024-07-31T01:15:00Z,PT15M
13,0,0,2024-07-31T01:30:00Z,PT15M
12,0,0,2024-07-31T01:45:00Z,PT15M
12,0,0,2024-07-31T02:00:00Z,PT15M
12,0,0,2024-07-31T02:15:00Z,PT15M
12,0,0,2024-07-31T02:30:00Z,PT15M
12,0,0,2024-07-31T02:45:00Z,PT15M
12,0,0,2024-07-31T03:00:00Z,PT15M
12,0,2,2024-07-31T03:15:00Z,PT15M
12,0,20,2024-07-31T03:30:00Z,PT15M
12,0,47,2024-07-31T03:45:00Z,PT15M
13,0,80,2024-07-31T04:00:00Z,PT15M
13,7,109,2024-07-31T04:15:00Z,PT15M
14,4,151,2024-07-31T04:30:00Z,PT15M
15,1,198,2024-07-31T04:45:00Z,PT15M
16,0,242,2024-07-31T05:00:00Z,PT15M
16,0,286,2024-07-31T05:15:00Z,PT15M
17,0,331,2024-07-31T05:30:00Z,PT15M
18,0,375,2024-07-31T05:45:00Z,PT15M
18,0,418,2024-07-31T06:00:00Z,PT15M
19,0,462,2024-07-31T06:15:00Z,PT15M
20,0,504,2024-07-31T06:30:00Z,PT15M
20,0,545,2024-07-31T06:45:00Z,PT15M
21,0,585,2024-07-31T07:00:00Z,PT15M
22,0,624,2024-07-31T07:15:00Z,PT15M
22,0,660,2024-07-31T07:30:00Z,PT15M
23,0,694,2024-07-31T07:45:00Z,PT15M
23,0,726,2024-07-31T08:00:00Z,PT15M
24,0,756,2024-07-31T08:15:00Z,PT15M
24,0,784,2024-07-31T08:30:00Z,PT15M
24,0,809,2024-07-31T08:45:00Z,PT15M
25,0,831,2024-07-31T09:00:00Z,PT15M
25,0,850,2024-07-31T09:15:00Z,PT15M
26,0,866,2024-07-31T09:30:00Z,PT15M
26,0,879,2024-07-31T09:45:00Z,PT15M
26,0,890,2024-07-31T10:00:00Z,PT15M
26,0,896,2024-07-31T10:15:00Z,PT15M
27,0,900,2024-07-31T10:30:00Z,PT15M
27,0,900,2024-07-31T10:45:00Z,PT15M
27,0,897,2024-07-31T11:00:00Z,PT15M
28,0,891,2024-07-31T11:15:00Z,PT15M
28,0,881,2024-07-31T11:30:00Z,PT15M
28,0,869,2024-07-31T11:45:00Z,PT15M
28,0,853,2024-07-31T12:00:00Z,PT15M
28,0,834,2024-07-31T12:15:00Z,PT15M
28,0,812,2024-07-31T12:30:00Z,PT15M
29,0,788,2024-07-31T12:45:00Z,PT15M
29,0,760,2024-07-31T13:00:00Z,PT15M
29,0,731,2024-07-31T13:15:00Z,PT15M
29,0,699,2024-07-31T13:30:00Z,PT15M
29,0,665,2024-07-31T13:45:00Z,PT15M
29,0,628,2024-07-31T14:00:00Z,PT15M
29,0,590,2024-07-31T14:15:00Z,PT15M
29,0,550,2024-07-31T14:30:00Z,PT15M
29,0,509,2024-07-31T14:45:00Z,PT15M
29,0,467,2024-07-31T15:00:00Z,PT15M
29,0,423,2024-07-31T15:15:00Z,PT15M
28,0,379,2024-07-31T15:30:00Z,PT15M
28,0,335,2024-07-31T15:45:00Z,PT15M
28,0,290,2024-07-31T16:00:00Z,PT15M
28,0,246,2024-07-31T16:15:00Z,PT15M
27,0,202,2024-07-31T16:30:00Z,PT15M
26,3,156,2024-07-31T16:45:00Z,PT15M
25,7,113,2024-07-31T17:00:00Z,PT15M
24,0,83,2024-07-31T17:15:00Z,PT15M
23,0,50,2024-07-31T17:30:00Z,PT15M
22,0,22,2024-07-31T17:45:00Z,PT15M
21,0,3,2024-07-31T18:00:00Z,PT15M
21,0,0,2024-07-31T18:15:00Z,PT15M
20,0,0,2024-07-31T18:30:00Z,PT15M
20,0,0,2024-07-31T18:45:00Z,PT15M
20,0,0,2024-07-31T19:00:00Z,PT15M
19,0,0,2024-07-31T19:15:00Z,PT15M
19,0,0,2024-07-31T19:30:00Z,PT15M
19,0,0,2024-07-31T19:45:00Z,PT15M
19,0,0,2024-07-31T20:00:00Z,PT15M
18,0,0,2024-07-31T20:15:00Z,PT15M
18,0,0,2024-07-31T20:30:00Z,PT15M
18,0,0,2024-07-31T20:45:00Z,PT15M
18,0,0,2024-07-31T21:00:00Z,PT15M
18,10,0,2024-07-31T21:15:00Z,PT15M
18,10,0,2024-07-31T21:30:00Z,PT15M
17,11,0,2024-07-31T21:45:00Z,PT15M
17,11,0,2024-07-31T22:00:00Z,PT15M
17,11,0,2024-07-31T22:15:00Z,PT15M
17,11,0,2024-07-31T22:30:00Z,PT15M
17,11,0,2024-07-31T22:45:00Z,PT15M
17,11,0,2024-07-31T23:00:00Z,PT15M
17,11,0,2024-07-31T23:15:00Z,PT15M
16,12,0,2024-07-31T23:30:00Z,PT15M
16,12,0,2024-07-31T23:45:00Z,PT15M
16,12,0,2024-08-01,PT15M
16,12,0,2024-08-01T00:15:00Z,PT15M
16,12,0,2024-08-01T00:30:00Z,PT15M
16,12,0,2024-08-01T00:45:00Z,PT15M
16,12,0,2024-08-01T01:00:00Z,PT15M
15,12,0,2024-08-01T01:15:00Z,PT15M
15,12,0,2024-08-01T01:30:00Z,PT15M
15,12,0,2024-08-01T01:45:00Z,PT15M
15,12,0,2024-08-01T02:00:00Z,PT15M
15,12,0,2024-08-01T02:15:00Z,PT15M
15,12,0,2024-08-01T02:30:00Z,PT15M
14,12,0,2024-08-01T02:45:00Z,PT15M
14,12,0,2024-08-01T03:00:00Z,PT15M
14,12,1,2024-08-01T03:15:00Z,PT15M
15,12,14,2024-08-01T03:30:00Z,PT15M
15,12,37,2024-08-01T03:45:00Z,PT15M
15,12,64,2024-08-01T04:00:00Z,PT15M
16,10,98,2024-08-01T04:15:00Z,PT15M
16,7,138,2024-08-01T04:30:00Z,PT15M
17,4,182,2024-08-01T04:45:00Z,PT15M
18,2,226,2024-08-01T05:00:00Z,PT15M
18,2,271,2024-08-01T05:15:00Z,PT15M
19,1,316,2024-08-01T05:30:00Z,PT15M
19,0,362,2024-08-01T05:45:00Z,PT15M
