air_temp,ghi,cloud_opacity,period_end,period
22,801,0,2024-07-30T08:30:00Z,PT15M
22,773,0,2024-07-30T08:15:00Z,PT15M
21,742,0,2024-07-30T08:00:00Z,PT15M
21,709,0,2024-07-30T07:45:00Z,PT15M
21,673,0,2024-07-30T07:30:00Z,PT15M
20,635,0,2024-07-30T07:15:00Z,PT15M
20,596,0,2024-07-30T07:00:00Z,PT15M
19,556,0,2024-07-30T06:45:00Z,PT15M
19,514,0,2024-07-30T06:30:00Z,PT15M
18,471,0,2024-07-30T06:15:00Z,PT15M
18,428,0,2024-07-30T06:00:00Z,PT15M
17,383,0,2024-07-30T05:45:00Z,PT15M
16,339,0,2024-07-30T05:30:00Z,PT15M
16,294,0,2024-07-30T05:15:00Z,PT15M
15,250,0,2024-07-30T05:00:00Z,PT15M
14,206,0,2024-07-30T04:45:00Z,PT15M
14,164,0,2024-07-30T04:30:00Z,PT15M
13,123,0,2024-07-30T04:15:00Z,PT15M
12,85,0,2024-07-30T04:00:00Z,PT15M
12,51,0,2024-07-30T03:45:00Z,PT15M
12,22,0,2024-07-30T03:30:00Z,PT15M
12,2,0,2024-07-30T03:15:00Z,PT15M
12,0,4,2024-07-30T03:00:00Z,PT15M
12,0,4,2024-07-30T02:45:00Z,PT15M
12,0,0,2024-07-30T02:30:00Z,PT15M
12,0,0,2024-07-30T02:15:00Z,PT15M
12,0,4,2024-07-30T02:00:00Z,PT15M
12,0,4,2024-07-30T01:45:00Z,PT15M
12,0,0,2024-07-30T01:30:00Z,PT15M
12,0,0,2024-07-30T01:15:00Z,PT15M
12,0,0,2024-07-30T01:00:00Z,PT15M
12,0,0,2024-07-30T00:45:00Z,PT15M
13,0,0,2024-07-30T00:30:00Z,PT15M
13,0,0,2024-07-30T00:15:00Z,PT15M
13,0,0,2024-07-30,PT15M
13,0,0,2024-07-29T23:45:00Z,PT15M
13,0,8,2024-07-29T23:30:00Z,PT15M
13,0,0,2024-07-29T23:15:00Z,PT15M
13,0,4,2024-07-29T23:00:00Z,PT15M
14,0,11,2024-07-29T22:45:00Z,PT15M
14,0,0,2024-07-29T22:30:00Z,PT15M
14,0,4,2024-07-29T22:15:00Z,PT15M
14,0,11,2024-07-29T22:00:00Z,PT15M
14,0,12,2024-07-29T21:45:00Z,PT15M
14,0,4,2024-07-29T21:30:00Z,PT15M
14,0,0,2024-07-29T21:15:00Z,PT15M
14,0,0,2024-07-29T21:00:00Z,PT15M
15,0,0,2024-07-29T20:45:00Z,PT15M
15,0,0,2024-07-29T20:30:00Z,PT15M
15,0,0,2024-07-29T20:15:00Z,PT15M
15,0,0,2024-07-29T20:00:00Z,PT15M
16,0,0,2024-07-29T19:45:00Z,PT15M
16,0,0,2024-07-29T19:30:00Z,PT15M
16,0,0,2024-07-29T19:15:00Z,PT15M
16,0,0,2024-07-29T19:00:00Z,PT15M
17,0,0,2024-07-29T18:45:00Z,PT15M
18,0,0,2024-07-29T18:30:00Z,PT15M
18,0,0,2024-07-29T18:15:00Z,PT15M
19,5,0,2024-07-29T18:00:00Z,PT15M
20,27,0,2024-07-29T17:45:00Z,PT15M
21,57,0,2024-07-29T17:30:00Z,PT15M
21,92,0,2024-07-29T17:15:00Z,PT15M
22,130,0,2024-07-29T17:00:00Z,PT15M
23,171,0,2024-07-29T16:45:00Z,PT15M
23,214,0,2024-07-29T16:30:00Z,PT15M
24,258,0,2024-07-29T16:15:00Z,PT15M
24,303,0,2024-07-29T16:00:00Z,PT15M
24,348,0,2024-07-29T15:45:00Z,PT15M
24,393,0,2024-07-29T15:30:00Z,PT15M
25,438,0,2024-07-29T15:15:00Z,PT15M
25,482,0,2024-07-29T15:00:00Z,PT15M
25,525,0,2024-07-29T14:45:00Z,PT15M
25,567,0,2024-07-29T14:30:00Z,PT15M
25,608,0,2024-07-29T14:15:00Z,PT15M
26,647,0,2024-07-29T14:00:00Z,PT15M
26,684,0,2024-07-29T13:45:00Z,PT15M
26,719,0,2024-07-29T13:30:00Z,PT15M
26,752,0,2024-07-29T13:15:00Z,PT15M
26,782,0,2024-07-29T13:00:00Z,PT15M
26,810,0,2024-07-29T12:45:00Z,PT15M
26,835,0,2024-07-29T12:30:00Z,PT15M
26,857,0,2024-07-29T12:15:00Z,PT15M
26,876,0,2024-07-29T12:00:00Z,PT15M
26,891,0,2024-07-29T11:45:00Z,PT15M
26,904,0,2024-07-29T11:30:00Z,PT15M
26,913,0,2024-07-29T11:15:00Z,PT15M
26,919,0,2024-07-29T11:00:00Z,PT15M
26,922,0,2024-07-29T10:45:00Z,PT15M
26,921,0,2024-07-29T10:30:00Z,PT15M
25,918,0,2024-07-29T10:15:00Z,PT15M
25,911,0,2024-07-29T10:00:00Z,PT15M
25,901,0,2024-07-29T09:45:00Z,PT15M
24,887,0,2024-07-29T09:30:00Z,PT15M
24,871,0,2024-07-29T09:15:00Z,PT15M
24,851,0,2024-07-29T09:00:00Z,PT15M
23,829,0,2024-07-29T08:45:00Z,PT15M
23,804,0,2024-07-29T08:30:00Z,PT15M
22,776,0,2024-07-29T08:15:00Z,PT15M
22,745,0,2024-07-29T08:00:00Z,PT15M
22,712,0,2024-07-29T07:45:00Z,PT15M
21,677,0,2024-07-29T07:30:00Z,PT15M
21,640,0,2024-07-29T07:15:00Z,PT15M
20,600,0,2024-07-29T07:00:00Z,PT15M
20,558,0,2024-07-29T06:45:00Z,PT15M
20,515,0,2024-07-29T06:30:00Z,PT15M
19,470,0,2024-07-29T06:15:00Z,PT15M
19,425,0,2024-07-29T06:00:00Z,PT15M
18,379,0,2024-07-29T05:45:00Z,PT15M
18,322,3,2024-07-29T05:30:00Z,PT15M
17,248,13,2024-07-29T05:15:00Z,PT15M
17,185,23,2024-07-29T05:00:00Z,PT15M
17,147,26,2024-07-29T04:45:00Z,PT15M
17,83,45,2024-07-29T04:30:00Z,PT15M
16,73,34,2024-07-29T04:15:00Z,PT15M
16,61,20,2024-07-29T04:00:00Z,PT15M
16,32,30,2024-07-29T03:45:00Z,PT15M
16,10,50,2024-07-29T03:30:00Z,PT15M
16,2,42,2024-07-29T03:15:00Z,PT15M
16,0,41,2024-07-29T03:00:00Z,PT15M
17,0,48,2024-07-29T02:45:00Z,PT15M
17,0,42,2024-07-29T02:30:00Z,PT15M
17,0,20,2024-07-29T02:15:00Z,PT15M
17,0,20,2024-07-29T02:00:00Z,PT15M
17,0,25,2024-07-29T01:45:00Z,PT15M
17,0,25,2024-07-29T01:30:00Z,PT15M
17,0,21,2024-07-29T01:15:00Z,PT15M
17,0,34,2024-07-29T01:00:00Z,PT15M
17,0,37,2024-07-29T00:45:00Z,PT15M
17,0,39,2024-07-29T00:30:00Z,PT15M
17,0,37,2024-07-29T00:15:00Z,PT15M
17,0,40,2024-07-29,PT15M
18,0,29,2024-07-28T23:45:00Z,PT15M
18,0,24,2024-07-28T23:30:00Z,PT15M
18,0,27,2024-07-28T23:15:00Z,PT15M
19,0,26,2024-07-28T23:00:00Z,PT15M
19,0,32,2024-07-28T22:45:00Z,PT15M
20,0,40,2024-07-28T22:30:00Z,PT15M
20,0,46,2024-07-28T22:15:00Z,PT15M
20,0,33,2024-07-28T22:00:00Z,PT15M
20,0,4,2024-07-28T21:45:00Z,PT15M
21,0,0,2024-07-28T21:30:00Z,PT15M
21,0,0,2024-07-28T21:15:00Z,PT15M
21,0,0,2024-07-28T21:00:00Z,PT15M
21,0,0,2024-07-28T20:45:00Z,PT15M
21,0,0,2024-07-28T20:30:00Z,PT15M
22,0,0,2024-07-28T20:15:00Z,PT15M
22,0,0,2024-07-28T20:00:00Z,PT15M
22,0,0,2024-07-28T19:45:00Z,PT15M
22,0,0,2024-07-28T19:30:00Z,PT15M
22,0,9,2024-07-28T19:15:00Z,PT15M
23,0,14,2024-07-28T19:00:00Z,PT15M
23,0,4,2024-07-28T18:45:00Z,PT15M
23,0,8,2024-07-28T18:30:00Z,PT15M
24,0,14,2024-07-28T18:15:00Z,PT15M
24,5,15,2024-07-28T18:00:00Z,PT15M
25,24,18,2024-07-28T17:45:00Z,PT15M
26,54,9,2024-07-28T17:30:00Z,PT15M
27,93,0,2024-07-28T17:15:00Z,PT15M
28,130,0,2024-07-28T17:00:00Z,PT15M
29,170,0,2024-07-28T16:45:00Z,PT15M
30,211,0,2024-07-28T16:30:00Z,PT15M
30,254,0,2024-07-28T16:15:00Z,PT15M
31,297,0,2024-07-28T16:00:00Z,PT15M
31,340,0,2024-07-28T15:45:00Z,PT15M
31,383,0,2024-07-28T15:30:00Z,PT15M
31,425,0,2024-07-28T15:15:00Z,PT15M
32,467,0,2024-07-28T15:00:00Z,PT15M
31,508,0,2024-07-28T14:45:00Z,PT15M
31,548,0,2024-07-28T14:30:00Z,PT15M
31,586,0,2024-07-28T14:15:00Z,PT15M
31,623,0,2024-07-28T14:00:00Z,PT15M
31,658,0,2024-07-28T13:45:00Z,PT15M
31,691,0,2024-07-28T13:30:00Z,PT15M
31,722,0,2024-07-28T13:15:00Z,PT15M
31,751,0,2024-07-28T13:00:00Z,PT15M
31,777,0,2024-07-28T12:45:00Z,PT15M
31,801,0,2024-07-28T12:30:00Z,PT15M
31,822,0,2024-07-28T12:15:00Z,PT15M
31,840,0,2024-07-28T12:00:00Z,PT15M
31,854,0,2024-07-28T11:45:00Z,PT15M
31,866,0,2024-07-28T11:30:00Z,PT15M
30,874,0,2024-07-28T11:15:00Z,PT15M
30,880,0,2024-07-28T11:00:00Z,PT15M
30,883,0,2024-07-28T10:45:00Z,PT15M
29,884,0,2024-07-28T10:30:00Z,PT15M
29,880,0,2024-07-28T10:15:00Z,PT15M
29,874,0,2024-07-28T10:00:00Z,PT15M
28,864,0,2024-07-28T09:45:00Z,PT15M
28,852,0,2024-07-28T09:30:00Z,PT15M
28,836,0,2024-07-28T09:15:00Z,PT15M
27,817,0,2024-07-28T09:00:00Z,PT15M
27,796,0,2024-07-28T08:45:00Z,PT15M
26,772,0,2024-07-28T08:30:00Z,PT15M
26,746,0,2024-07-28T08:15:00Z,PT15M
25,716,0,2024-07-28T08:00:00Z,PT15M
25,685,0,2024-07-28T07:45:00Z,PT15M
24,651,0,2024-07-28T07:30:00Z,PT15M
24,615,0,2024-07-28T07:15:00Z,PT15M
23,578,0,2024-07-28T07:00:00Z,PT15M
23,539,0,2024-07-28T06:45:00Z,PT15M
22,499,0,2024-07-28T06:30:00Z,PT15M
22,457,0,2024-07-28T06:15:00Z,PT15M
21,415,0,2024-07-28T06:00:00Z,PT15M
20,372,0,2024-07-28T05:45:00Z,PT15M
20,329,0,2024-07-28T05:30:00Z,PT15M
19,285,0,2024-07-28T05:15:00Z,PT15M
19,242,0,2024-07-28T05:00:00Z,PT15M
18,200,0,2024-07-28T04:45:00Z,PT15M
17,159,0,2024-07-28T04:30:00Z,PT15M
17,120,0,2024-07-28T04:15:00Z,PT15M
16,84,0,2024-07-28T04:00:00Z,PT15M
16,52,0,2024-07-28T03:45:00Z,PT15M
16,24,0,2024-07-28T03:30:00Z,PT15M
16,4,0,2024-07-28T03:15:00Z,PT15M
16,0,0,2024-07-28T03:00:00Z,PT15M
16,0,0,2024-07-28T02:45:00Z,PT15M
16,0,0,2024-07-28T02:30:00Z,PT15M
16,0,0,2024-07-28T02:15:00Z,PT15M
16,0,0,2024-07-28T02:00:00Z,PT15M
16,0,4,2024-07-28T01:45:00Z,PT15M
16,0,0,2024-07-28T01:30:00Z,PT15M
16,0,0,2024-07-28T01:15:00Z,PT15M
16,0,0,2024-07-28T01:00:00Z,PT15M
17,0,0,2024-07-28T00:45:00Z,PT15M
17,0,0,2024-07-28T00:30:00Z,PT15M
17,0,0,2024-07-28T00:15:00Z,PT15M
17,0,0,2024-07-28,PT15M
17,0,0,2024-07-27T23:45:00Z,PT15M
17,0,0,2024-07-27T23:30:00Z,PT15M
17,0,0,2024-07-27T23:15:00Z,PT15M
17,0,0,2024-07-27T23:00:00Z,PT15M
17,0,0,2024-07-27T22:45:00Z,PT15M
18,0,0,2024-07-27T22:30:00Z,PT15M
18,0,0,2024-07-27T22:15:00Z,PT15M
18,0,0,2024-07-27T22:00:00Z,PT15M
18,0,0,2024-07-27T21:45:00Z,PT15M
18,0,0,2024-07-27T21:30:00Z,PT15M
18,0,0,2024-07-27T21:15:00Z,PT15M
18,0,0,2024-07-27T21:00:00Z,PT15M
18,0,0,2024-07-27T20:45:00Z,PT15M
18,0,0,2024-07-27T20:30:00Z,PT15M
19,0,0,2024-07-27T20:15:00Z,PT15M
19,0,0,2024-07-27T20:00:00Z,PT15M
19,0,0,2024-07-27T19:45:00Z,PT15M
19,0,0,2024-07-27T19:30:00Z,PT15M
19,0,0,2024-07-27T19:15:00Z,PT15M
20,0,0,2024-07-27T19:00:00Z,PT15M
20,0,0,2024-07-27T18:45:00Z,PT15M
20,0,4,2024-07-27T18:30:00Z,PT15M
20,0,0,2024-07-27T18:15:00Z,PT15M
21,6,10,2024-07-27T18:00:00Z,PT15M
22,28,9,2024-07-27T17:45:00Z,PT15M
22,60,0,2024-07-27T17:30:00Z,PT15M
23,94,0,2024-07-27T17:15:00Z,PT15M
24,131,0,2024-07-27T17:00:00Z,PT15M
25,171,0,2024-07-27T16:45:00Z,PT15M
25,212,0,2024-07-27T16:30:00Z,PT15M
26,255,0,2024-07-27T16:15:00Z,PT15M
26,298,0,2024-07-27T16:00:00Z,PT15M
27,342,0,2024-07-27T15:45:00Z,PT15M
27,386,0,2024-07-27T15:30:00Z,PT15M
27,429,0,2024-07-27T15:15:00Z,PT15M
27,472,0,2024-07-27T15:00:00Z,PT15M
27,513,0,2024-07-27T14:45:00Z,PT15M
27,554,0,2024-07-27T14:30:00Z,PT15M
27,593,0,2024-07-27T14:15:00Z,PT15M
27,630,0,2024-07-27T14:00:00Z,PT15M
27,666,0,2024-07-27T13:45:00Z,PT15M
27,700,0,2024-07-27T13:30:00Z,PT15M
27,731,0,2024-07-27T13:15:00Z,PT15M
27,760,0,2024-07-27T13:00:00Z,PT15M
27,786,0,2024-07-27T12:45:00Z,PT15M
27,810,0,2024-07-27T12:30:00Z,PT15M
27,831,0,2024-07-27T12:15:00Z,PT15M
27,848,0,2024-07-27T12:00:00Z,PT15M
27,861,0,2024-07-27T11:45:00Z,PT15M
27,871,0,2024-07-27T11:30:00Z,PT15M
27,878,0,2024-07-27T11:15:00Z,PT15M
26,883,0,2024-07-27T11:00:00Z,PT15M
26,885,0,2024-07-27T10:45:00Z,PT15M
26,885,0,2024-07-27T10:30:00Z,PT15M
26,881,0,2024-07-27T10:15:00Z,PT15M
26,874,0,2024-07-27T10:00:00Z,PT15M
25,864,0,2024-07-27T09:45:00Z,PT15M
25,851,0,2024-07-27T09:30:00Z,PT15M
25,835,0,2024-07-27T09:15:00Z,PT15M
24,816,0,2024-07-27T09:00:00Z,PT15M
24,794,0,2024-07-27T08:45:00Z,PT15M
24,770,0,2024-07-27T08:30:00Z,PT15M
23,742,0,2024-07-27T08:15:00Z,PT15M
23,713,0,2024-07-27T08:00:00Z,PT15M
22,681,0,2024-07-27T07:45:00Z,PT15M
22,647,0,2024-07-27T07:30:00Z,PT15M
21,611,0,2024-07-27T07:15:00Z,PT15M
21,573,0,2024-07-27T07:00:00Z,PT15M
20,534,0,2024-07-27T06:45:00Z,PT15M
20,492,0,2024-07-27T06:30:00Z,PT15M
19,450,0,2024-07-27T06:15:00Z,PT15M
19,407,0,2024-07-27T06:00:00Z,PT15M
18,364,0,2024-07-27T05:45:00Z,PT15M
18,320,0,2024-07-27T05:30:00Z,PT15M
17,277,0,2024-07-27T05:15:00Z,PT15M
17,234,0,2024-07-27T05:00:00Z,PT15M
16,192,0,2024-07-27T04:45:00Z,PT15M
16,151,0,2024-07-27T04:30:00Z,PT15M
15,113,0,2024-07-27T04:15:00Z,PT15M
14,78,0,2024-07-27T04:00:00Z,PT15M
14,48,0,2024-07-27T03:45:00Z,PT15M
14,23,0,2024-07-27T03:30:00Z,PT15M
14,4,0,2024-07-27T03:15:00Z,PT15M
14,0,0,2024-07-27T03:00:00Z,PT15M
14,0,0,2024-07-27T02:45:00Z,PT15M
14,0,0,2024-07-27T02:30:00Z,PT15M
14,0,0,2024-07-27T02:15:00Z,PT15M
14,0,0,2024-07-27T02:00:00Z,PT15M
14,0,0,2024-07-27T01:45:00Z,PT15M
14,0,0,2024-07-27T01:30:00Z,PT15M
14,0,0,2024-07-27T01:15:00Z,PT15M
14,0,0,2024-07-27T01:00:00Z,PT15M
14,0,0,2024-07-27T00:45:00Z,PT15M
15,0,0,2024-07-27T00:30:00Z,PT15M
15,0,0,2024-07-27T00:15:00Z,PT15M
15,0,0,2024-07-27,PT15M
15,0,0,2024-07-26T23:45:00Z,PT15M
15,0,0,2024-07-26T23:30:00Z,PT15M
15,0,0,2024-07-26T23:15:00Z,PT15M
15,0,0,2024-07-26T23:00:00Z,PT15M
15,0,0,2024-07-26T22:45:00Z,PT15M
15,0,0,2024-07-26T22:30:00Z,PT15M
15,0,0,2024-07-26T22:15:00Z,PT15M
16,0,0,2024-07-26T22:00:00Z,PT15M
16,0,0,2024-07-26T21:45:00Z,PT15M
16,0,0,2024-07-26T21:30:00Z,PT15M
16,0,8,2024-07-26T21:15:00Z,PT15M
16,0,4,2024-07-26T21:00:00Z,PT15M
16,0,0,2024-07-26T20:45:00Z,PT15M
16,0,0,2024-07-26T20:30:00Z,PT15M
16,0,0,2024-07-26T20:15:00Z,PT15M
17,0,14,2024-07-26T20:00:00Z,PT15M
17,0,8,2024-07-26T19:45:00Z,PT15M
17,0,15,2024-07-26T19:30:00Z,PT15M
17,0,19,2024-07-26T19:15:00Z,PT15M
18,0,20,2024-07-26T19:00:00Z,PT15M
18,0,15,2024-07-26T18:45:00Z,PT15M
18,0,14,2024-07-26T18:30:00Z,PT15M
19,0,17,2024-07-26T18:15:00Z,PT15M
19,5,27,2024-07-26T18:00:00Z,PT15M
20,20,23,2024-07-26T17:45:00Z,PT15M
21,43,16,2024-07-26T17:30:00Z,PT15M
21,71,12,2024-07-26T17:15:00Z,PT15M
22,96,17,2024-07-26T17:00:00Z,PT15M
22,124,19,2024-07-26T16:45:00Z,PT15M
23,189,1,2024-07-26T16:30:00Z,PT15M
23,184,20,2024-07-26T16:15:00Z,PT15M
24,215,22,2024-07-26T16:00:00Z,PT15M
24,235,26,2024-07-26T15:45:00Z,PT15M
24,341,5,2024-07-26T15:30:00Z,PT15M
24,375,7,2024-07-26T15:15:00Z,PT15M
24,399,10,2024-07-26T15:00:00Z,PT15M
24,355,27,2024-07-26T14:45:00Z,PT15M
24,416,21,2024-07-26T14:30:00Z,PT15M
24,554,2,2024-07-26T14:15:00Z,PT15M
23,537,11,2024-07-26T14:00:00Z,PT15M
23,607,5,2024-07-26T13:45:00Z,PT15M
