period_end,air_temp,cloud_opacity,ghi,period
2024-09-15T10:00:00Z,0.0,0.0,0.0,0
2024-09-15T11:00:00Z,0.0,0.0,0.0,0
2024-09-15T12:00:00Z,16.0,0.0,717.0,PT1H
2024-09-15T13:00:00Z,17.0,0.0,735.0,PT1H
2024-09-15T14:00:00Z,18.0,2.0,687.0,PT1H
2024-09-15T15:00:00Z,18.0,3.0,594.0,PT1H
2024-09-15T16:00:00Z,18.0,5.0,455.0,PT1H
2024-09-15T17:00:00Z,18.0,13.0,279.0,PT1H
2024-09-15T18:00:00Z,16.0,15.0,124.0,PT1H
2024-09-15T19:00:00Z,13.0,14.0,14.0,PT1H
2024-09-15T20:00:00Z,11.0,14.0,0.0,PT1H
2024-09-15T21:00:00Z,10.0,17.0,0.0,PT1H
2024-09-15T22:00:00Z,10.0,20.0,0.0,PT1H
2024-09-15T23:00:00Z,9.0,24.0,0.0,PT1H
2024-09-16,9.0,35.0,0.0,PT1H
2024-09-16T01:00:00Z,10.0,47.0,0.0,PT1H
2024-09-16T02:00:00Z,10.0,56.0,0.0,PT1H
2024-09-16T03:00:00Z,10.0,62.0,0.0,PT1H
2024-09-16T04:00:00Z,10.0,65.0,0.0,PT1H
2024-09-16T05:00:00Z,10.0,67.0,0.0,PT1H
2024-09-16T06:00:00Z,9.0,70.0,0.0,PT1H
2024-09-16T07:00:00Z,9.0,72.0,12.0,PT1H
2024-09-16T08:00:00Z,10.0,70.0,59.0,PT1H
2024-09-16T09:00:00Z,10.0,69.0,113.0,PT1H
2024-09-16T10:00:00Z,10.0,68.0,161.0,PT1H
2024-09-16T11:00:00Z,11.0,68.0,200.0,PT1H
2024-09-16T12:00:00Z,11.0,65.0,239.0,PT1H
2024-09-16T13:00:00Z,11.0,62.0,273.0,PT1H
2024-09-16T14:00:00Z,11.0,58.0,282.0,PT1H
2024-09-16T15:00:00Z,11.0,45.0,323.0,PT1H
2024-09-16T16:00:00Z,11.0,33.0,313.0,PT1H
2024-09-16T17:00:00Z,11.0,30.0,215.0,PT1H
2024-09-16T18:00:00Z,11.0,30.0,96.0,PT1H
2024-09-16T19:00:00Z,10.0,30.0,9.0,PT1H
2024-09-16T20:00:00Z,10.0,29.0,0.0,PT1H
2024-09-16T21:00:00Z,10.0,28.0,0.0,PT1H
2024-09-16T22:00:00Z,10.0,27.0,0.0,PT1H
2024-09-16T23:00:00Z,10.0,27.0,0.0,PT1H
2024-09-17,10.0,27.0,0.0,PT1H
2024-09-17T01:00:00Z,10.0,26.0,0.0,PT1H
2024-09-17T02:00:00Z,10.0,26.0,0.0,PT1H
2024-09-17T03:00:00Z,10.0,34.0,0.0,PT1H
2024-09-17T04:00:00Z,10.0,42.0,0.0,PT1H
2024-09-17T05:00:00Z,10.0,45.0,0.0,PT1H
2024-09-17T06:00:00Z,10.0,48.0,0.0,PT1H
2024-09-17T07:00:00Z,10.0,50.0,20.0,PT1H
2024-09-17T08:00:00Z,10.0,47.0,103.0,PT1H
2024-09-17T09:00:00Z,11.0,41.0,214.0,PT1H
2024-09-17T10:00:00Z,12.0,36.0,328.0,PT1H
2024-09-17T11:00:00Z,14.0,34.0,414.0,PT1H
2024-09-17T12:00:00Z,15.0,35.0,454.0,PT1H
2024-09-17T13:00:00Z,17.0,36.0,461.0,PT1H
2024-09-17T14:00:00Z,18.0,34.0,448.0,PT1H
2024-09-17T15:00:00Z,19.0,31.0,405.0,PT1H
2024-09-17T16:00:00Z,20.0,32.0,310.0,PT1H
2024-09-17T17:00:00Z,19.0,36.0,191.0,PT1H
2024-09-17T18:00:00Z,18.0,41.0,77.0,PT1H
2024-09-17T19:00:00Z,17.0,47.0,6.0,PT1H
2024-09-17T20:00:00Z,16.0,52.0,0.0,PT1H
2024-09-17T21:00:00Z,16.0,54.0,0.0,PT1H
2024-09-17T22:00:00Z,15.0,51.0,0.0,PT1H
2024-09-17T23:00:00Z,14.0,46.0,0.0,PT1H
2024-09-18,13.0,46.0,0.0,PT1H
2024-09-18T01:00:00Z,13.0,47.0,0.0,PT1H
2024-09-18T02:00:00Z,12.0,49.0,0.0,PT1H
2024-09-18T03:00:00Z,11.0,49.0,0.0,PT1H
2024-09-18T04:00:00Z,11.0,47.0,0.0,PT1H
2024-09-18T05:00:00Z,10.0,48.0,0.0,PT1H
2024-09-18T06:00:00Z,10.0,49.0,0.0,PT1H
2024-09-18T07:00:00Z,11.0,50.0,18.0,PT1H
2024-09-18T08:00:00Z,13.0,46.0,99.0,PT1H
2024-09-18T09:00:00Z,15.0,38.0,219.0,PT1H
2024-09-18T10:00:00Z,17.0,32.0,344.0,PT1H
2024-09-18T11:00:00Z,19.0,32.0,423.0,PT1H
2024-09-18T12:00:00Z,21.0,32.0,465.0,PT1H
2024-09-18T13:00:00Z,22.0,32.0,477.0,PT1H
2024-09-18T14:00:00Z,23.0,32.0,454.0,PT1H
2024-09-18T15:00:00Z,23.0,31.0,398.0,PT1H
2024-09-18T16:00:00Z,23.0,33.0,300.0,PT1H
2024-09-18T17:00:00Z,22.0,34.0,187.0,PT1H
2024-09-18T18:00:00Z,20.0,42.0,69.0,PT1H
2024-09-18T19:00:00Z,17.0,50.0,4.0,PT1H
2024-09-18T20:00:00Z,16.0,53.0,0.0,PT1H
2024-09-18T21:00:00Z,14.0,54.0,0.0,PT1H
2024-09-18T22:00:00Z,13.0,52.0,0.0,PT1H
2024-09-18T23:00:00Z,13.0,51.0,0.0,PT1H
2024-09-19,12.0,47.0,0.0,PT1H
2024-09-19T01:00:00Z,12.0,37.0,0.0,PT1H
2024-09-19T02:00:00Z,12.0,27.0,0.0,PT1H
2024-09-19T03:00:00Z,12.0,26.0,0.0,PT1H
2024-09-19T04:00:00Z,13.0,32.0,0.0,PT1H
2024-09-19T05:00:00Z,13.0,35.0,0.0,PT1H
2024-09-19T06:00:00Z,13.0,40.0,0.0,PT1H
2024-09-19T07:00:00Z,13.0,38.0,22.0,PT1H
2024-09-19T08:00:00Z,14.0,30.0,127.0,PT1H
2024-09-19T09:00:00Z,14.0,22.0,272.0,PT1H
2024-09-19T10:00:00Z,16.0,12.0,439.0,PT1H
2024-09-19T11:00:00Z,18.0,5.0,578.0,PT1H
2024-09-19T12:00:00Z,20.0,3.0,661.0,PT1H
2024-09-19T13:00:00Z,21.0,3.0,680.0,PT1H
2024-09-19T14:00:00Z,22.0,2.0,652.0,PT1H
2024-09-19T15:00:00Z,22.0,2.0,563.0,PT1H
2024-09-19T16:00:00Z,22.0,11.0,395.0,PT1H
2024-09-19T17:00:00Z,22.0,21.0,226.0,PT1H
2024-09-19T18:00:00Z,20.0,29.0,83.0,PT1H
2024-09-19T19:00:00Z,17.0,31.0,5.0,PT1H
2024-09-19T20:00:00Z,15.0,30.0,0.0,PT1H
2024-09-19T21:00:00Z,14.0,29.0,0.0,PT1H
2024-09-19T22:00:00Z,13.0,28.0,0.0,PT1H
2024-09-19T23:00:00Z,12.0,25.0,0.0,PT1H
2024-09-20,12.0,23.0,0.0,PT1H
2024-09-20T01:00:00Z,11.0,20.0,0.0,PT1H
2024-09-20T02:00:00Z,10.0,14.0,0.0,PT1H
2024-09-20T03:00:00Z,10.0,12.0,0.0,PT1H
2024-09-20T04:00:00Z,10.0,11.0,0.0,PT1H
2024-09-20T05:00:00Z,9.0,0.0,0.0,PT1H
2024-09-20T06:00:00Z,9.0,0.0,0.0,PT1H
2024-09-20T07:00:00Z,11.0,0.0,36.0,PT1H
2024-09-20T08:00:00Z,12.0,0.0,188.0,PT1H
2024-09-20T09:00:00Z,14.0,0.0,362.0,PT1H
2024-09-20T10:00:00Z,16.0,0.0,519.0,PT1H
2024-09-20T11:00:00Z,18.0,0.0,639.0,PT1H
2024-09-20T12:00:00Z,20.0,0.0,711.0,PT1H
2024-09-20T13:00:00Z,22.0,0.0,728.0,PT1H
2024-09-20T14:00:00Z,23.0,0.0,688.0,PT1H
2024-09-20T15:00:00Z,23.0,0.0,597.0,PT1H
2024-09-20T16:00:00Z,23.0,0.0,461.0,PT1H
2024-09-20T17:00:00Z,23.0,0.0,295.0,PT1H
2024-09-20T18:00:00Z,21.0,0.0,120.0,PT1H
2024-09-20T19:00:00Z,18.0,0.0,7.0,PT1H
2024-09-20T20:00:00Z,16.0,0.0,0.0,PT1H
2024-09-20T21:00:00Z,14.0,0.0,0.0,PT1H
2024-09-20T22:00:00Z,14.0,0.0,0.0,PT1H
2024-09-20T23:00:00Z,13.0,0.0,0.0,PT1H
2024-09-21,12.0,0.0,0.0,PT1H
2024-09-21T01:00:00Z,12.0,0.0,0.0,PT1H
2024-09-21T02:00:00Z,12.0,0.0,0.0,PT1H
2024-09-21T03:00:00Z,11.0,0.0,0.0,PT1H
2024-09-21T04:00:00Z,11.0,0.0,0.0,PT1H
2024-09-21T05:00:00Z,10.0,0.0,0.0,PT1H
2024-09-21T06:00:00Z,11.0,0.0,0.0,PT1H
2024-09-21T07:00:00Z,12.0,0.0,31.0,PT1H
2024-09-21T08:00:00Z,13.0,0.0,174.0,PT1H
2024-09-21T09:00:00Z,15.0,0.0,343.0,PT1H
2024-09-21T10:00:00Z,17.0,0.0,494.0,PT1H
2024-09-21T11:00:00Z,19.0,0.0,609.0,PT1H
2024-09-21T12:00:00Z,21.0,0.0,680.0,PT1H
2024-09-21T13:00:00Z,22.0,0.0,696.0,PT1H
2024-09-21T14:00:00Z,23.0,0.0,657.0,PT1H
2024-09-21T15:00:00Z,23.0,0.0,568.0,PT1H
2024-09-21T16:00:00Z,23.0,0.0,435.0,PT1H
2024-09-21T17:00:00Z,23.0,0.0,273.0,PT1H
2024-09-21T18:00:00Z,22.0,0.0,106.0,PT1H
2024-09-21T19:00:00Z,20.0,0.0,5.0,PT1H
2024-09-21T20:00:00Z,17.0,0.0,0.0,PT1H
2024-09-21T21:00:00Z,16.0,0.0,0.0,PT1H
2024-09-21T22:00:00Z,15.0,0.0,0.0,PT1H
2024-09-21T23:00:00Z,15.0,0.0,0.0,PT1H
2024-09-22,14.0,0.0,0.0,PT1H
2024-09-22T01:00:00Z,14.0,0.0,0.0,PT1H
2024-09-22T02:00:00Z,13.0,0.0,0.0,PT1H
2024-09-22T03:00:00Z,13.0,0.0,0.0,PT1H
2024-09-22T04:00:00Z,12.0,0.0,0.0,PT1H
2024-09-22T05:00:00Z,12.0,0.0,0.0,PT1H
2024-09-22T06:00:00Z,12.0,0.0,0.0,PT1H
2024-09-22T07:00:00Z,13.0,0.0,30.0,PT1H
