period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-01-27T16:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-01-27T17:00:00Z,3.0,114.0,24.0,-0.2,0.0,PT1H,77.6,94.0
2025-01-27T18:00:00Z,3.0,103.0,21.0,-0.4,0.0,PT1H,79.7,103.0
2025-01-27T19:00:00Z,3.0,93.0,16.0,-0.4,0.0,PT1H,80.6,114.0
2025-01-27T20:00:00Z,3.0,82.0,16.0,-0.4,0.0,PT1H,80.9,124.0
2025-01-27T21:00:00Z,2.0,69.0,14.0,-0.4,0.0,PT1H,81.8,134.0
2025-01-27T22:00:00Z,2.0,52.0,13.0,-0.5,0.0,PT1H,82.3,143.0
2025-01-27T23:00:00Z,2.0,29.0,12.0,-0.7,0.0,PT1H,82.6,149.0
2025-01-28,2.0,0.0,11.0,-0.8,0.0,PT1H,82.6,152.0
2025-01-28T01:00:00Z,2.0,-28.0,0.0,-1.1,0.0,PT1H,82.0,150.0
2025-01-28T02:00:00Z,2.0,-51.0,0.0,-1.3,0.0,PT1H,80.8,143.0
2025-01-28T03:00:00Z,2.0,-68.0,0.0,-1.6,0.0,PT1H,78.7,134.0
2025-01-28T04:00:00Z,2.0,-81.0,0.0,-2.0,0.0,PT1H,76.7,124.0
2025-01-28T05:00:00Z,2.0,-93.0,0.0,-2.2,0.0,PT1H,75.0,114.0
2025-01-28T06:00:00Z,2.0,-103.0,0.0,-2.6,0.0,PT1H,73.4,104.0
2025-01-28T07:00:00Z,2.0,-113.0,0.0,-2.8,0.0,PT1H,71.8,94.0
2025-01-28T08:00:00Z,3.0,-124.0,0.0,-2.8,68.0,PT1H,68.1,85.0
2025-01-28T09:00:00Z,5.0,-136.0,0.0,-2.1,204.0,PT1H,60.6,77.0
2025-01-28T10:00:00Z,8.0,-150.0,0.0,-1.6,324.0,PT1H,52.4,71.0
2025-01-28T11:00:00Z,10.0,-164.0,0.0,-1.4,404.0,PT1H,45.9,66.0
2025-01-28T12:00:00Z,11.0,-180.0,0.0,-1.3,432.0,PT1H,42.0,65.0
2025-01-28T13:00:00Z,12.0,165.0,0.0,-1.0,406.0,PT1H,41.0,66.0
2025-01-28T14:00:00Z,12.0,150.0,0.0,-0.2,328.0,PT1H,43.6,70.0
2025-01-28T15:00:00Z,11.0,137.0,0.0,0.5,207.0,PT1H,49.7,76.0
2025-01-28T16:00:00Z,8.0,125.0,0.0,0.0,70.0,PT1H,55.7,84.0
2025-01-28T17:00:00Z,6.0,114.0,0.0,-0.9,1.0,PT1H,59.2,93.0
2025-01-28T18:00:00Z,6.0,103.0,0.0,-1.3,0.0,PT1H,60.7,103.0
2025-01-28T19:00:00Z,5.0,93.0,0.0,-1.6,0.0,PT1H,61.7,113.0
2025-01-28T20:00:00Z,5.0,82.0,0.0,-1.6,0.0,PT1H,62.6,124.0
2025-01-28T21:00:00Z,5.0,68.0,0.0,-1.7,0.0,PT1H,63.9,134.0
2025-01-28T22:00:00Z,4.0,52.0,11.0,-1.6,0.0,PT1H,65.7,143.0
2025-01-28T23:00:00Z,4.0,29.0,15.0,-1.6,0.0,PT1H,67.1,149.0
2025-01-29,4.0,0.0,19.0,-1.6,0.0,PT1H,68.1,152.0
2025-01-29T01:00:00Z,4.0,-28.0,20.0,-1.6,0.0,PT1H,68.1,149.0
2025-01-29T02:00:00Z,4.0,-51.0,21.0,-1.6,0.0,PT1H,68.3,143.0
2025-01-29T03:00:00Z,3.0,-68.0,24.0,-1.7,0.0,PT1H,69.8,134.0
2025-01-29T04:00:00Z,3.0,-81.0,27.0,-1.7,0.0,PT1H,71.0,124.0
2025-01-29T05:00:00Z,3.0,-92.0,29.0,-1.6,0.0,PT1H,71.0,114.0
2025-01-29T06:00:00Z,3.0,-103.0,32.0,-1.6,0.0,PT1H,71.0,103.0
2025-01-29T07:00:00Z,3.0,-113.0,33.0,-1.4,0.0,PT1H,71.6,94.0
2025-01-29T08:00:00Z,4.0,-124.0,33.0,-1.0,44.0,PT1H,70.9,84.0
2025-01-29T09:00:00Z,5.0,-136.0,25.0,-0.2,150.0,PT1H,67.7,77.0
2025-01-29T10:00:00Z,7.0,-149.0,23.0,0.5,246.0,PT1H,64.0,70.0
2025-01-29T11:00:00Z,7.0,-164.0,23.0,0.9,303.0,PT1H,63.6,66.0
2025-01-29T12:00:00Z,7.0,-180.0,28.0,2.0,304.0,PT1H,68.9,65.0
2025-01-29T13:00:00Z,8.0,165.0,37.0,3.4,251.0,PT1H,74.7,66.0
2025-01-29T14:00:00Z,8.0,150.0,42.0,4.0,186.0,PT1H,77.7,70.0
2025-01-29T15:00:00Z,7.0,137.0,46.0,4.0,111.0,PT1H,81.2,76.0
2025-01-29T16:00:00Z,6.0,125.0,48.0,3.9,36.0,PT1H,84.6,84.0
2025-01-29T17:00:00Z,6.0,113.0,47.0,3.8,1.0,PT1H,86.7,93.0
2025-01-29T18:00:00Z,6.0,103.0,48.0,3.6,0.0,PT1H,87.6,103.0
2025-01-29T19:00:00Z,5.0,93.0,50.0,3.1,0.0,PT1H,88.4,113.0
2025-01-29T20:00:00Z,4.0,81.0,53.0,2.6,0.0,PT1H,90.0,123.0
2025-01-29T21:00:00Z,4.0,68.0,54.0,2.2,0.0,PT1H,90.6,133.0
2025-01-29T22:00:00Z,3.0,51.0,53.0,2.0,0.0,PT1H,90.9,142.0
2025-01-29T23:00:00Z,3.0,29.0,51.0,1.7,0.0,PT1H,90.5,149.0
2025-01-30,3.0,1.0,50.0,1.3,0.0,PT1H,89.5,152.0
2025-01-30T01:00:00Z,3.0,-28.0,49.0,0.8,0.0,PT1H,88.2,149.0
2025-01-30T02:00:00Z,2.0,-51.0,51.0,0.6,0.0,PT1H,87.6,143.0
2025-01-30T03:00:00Z,2.0,-68.0,51.0,0.4,0.0,PT1H,87.6,134.0
2025-01-30T04:00:00Z,2.0,-81.0,49.0,0.2,0.0,PT1H,86.9,124.0
2025-01-30T05:00:00Z,2.0,-92.0,49.0,0.2,0.0,PT1H,86.9,113.0
2025-01-30T06:00:00Z,2.0,-102.0,50.0,0.3,0.0,PT1H,86.9,103.0
