air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
0,16,129,74,-6.5,59.2,84,2025-01-16T15:00:00Z,PT1H
-1,0,118,52,-6.7,63.6,93,2025-01-16T16:00:00Z,PT1H
-1,0,107,36,-6.7,66.2,103,2025-01-16T17:00:00Z,PT1H
-1,0,97,25,-6.5,68.2,113,2025-01-16T18:00:00Z,PT1H
-2,0,87,24,-6.4,69.5,123,2025-01-16T19:00:00Z,PT1H
-2,0,74,25,-6.4,70.6,134,2025-01-16T20:00:00Z,PT1H
-2,0,59,27,-6.4,71.3,143,2025-01-16T21:00:00Z,PT1H
-2,0,37,27,-6.5,71.6,151,2025-01-16T22:00:00Z,PT1H
-2,0,7,29,-6.5,72.1,155,2025-01-16T23:00:00Z,PT1H
-2,0,-25,31,-6.6,71.8,153,2025-01-17,PT1H
-2,0,-50,32,-6.7,71.5,147,2025-01-17T01:00:00Z,PT1H
-2,0,-68,34,-6.8,71.8,138,2025-01-17T02:00:00Z,PT1H
-3,0,-81,35,-7,71.8,128,2025-01-17T03:00:00Z,PT1H
-3,0,-92,37,-7,72,118,2025-01-17T04:00:00Z,PT1H
-3,0,-103,37,-7,72.8,107,2025-01-17T05:00:00Z,PT1H
-3,0,-113,38,-7,73.4,97,2025-01-17T06:00:00Z,PT1H
-3,14,-123,39,-7,72.3,88,2025-01-17T07:00:00Z,PT1H
-2,84,-135,40,-7,67.9,80,2025-01-17T08:00:00Z,PT1H
-0,162,-148,38,-6.9,61.8,73,2025-01-17T09:00:00Z,PT1H
1,216,-162,38,-6.9,56.8,69,2025-01-17T10:00:00Z,PT1H
2,245,-177,37,-6.8,53.5,67,2025-01-17T11:00:00Z,PT1H
2,245,168,35,-6.7,51.1,68,2025-01-17T12:00:00Z,PT1H
3,206,154,34,-6.6,50,71,2025-01-17T13:00:00Z,PT1H
3,132,141,35,-5.9,53.2,77,2025-01-17T14:00:00Z,PT1H
2,45,128,37,-5.5,59.5,84,2025-01-17T15:00:00Z,PT1H
0,1,118,26,-5.5,65.8,93,2025-01-17T16:00:00Z,PT1H
-1,0,107,16,-5.4,70.5,103,2025-01-17T17:00:00Z,PT1H
-1,0,97,13,-5.4,72.1,113,2025-01-17T18:00:00Z,PT1H
-1,0,87,12,-5.4,72.3,123,2025-01-17T19:00:00Z,PT1H
-1,0,74,12,-5.5,72.8,133,2025-01-17T20:00:00Z,PT1H
-1,0,59,12,-5.4,73.7,143,2025-01-17T21:00:00Z,PT1H
-1,0,37,11,-5.4,74.5,151,2025-01-17T22:00:00Z,PT1H
-2,0,8,11,-5.2,75.9,155,2025-01-17T23:00:00Z,PT1H
-2,0,-24,12,-4.9,77.6,153,2025-01-18,PT1H
-2,0,-50,14,-4.6,79.1,147,2025-01-18T01:00:00Z,PT1H
-2,0,-68,16,-4.4,80.6,138,2025-01-18T02:00:00Z,PT1H
-2,0,-81,16,-4.3,81.5,128,2025-01-18T03:00:00Z,PT1H
-2,0,-92,16,-4.2,82.4,118,2025-01-18T04:00:00Z,PT1H
-2,0,-103,16,-4.2,83.4,107,2025-01-18T05:00:00Z,PT1H
-2,0,-113,16,-4.2,83.7,97,2025-01-18T06:00:00Z,PT1H
-2,16,-123,20,-4.2,82.4,88,2025-01-18T07:00:00Z,PT1H
-1,97,-135,22,-4.1,78.1,80,2025-01-18T08:00:00Z,PT1H
0,200,-147,17,-3.9,72.6,73,2025-01-18T09:00:00Z,PT1H
2,279,-161,15,-3.8,68.1,69,2025-01-18T10:00:00Z,PT1H
2,314,-176,14,-3.6,64.8,67,2025-01-18T11:00:00Z,PT1H
3,304,168,14,-3.2,63.3,67,2025-01-18T12:00:00Z,PT1H
4,251,154,12,-2.8,63.2,71,2025-01-18T13:00:00Z,PT1H
3,160,141,13,-2.3,66,77,2025-01-18T14:00:00Z,PT1H
2,54,128,17,-2.2,71.9,84,2025-01-18T15:00:00Z,PT1H
1,1,117,14,-2.5,77.2,93,2025-01-18T16:00:00Z,PT1H
0,0,107,13,-2.7,79.7,102,2025-01-18T17:00:00Z,PT1H
0,0,97,14,-2.8,81.1,113,2025-01-18T18:00:00Z,PT1H
-0,0,86,16,-2.7,82.6,123,2025-01-18T19:00:00Z,PT1H
-0,0,74,18,-2.7,83.8,133,2025-01-18T20:00:00Z,PT1H
-0,0,59,14,-2.7,84.8,143,2025-01-18T21:00:00Z,PT1H
-1,0,37,15,-2.8,84.8,151,2025-01-18T22:00:00Z,PT1H
-1,0,8,20,-3,84.7,155,2025-01-18T23:00:00Z,PT1H
-1,0,-24,22,-3.1,84.4,153,2025-01-19,PT1H
-1,0,-49,23,-3.3,83.8,147,2025-01-19T01:00:00Z,PT1H
-1,0,-67,26,-3.4,83.5,138,2025-01-19T02:00:00Z,PT1H
-1,0,-81,26,-3.6,82.8,128,2025-01-19T03:00:00Z,PT1H
-1,0,-92,27,-3.6,82.2,117,2025-01-19T04:00:00Z,PT1H
-1,0,-102,29,-3.8,81.6,107,2025-01-19T05:00:00Z,PT1H
