period_end,air_temp,azimuth,cloud_opacity,dewpoint_temp,ghi,period,relative_humidity,zenith
2025-01-16T15:00:00Z,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025-01-16T16:00:00Z,0.0,129.0,74.0,-6.5,16.0,PT1H,59.2,84.0
2025-01-16T17:00:00Z,-1.0,118.0,52.0,-6.7,0.0,PT1H,63.6,93.0
2025-01-16T18:00:00Z,-1.0,107.0,36.0,-6.7,0.0,PT1H,66.2,103.0
2025-01-16T19:00:00Z,-1.0,97.0,25.0,-6.5,0.0,PT1H,68.2,113.0
2025-01-16T20:00:00Z,-2.0,87.0,24.0,-6.4,0.0,PT1H,69.5,123.0
2025-01-16T21:00:00Z,-2.0,74.0,25.0,-6.4,0.0,PT1H,70.6,134.0
2025-01-16T22:00:00Z,-2.0,59.0,27.0,-6.4,0.0,PT1H,71.3,143.0
2025-01-16T23:00:00Z,-2.0,37.0,27.0,-6.5,0.0,PT1H,71.6,151.0
2025-01-17,-2.0,7.0,29.0,-6.5,0.0,PT1H,72.1,155.0
2025-01-17T01:00:00Z,-2.0,-25.0,31.0,-6.6,0.0,PT1H,71.8,153.0
2025-01-17T02:00:00Z,-2.0,-50.0,32.0,-6.7,0.0,PT1H,71.5,147.0
2025-01-17T03:00:00Z,-2.0,-68.0,34.0,-6.8,0.0,PT1H,71.8,138.0
2025-01-17T04:00:00Z,-3.0,-81.0,35.0,-7.0,0.0,PT1H,71.8,128.0
2025-01-17T05:00:00Z,-3.0,-92.0,37.0,-7.0,0.0,PT1H,72.0,118.0
2025-01-17T06:00:00Z,-3.0,-103.0,37.0,-7.0,0.0,PT1H,72.8,107.0
2025-01-17T07:00:00Z,-3.0,-113.0,38.0,-7.0,0.0,PT1H,73.4,97.0
2025-01-17T08:00:00Z,-3.0,-123.0,39.0,-7.0,14.0,PT1H,72.3,88.0
2025-01-17T09:00:00Z,-2.0,-135.0,40.0,-7.0,84.0,PT1H,67.9,80.0
2025-01-17T10:00:00Z,0.0,-148.0,38.0,-6.9,162.0,PT1H,61.8,73.0
2025-01-17T11:00:00Z,1.0,-162.0,38.0,-6.9,216.0,PT1H,56.8,69.0
2025-01-17T12:00:00Z,2.0,-177.0,37.0,-6.8,245.0,PT1H,53.5,67.0
2025-01-17T13:00:00Z,2.0,168.0,35.0,-6.7,245.0,PT1H,51.1,68.0
2025-01-17T14:00:00Z,3.0,154.0,34.0,-6.6,206.0,PT1H,50.0,71.0
2025-01-17T15:00:00Z,3.0,141.0,35.0,-5.9,132.0,PT1H,53.2,77.0
2025-01-17T16:00:00Z,2.0,128.0,37.0,-5.5,45.0,PT1H,59.5,84.0
2025-01-17T17:00:00Z,0.0,118.0,26.0,-5.5,1.0,PT1H,65.8,93.0
2025-01-17T18:00:00Z,-1.0,107.0,16.0,-5.4,0.0,PT1H,70.5,103.0
2025-01-17T19:00:00Z,-1.0,97.0,13.0,-5.4,0.0,PT1H,72.1,113.0
2025-01-17T20:00:00Z,-1.0,87.0,12.0,-5.4,0.0,PT1H,72.3,123.0
2025-01-17T21:00:00Z,-1.0,74.0,12.0,-5.5,0.0,PT1H,72.8,133.0
2025-01-17T22:00:00Z,-1.0,59.0,12.0,-5.4,0.0,PT1H,73.7,143.0
2025-01-17T23:00:00Z,-1.0,37.0,11.0,-5.4,0.0,PT1H,74.5,151.0
2025-01-18,-2.0,8.0,11.0,-5.2,0.0,PT1H,75.9,155.0
2025-01-18T01:00:00Z,-2.0,-24.0,12.0,-4.9,0.0,PT1H,77.6,153.0
2025-01-18T02:00:00Z,-2.0,-50.0,14.0,-4.6,0.0,PT1H,79.1,147.0
2025-01-18T03:00:00Z,-2.0,-68.0,16.0,-4.4,0.0,PT1H,80.6,138.0
2025-01-18T04:00:00Z,-2.0,-81.0,16.0,-4.3,0.0,PT1H,81.5,128.0
2025-01-18T05:00:00Z,-2.0,-92.0,16.0,-4.2,0.0,PT1H,82.4,118.0
2025-01-18T06:00:00Z,-2.0,-103.0,16.0,-4.2,0.0,PT1H,83.4,107.0
2025-01-18T07:00:00Z,-2.0,-113.0,16.0,-4.2,0.0,PT1H,83.7,97.0
2025-01-18T08:00:00Z,-2.0,-123.0,20.0,-4.2,16.0,PT1H,82.4,88.0
2025-01-18T09:00:00Z,-1.0,-135.0,22.0,-4.1,97.0,PT1H,78.1,80.0
2025-01-18T10:00:00Z,0.0,-147.0,17.0,-3.9,200.0,PT1H,72.6,73.0
2025-01-18T11:00:00Z,2.0,-161.0,15.0,-3.8,279.0,PT1H,68.1,69.0
2025-01-18T12:00:00Z,2.0,-176.0,14.0,-3.6,314.0,PT1H,64.8,67.0
2025-01-18T13:00:00Z,3.0,168.0,14.0,-3.2,304.0,PT1H,63.3,67.0
2025-01-18T14:00:00Z,4.0,154.0,12.0,-2.8,251.0,PT1H,63.2,71.0
2025-01-18T15:00:00Z,3.0,141.0,13.0,-2.3,160.0,PT1H,66.0,77.0
2025-01-18T16:00:00Z,2.0,128.0,17.0,-2.2,54.0,PT1H,71.9,84.0
2025-01-18T17:00:00Z,1.0,117.0,14.0,-2.5,1.0,PT1H,77.2,93.0
2025-01-18T18:00:00Z,0.0,107.0,13.0,-2.7,0.0,PT1H,79.7,102.0
2025-01-18T19:00:00Z,0.0,97.0,14.0,-2.8,0.0,PT1H,81.1,113.0
2025-01-18T20:00:00Z,0.0,86.0,16.0,-2.7,0.0,PT1H,82.6,123.0
2025-01-18T21:00:00Z,0.0,74.0,18.0,-2.7,0.0,PT1H,83.8,133.0
2025-01-18T22:00:00Z,0.0,59.0,14.0,-2.7,0.0,PT1H,84.8,143.0
2025-01-18T23:00:00Z,-1.0,37.0,15.0,-2.8,0.0,PT1H,84.8,151.0
2025-01-19,-1.0,8.0,20.0,-3.0,0.0,PT1H,84.7,155.0
2025-01-19T01:00:00Z,-1.0,-24.0,22.0,-3.1,0.0,PT1H,84.4,153.0
2025-01-19T02:00:00Z,-1.0,-49.0,23.0,-3.3,0.0,PT1H,83.8,147.0
2025-01-19T03:00:00Z,-1.0,-67.0,26.0,-3.4,0.0,PT1H,83.5,138.0
2025-01-19T04:00:00Z,-1.0,-81.0,26.0,-3.6,0.0,PT1H,82.8,128.0
2025-01-19T05:00:00Z,-1.0,-92.0,27.0,-3.6,0.0,PT1H,82.2,117.0
2025-01-19T06:00:00Z,-1.0,-102.0,29.0,-3.8,0.0,PT1H,81.6,107.0
2025-01-19T07:00:00Z,-1.0,-112.0,29.0,-3.9,0.0,PT1H,81.3,97.0
2025-01-19T08:00:00Z,-1.0,-123.0,28.0,-3.9,16.0,PT1H,79.2,88.0
2025-01-19T09:00:00Z,0.0,-135.0,26.0,-4.0,97.0,PT1H,73.4,80.0
2025-01-19T10:00:00Z,2.0,-147.0,21.0,-4.0,197.0,PT1H,67.1,73.0
2025-01-19T11:00:00Z,3.0,-161.0,20.0,-3.8,267.0,PT1H,62.3,69.0
2025-01-19T12:00:00Z,4.0,-176.0,21.0,-3.8,296.0,PT1H,58.5,67.0
2025-01-19T13:00:00Z,4.0,168.0,21.0,-3.5,287.0,PT1H,56.7,67.0
2025-01-19T14:00:00Z,5.0,154.0,20.0,-3.2,237.0,PT1H,56.4,71.0
2025-01-19T15:00:00Z,5.0,140.0,23.0,-2.7,149.0,PT1H,59.4,76.0
2025-01-19T16:00:00Z,3.0,128.0,27.0,-2.7,51.0,PT1H,64.8,84.0
2025-01-19T17:00:00Z,2.0,117.0,24.0,-3.2,1.0,PT1H,68.2,93.0
2025-01-19T18:00:00Z,1.0,107.0,23.0,-3.4,0.0,PT1H,70.1,102.0
2025-01-19T19:00:00Z,1.0,97.0,23.0,-3.5,0.0,PT1H,71.4,112.0
2025-01-19T20:00:00Z,1.0,86.0,24.0,-3.5,0.0,PT1H,72.4,123.0
2025-01-19T21:00:00Z,1.0,74.0,24.0,-3.6,0.0,PT1H,73.2,133.0
2025-01-19T22:00:00Z,1.0,59.0,23.0,-3.6,0.0,PT1H,73.5,143.0
2025-01-19T23:00:00Z,0.0,37.0,23.0,-3.7,0.0,PT1H,73.7,150.0
2025-01-20,0.0,8.0,24.0,-3.7,0.0,PT1H,74.2,154.0
2025-01-20T01:00:00Z,0.0,-24.0,25.0,-3.6,0.0,PT1H,75.1,153.0
2025-01-20T02:00:00Z,0.0,-49.0,27.0,-3.6,0.0,PT1H,75.9,147.0
2025-01-20T03:00:00Z,0.0,-67.0,31.0,-3.6,0.0,PT1H,76.7,138.0
2025-01-20T04:00:00Z,0.0,-81.0,34.0,-3.5,0.0,PT1H,77.6,128.0
2025-01-20T05:00:00Z,0.0,-92.0,36.0,-3.4,0.0,PT1H,78.2,117.0
2025-01-20T06:00:00Z,0.0,-102.0,37.0,-3.2,0.0,PT1H,78.8,107.0
2025-01-20T07:00:00Z,0.0,-112.0,36.0,-3.1,0.0,PT1H,79.1,97.0
