,tt ro con ec00 °c cet min15 f 2024-05-17T00:00:00+02:00
2024-05-17 00:00:00+02:00,11.9
2024-05-17 00:15:00+02:00,11.9
2024-05-17 00:30:00+02:00,11.9
2024-05-17 00:45:00+02:00,11.9
2024-05-17 01:00:00+02:00,11.3
2024-05-17 01:15:00+02:00,11.3
2024-05-17 01:30:00+02:00,11.3
2024-05-17 01:45:00+02:00,11.3
2024-05-17 02:00:00+02:00,10.7
2024-05-17 02:15:00+02:00,10.7
2024-05-17 02:30:00+02:00,10.7
2024-05-17 02:45:00+02:00,10.7
2024-05-17 03:00:00+02:00,11.5
2024-05-17 03:15:00+02:00,11.5
2024-05-17 03:30:00+02:00,11.5
2024-05-17 03:45:00+02:00,11.5
2024-05-17 04:00:00+02:00,11.1
2024-05-17 04:15:00+02:00,11.1
2024-05-17 04:30:00+02:00,11.1
2024-05-17 04:45:00+02:00,11.1
2024-05-17 05:00:00+02:00,11.1
2024-05-17 05:15:00+02:00,11.1
2024-05-17 05:30:00+02:00,11.1
2024-05-17 05:45:00+02:00,11.1
2024-05-17 06:00:00+02:00,11.9
2024-05-17 06:15:00+02:00,11.9
2024-05-17 06:30:00+02:00,11.9
2024-05-17 06:45:00+02:00,11.9
2024-05-17 07:00:00+02:00,13.0
2024-05-17 07:15:00+02:00,13.0
2024-05-17 07:30:00+02:00,13.0
2024-05-17 07:45:00+02:00,13.0
2024-05-17 08:00:00+02:00,14.3
2024-05-17 08:15:00+02:00,14.3
2024-05-17 08:30:00+02:00,14.3
2024-05-17 08:45:00+02:00,14.3
2024-05-17 09:00:00+02:00,15.6
2024-05-17 09:15:00+02:00,15.6
2024-05-17 09:30:00+02:00,15.6
2024-05-17 09:45:00+02:00,15.6
2024-05-17 10:00:00+02:00,16.7
2024-05-17 10:15:00+02:00,16.7
2024-05-17 10:30:00+02:00,16.7
2024-05-17 10:45:00+02:00,16.7
2024-05-17 11:00:00+02:00,17.6
2024-05-17 11:15:00+02:00,17.6
2024-05-17 11:30:00+02:00,17.6
2024-05-17 11:45:00+02:00,17.6
2024-05-17 12:00:00+02:00,18.3
2024-05-17 12:15:00+02:00,18.3
2024-05-17 12:30:00+02:00,18.3
2024-05-17 12:45:00+02:00,18.3
2024-05-17 13:00:00+02:00,18.7
2024-05-17 13:15:00+02:00,18.7
2024-05-17 13:30:00+02:00,18.7
2024-05-17 13:45:00+02:00,18.7
2024-05-17 14:00:00+02:00,18.9
2024-05-17 14:15:00+02:00,18.9
2024-05-17 14:30:00+02:00,18.9
2024-05-17 14:45:00+02:00,18.9
2024-05-17 15:00:00+02:00,18.9
2024-05-17 15:15:00+02:00,18.9
2024-05-17 15:30:00+02:00,18.9
2024-05-17 15:45:00+02:00,18.9
2024-05-17 16:00:00+02:00,18.7
2024-05-17 16:15:00+02:00,18.7
2024-05-17 16:30:00+02:00,18.7
2024-05-17 16:45:00+02:00,18.7
2024-05-17 17:00:00+02:00,18.2
2024-05-17 17:15:00+02:00,18.2
2024-05-17 17:30:00+02:00,18.2
2024-05-17 17:45:00+02:00,18.2
2024-05-17 18:00:00+02:00,17.5
2024-05-17 18:15:00+02:00,17.5
2024-05-17 18:30:00+02:00,17.5
2024-05-17 18:45:00+02:00,17.5
2024-05-17 19:00:00+02:00,16.4
2024-05-17 19:15:00+02:00,16.4
2024-05-17 19:30:00+02:00,16.4
2024-05-17 19:45:00+02:00,16.4
2024-05-17 20:00:00+02:00,15.4
2024-05-17 20:15:00+02:00,15.4
2024-05-17 20:30:00+02:00,15.4
2024-05-17 20:45:00+02:00,15.4
2024-05-17 21:00:00+02:00,14.6
2024-05-17 21:15:00+02:00,14.6
2024-05-17 21:30:00+02:00,14.6
2024-05-17 21:45:00+02:00,14.6
2024-05-17 22:00:00+02:00,13.7
2024-05-17 22:15:00+02:00,13.7
2024-05-17 22:30:00+02:00,13.7
2024-05-17 22:45:00+02:00,13.7
2024-05-17 23:00:00+02:00,12.8
2024-05-17 23:15:00+02:00,12.8
2024-05-17 23:30:00+02:00,12.8
2024-05-17 23:45:00+02:00,12.8
2024-05-18 00:00:00+02:00,12.1
2024-05-18 00:15:00+02:00,12.1
2024-05-18 00:30:00+02:00,12.1
2024-05-18 00:45:00+02:00,12.1
2024-05-18 01:00:00+02:00,11.5
2024-05-18 01:15:00+02:00,11.5
2024-05-18 01:30:00+02:00,11.5
2024-05-18 01:45:00+02:00,11.5
2024-05-18 02:00:00+02:00,10.9
2024-05-18 02:15:00+02:00,10.9
2024-05-18 02:30:00+02:00,10.9
2024-05-18 02:45:00+02:00,10.9
2024-05-18 03:00:00+02:00,10.6
2024-05-18 03:15:00+02:00,10.6
2024-05-18 03:30:00+02:00,10.6
2024-05-18 03:45:00+02:00,10.6
2024-05-18 04:00:00+02:00,10.5
2024-05-18 04:15:00+02:00,10.5
2024-05-18 04:30:00+02:00,10.5
2024-05-18 04:45:00+02:00,10.5
2024-05-18 05:00:00+02:00,10.9
2024-05-18 05:15:00+02:00,10.9
2024-05-18 05:30:00+02:00,10.9
2024-05-18 05:45:00+02:00,10.9
2024-05-18 06:00:00+02:00,12.0
2024-05-18 06:15:00+02:00,12.0
2024-05-18 06:30:00+02:00,12.0
2024-05-18 06:45:00+02:00,12.0
2024-05-18 07:00:00+02:00,13.5
2024-05-18 07:15:00+02:00,13.5
2024-05-18 07:30:00+02:00,13.5
2024-05-18 07:45:00+02:00,13.5
2024-05-18 08:00:00+02:00,15.1
2024-05-18 08:15:00+02:00,15.1
2024-05-18 08:30:00+02:00,15.1
2024-05-18 08:45:00+02:00,15.1
2024-05-18 09:00:00+02:00,16.6
2024-05-18 09:15:00+02:00,16.6
2024-05-18 09:30:00+02:00,16.6
2024-05-18 09:45:00+02:00,16.6
2024-05-18 10:00:00+02:00,17.5
2024-05-18 10:15:00+02:00,17.5
2024-05-18 10:30:00+02:00,17.5
2024-05-18 10:45:00+02:00,17.5
2024-05-18 11:00:00+02:00,18.5
2024-05-18 11:15:00+02:00,18.5
2024-05-18 11:30:00+02:00,18.5
2024-05-18 11:45:00+02:00,18.5
2024-05-18 12:00:00+02:00,19.7
2024-05-18 12:15:00+02:00,19.7
2024-05-18 12:30:00+02:00,19.7
2024-05-18 12:45:00+02:00,19.7
2024-05-18 13:00:00+02:00,20.5
2024-05-18 13:15:00+02:00,20.5
2024-05-18 13:30:00+02:00,20.5
2024-05-18 13:45:00+02:00,20.5
2024-05-18 14:00:00+02:00,21.1
2024-05-18 14:15:00+02:00,21.1
2024-05-18 14:30:00+02:00,21.1
2024-05-18 14:45:00+02:00,21.1
2024-05-18 15:00:00+02:00,21.4
2024-05-18 15:15:00+02:00,21.4
2024-05-18 15:30:00+02:00,21.4
2024-05-18 15:45:00+02:00,21.4
2024-05-18 16:00:00+02:00,21.4
2024-05-18 16:15:00+02:00,21.4
2024-05-18 16:30:00+02:00,21.4
2024-05-18 16:45:00+02:00,21.4
2024-05-18 17:00:00+02:00,20.9
2024-05-18 17:15:00+02:00,20.9
2024-05-18 17:30:00+02:00,20.9
2024-05-18 17:45:00+02:00,20.9
2024-05-18 18:00:00+02:00,19.8
2024-05-18 18:15:00+02:00,19.8
2024-05-18 18:30:00+02:00,19.8
2024-05-18 18:45:00+02:00,19.8
2024-05-18 19:00:00+02:00,17.8
2024-05-18 19:15:00+02:00,17.8
2024-05-18 19:30:00+02:00,17.8
2024-05-18 19:45:00+02:00,17.8
2024-05-18 20:00:00+02:00,16.2
2024-05-18 20:15:00+02:00,16.2
2024-05-18 20:30:00+02:00,16.2
2024-05-18 20:45:00+02:00,16.2
2024-05-18 21:00:00+02:00,15.5
2024-05-18 21:15:00+02:00,15.5
2024-05-18 21:30:00+02:00,15.5
2024-05-18 21:45:00+02:00,15.5
2024-05-18 22:00:00+02:00,14.8
2024-05-18 22:15:00+02:00,14.8
2024-05-18 22:30:00+02:00,14.8
2024-05-18 22:45:00+02:00,14.8
