period_end,period,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m
2024-09-17T10:00:00Z,0,0.0,0.0,0.0,0.0
2024-09-17T11:00:00Z,0,0.0,0.0,0.0,0.0
2024-09-17T12:00:00Z,PT1H,312.0,311.0,4.9,4.2
2024-09-17T13:00:00Z,PT1H,318.0,318.0,4.2,3.6
2024-09-17T14:00:00Z,PT1H,326.0,326.0,3.6,3.1
2024-09-17T15:00:00Z,PT1H,331.0,332.0,3.4,2.8
2024-09-17T16:00:00Z,PT1H,330.0,330.0,3.9,3.1
2024-09-17T17:00:00Z,PT1H,334.0,334.0,4.4,3.1
2024-09-17T18:00:00Z,PT1H,10.0,14.0,4.1,2.5
2024-09-17T19:00:00Z,PT1H,61.0,62.0,5.1,3.0
2024-09-17T20:00:00Z,PT1H,79.0,76.0,7.5,4.3
2024-09-17T21:00:00Z,PT1H,78.0,76.0,9.3,5.5
2024-09-17T22:00:00Z,PT1H,76.0,74.0,8.4,5.1
2024-09-17T23:00:00Z,PT1H,75.0,72.0,6.8,4.0
2024-09-18,PT1H,72.0,64.0,5.6,3.1
2024-09-18T01:00:00Z,PT1H,47.0,34.0,5.0,2.9
2024-09-18T02:00:00Z,PT1H,21.0,11.0,5.8,3.6
2024-09-18T03:00:00Z,PT1H,17.0,12.0,6.2,3.7
2024-09-18T04:00:00Z,PT1H,23.0,19.0,6.1,3.6
2024-09-18T05:00:00Z,PT1H,23.0,17.0,5.8,3.4
2024-09-18T06:00:00Z,PT1H,17.0,8.0,6.0,3.4
2024-09-18T07:00:00Z,PT1H,13.0,5.0,6.5,3.7
2024-09-18T08:00:00Z,PT1H,13.0,11.0,6.8,4.5
2024-09-18T09:00:00Z,PT1H,12.0,11.0,7.1,5.4
2024-09-18T10:00:00Z,PT1H,6.0,6.0,7.2,5.6
2024-09-18T11:00:00Z,PT1H,1.0,3.0,7.1,5.6
2024-09-18T12:00:00Z,PT1H,1.0,2.0,7.7,6.1
2024-09-18T13:00:00Z,PT1H,358.0,359.0,8.9,7.0
2024-09-18T14:00:00Z,PT1H,355.0,355.0,9.8,7.5
2024-09-18T15:00:00Z,PT1H,355.0,355.0,10.6,8.1
2024-09-18T16:00:00Z,PT1H,2.0,3.0,11.0,8.3
2024-09-18T17:00:00Z,PT1H,4.0,6.0,10.2,7.6
2024-09-18T18:00:00Z,PT1H,358.0,359.0,9.3,6.6
2024-09-18T19:00:00Z,PT1H,352.0,351.0,8.2,5.6
2024-09-18T20:00:00Z,PT1H,347.0,343.0,7.7,5.0
2024-09-18T21:00:00Z,PT1H,340.0,337.0,8.1,5.3
2024-09-18T22:00:00Z,PT1H,334.0,331.0,8.6,5.7
2024-09-18T23:00:00Z,PT1H,331.0,327.0,9.2,6.2
2024-09-19,PT1H,331.0,328.0,9.9,6.8
2024-09-19T01:00:00Z,PT1H,333.0,331.0,10.3,7.0
2024-09-19T02:00:00Z,PT1H,334.0,331.0,10.4,7.1
2024-09-19T03:00:00Z,PT1H,333.0,330.0,10.1,7.0
2024-09-19T04:00:00Z,PT1H,331.0,328.0,10.0,6.9
2024-09-19T05:00:00Z,PT1H,331.0,327.0,10.1,6.9
2024-09-19T06:00:00Z,PT1H,332.0,329.0,10.0,6.9
2024-09-19T07:00:00Z,PT1H,334.0,331.0,9.9,6.8
2024-09-19T08:00:00Z,PT1H,334.0,331.0,9.7,6.8
2024-09-19T09:00:00Z,PT1H,335.0,333.0,9.6,7.1
