air_temp,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,period_end,period
4,299,295,9.5,6.8,2024-11-21T10:30:00Z,PT15M
4,299,295,9.2,6.5,2024-11-21T10:45:00Z,PT15M
3,299,295,8.9,6.3,2024-11-21T11:00:00Z,PT15M
3,302,297,8.7,6.2,2024-11-21T11:15:00Z,PT15M
3,306,301,8.7,6.1,2024-11-21T11:30:00Z,PT15M
3,310,306,8.8,6.1,2024-11-21T11:45:00Z,PT15M
3,314,310,8.9,6.2,2024-11-21T12:00:00Z,PT15M
3,316,313,8.8,6.2,2024-11-21T12:15:00Z,PT15M
3,317,314,8.6,6.1,2024-11-21T12:30:00Z,PT15M
3,317,314,8.3,6,2024-11-21T12:45:00Z,PT15M
3,317,315,8,5.9,2024-11-21T13:00:00Z,PT15M
3,316,314,7.8,5.8,2024-11-21T13:15:00Z,PT15M
3,313,311,7.8,5.7,2024-11-21T13:30:00Z,PT15M
3,309,308,7.8,5.6,2024-11-21T13:45:00Z,PT15M
3,306,305,7.8,5.5,2024-11-21T14:00:00Z,PT15M
3,303,302,7.7,5.4,2024-11-21T14:15:00Z,PT15M
3,301,300,7.5,5.2,2024-11-21T14:30:00Z,PT15M
3,299,298,7.3,5,2024-11-21T14:45:00Z,PT15M
3,297,296,7.1,4.8,2024-11-21T15:00:00Z,PT15M
3,295,294,6.8,4.4,2024-11-21T15:15:00Z,PT15M
3,294,292,6.4,3.8,2024-11-21T15:30:00Z,PT15M
3,292,290,5.9,3.2,2024-11-21T15:45:00Z,PT15M
3,290,286,5.5,2.6,2024-11-21T16:00:00Z,PT15M
3,289,282,5.3,2.3,2024-11-21T16:15:00Z,PT15M
3,289,281,5.2,2.2,2024-11-21T16:30:00Z,PT15M
3,289,280,5.2,2.2,2024-11-21T16:45:00Z,PT15M
3,289,278,5.1,2.2,2024-11-21T17:00:00Z,PT15M
3,288,275,5,2.2,2024-11-21T17:15:00Z,PT15M
3,285,268,4.8,2.2,2024-11-21T17:30:00Z,PT15M
3,282,261,4.6,2.2,2024-11-21T17:45:00Z,PT15M
3,278,255,4.5,2.2,2024-11-21T18:00:00Z,PT15M
3,272,247,4.3,2.2,2024-11-21T18:15:00Z,PT15M
3,263,239,4.1,2.3,2024-11-21T18:30:00Z,PT15M
3,254,232,4,2.4,2024-11-21T18:45:00Z,PT15M
3,244,225,4,2.5,2024-11-21T19:00:00Z,PT15M
3,236,220,4.1,2.6,2024-11-21T19:15:00Z,PT15M
3,231,217,4.2,2.6,2024-11-21T19:30:00Z,PT15M
3,225,213,4.3,2.6,2024-11-21T19:45:00Z,PT15M
3,220,210,4.5,2.7,2024-11-21T20:00:00Z,PT15M
3,219,210,4.7,2.8,2024-11-21T20:15:00Z,PT15M
3,222,212,4.9,2.8,2024-11-21T20:30:00Z,PT15M
3,225,215,5.1,2.9,2024-11-21T20:45:00Z,PT15M
2,228,217,5.3,3,2024-11-21T21:00:00Z,PT15M
2,230,220,5.6,3.1,2024-11-21T21:15:00Z,PT15M
2,232,223,5.9,3.1,2024-11-21T21:30:00Z,PT15M
2,234,227,6.1,3.2,2024-11-21T21:45:00Z,PT15M
2,236,230,6.4,3.3,2024-11-21T22:00:00Z,PT15M
2,240,236,6.7,3.3,2024-11-21T22:15:00Z,PT15M
2,246,245,7,3.3,2024-11-21T22:30:00Z,PT15M
2,252,253,7.3,3.4,2024-11-21T22:45:00Z,PT15M
2,257,262,7.7,3.6,2024-11-21T23:00:00Z,PT15M
2,257,261,7.6,3.5,2024-11-21T23:15:00Z,PT15M
2,252,250,6.9,3,2024-11-21T23:30:00Z,PT15M
2,246,237,6.2,2.7,2024-11-21T23:45:00Z,PT15M
2,239,221,5.6,2.6,2024-11-22,PT15M
2,228,207,5.3,2.7,2024-11-22T00:15:00Z,PT15M
2,214,198,5.4,2.9,2024-11-22T00:30:00Z,PT15M
2,202,190,5.8,3.1,2024-11-22T00:45:00Z,PT15M
2,191,183,6.4,3.4,2024-11-22T01:00:00Z,PT15M
2,187,181,6.8,3.6,2024-11-22T01:15:00Z,PT15M
2,188,184,7,3.5,2024-11-22T01:30:00Z,PT15M
2,188,186,7.2,3.4,2024-11-22T01:45:00Z,PT15M
2,189,189,7.4,3.4,2024-11-22T02:00:00Z,PT15M
2,189,190,7.5,3.3,2024-11-22T02:15:00Z,PT15M
2,189,190,7.5,3.3,2024-11-22T02:30:00Z,PT15M
2,190,190,7.6,3.3,2024-11-22T02:45:00Z,PT15M
