period_end,air_temp,cloud_opacity,ghi,period
2024-05-02T09:00:00Z,0.0,0.0,0.0,0
2024-05-02T10:00:00Z,0.0,0.0,0.0,0
2024-05-02T11:00:00Z,18.0,25.0,614.0,PT1H
2024-05-02T12:00:00Z,19.0,27.0,648.0,PT1H
2024-05-02T13:00:00Z,20.0,15.0,769.0,PT1H
2024-05-02T14:00:00Z,20.0,3.0,839.0,PT1H
2024-05-02T15:00:00Z,21.0,2.0,764.0,PT1H
2024-05-02T16:00:00Z,20.0,4.0,617.0,PT1H
2024-05-02T17:00:00Z,20.0,6.0,451.0,PT1H
2024-05-02T18:00:00Z,18.0,15.0,256.0,PT1H
2024-05-02T19:00:00Z,16.0,24.0,93.0,PT1H
2024-05-02T20:00:00Z,13.0,29.0,7.0,PT1H
2024-05-02T21:00:00Z,11.0,30.0,0.0,PT1H
2024-05-02T22:00:00Z,10.0,29.0,0.0,PT1H
2024-05-02T23:00:00Z,10.0,36.0,0.0,PT1H
2024-05-03,10.0,43.0,0.0,PT1H
2024-05-03T01:00:00Z,9.0,41.0,0.0,PT1H
2024-05-03T02:00:00Z,8.0,40.0,0.0,PT1H
2024-05-03T03:00:00Z,8.0,40.0,0.0,PT1H
2024-05-03T04:00:00Z,8.0,40.0,0.0,PT1H
2024-05-03T05:00:00Z,8.0,40.0,0.0,PT1H
2024-05-03T06:00:00Z,8.0,40.0,25.0,PT1H
2024-05-03T07:00:00Z,10.0,44.0,111.0,PT1H
2024-05-03T08:00:00Z,12.0,46.0,208.0,PT1H
2024-05-03T09:00:00Z,15.0,43.0,321.0,PT1H
2024-05-03T10:00:00Z,17.0,36.0,459.0,PT1H
2024-05-03T11:00:00Z,18.0,30.0,575.0,PT1H
2024-05-03T12:00:00Z,20.0,30.0,627.0,PT1H
2024-05-03T13:00:00Z,20.0,30.0,634.0,PT1H
2024-05-03T14:00:00Z,20.0,32.0,592.0,PT1H
2024-05-03T15:00:00Z,19.0,33.0,521.0,PT1H
2024-05-03T16:00:00Z,19.0,34.0,425.0,PT1H
2024-05-03T17:00:00Z,18.0,34.0,317.0,PT1H
2024-05-03T18:00:00Z,16.0,35.0,196.0,PT1H
2024-05-03T19:00:00Z,14.0,37.0,79.0,PT1H
2024-05-03T20:00:00Z,13.0,39.0,6.0,PT1H
2024-05-03T21:00:00Z,12.0,41.0,0.0,PT1H
2024-05-03T22:00:00Z,12.0,43.0,0.0,PT1H
2024-05-03T23:00:00Z,11.0,42.0,0.0,PT1H
2024-05-04,10.0,38.0,0.0,PT1H
