period_end,air_temp,cloud_opacity,ghi,period
2024-09-29T20:00:00Z,0.0,0.0,0.0,0
2024-09-29T21:00:00Z,0.0,0.0,0.0,0
2024-09-29T22:00:00Z,11.0,69.0,0.0,PT1H
2024-09-29T23:00:00Z,11.0,66.0,0.0,PT1H
2024-09-30,10.0,51.0,0.0,PT1H
2024-09-30T01:00:00Z,10.0,38.0,0.0,PT1H
2024-09-30T02:00:00Z,10.0,27.0,0.0,PT1H
2024-09-30T03:00:00Z,10.0,18.0,0.0,PT1H
2024-09-30T04:00:00Z,10.0,12.0,0.0,PT1H
2024-09-30T05:00:00Z,10.0,12.0,0.0,PT1H
2024-09-30T06:00:00Z,10.0,11.0,0.0,PT1H
2024-09-30T07:00:00Z,10.0,0.0,10.0,PT1H
2024-09-30T08:00:00Z,10.0,12.0,113.0,PT1H
2024-09-30T09:00:00Z,11.0,8.0,270.0,PT1H
2024-09-30T10:00:00Z,12.0,1.0,437.0,PT1H
2024-09-30T11:00:00Z,13.0,0.0,559.0,PT1H
2024-09-30T12:00:00Z,13.0,0.0,626.0,PT1H
2024-09-30T13:00:00Z,13.0,3.0,628.0,PT1H
2024-09-30T14:00:00Z,12.0,5.0,581.0,PT1H
2024-09-30T15:00:00Z,12.0,8.0,488.0,PT1H
2024-09-30T16:00:00Z,11.0,14.0,348.0,PT1H
2024-09-30T17:00:00Z,11.0,21.0,195.0,PT1H
2024-09-30T18:00:00Z,10.0,26.0,62.0,PT1H
2024-09-30T19:00:00Z,10.0,27.0,1.0,PT1H
2024-09-30T20:00:00Z,9.0,26.0,0.0,PT1H
2024-09-30T21:00:00Z,9.0,24.0,0.0,PT1H
2024-09-30T22:00:00Z,9.0,24.0,0.0,PT1H
2024-09-30T23:00:00Z,9.0,24.0,0.0,PT1H
2024-10-01,8.0,21.0,0.0,PT1H
2024-10-01T01:00:00Z,7.0,16.0,0.0,PT1H
2024-10-01T02:00:00Z,6.0,13.0,0.0,PT1H
2024-10-01T03:00:00Z,6.0,11.0,0.0,PT1H
2024-10-01T04:00:00Z,5.0,0.0,0.0,PT1H
2024-10-01T05:00:00Z,5.0,0.0,0.0,PT1H
2024-10-01T06:00:00Z,5.0,0.0,0.0,PT1H
2024-10-01T07:00:00Z,5.0,0.0,10.0,PT1H
2024-10-01T08:00:00Z,5.0,0.0,130.0,PT1H
2024-10-01T09:00:00Z,7.0,0.0,299.0,PT1H
2024-10-01T10:00:00Z,9.0,1.0,447.0,PT1H
2024-10-01T11:00:00Z,11.0,0.0,572.0,PT1H
2024-10-01T12:00:00Z,12.0,0.0,644.0,PT1H
2024-10-01T13:00:00Z,14.0,0.0,663.0,PT1H
2024-10-01T14:00:00Z,15.0,0.0,626.0,PT1H
2024-10-01T15:00:00Z,15.0,0.0,538.0,PT1H
2024-10-01T16:00:00Z,15.0,3.0,395.0,PT1H
2024-10-01T17:00:00Z,15.0,11.0,220.0,PT1H
2024-10-01T18:00:00Z,13.0,13.0,71.0,PT1H
2024-10-01T19:00:00Z,12.0,15.0,1.0,PT1H
2024-10-01T20:00:00Z,11.0,16.0,0.0,PT1H
2024-10-01T21:00:00Z,10.0,16.0,0.0,PT1H
2024-10-01T22:00:00Z,10.0,17.0,0.0,PT1H
2024-10-01T23:00:00Z,9.0,20.0,0.0,PT1H
2024-10-02,8.0,32.0,0.0,PT1H
2024-10-02T01:00:00Z,8.0,42.0,0.0,PT1H
2024-10-02T02:00:00Z,8.0,51.0,0.0,PT1H
2024-10-02T03:00:00Z,8.0,59.0,0.0,PT1H
2024-10-02T04:00:00Z,8.0,61.0,0.0,PT1H
2024-10-02T05:00:00Z,8.0,63.0,0.0,PT1H
2024-10-02T06:00:00Z,8.0,64.0,0.0,PT1H
2024-10-02T07:00:00Z,8.0,65.0,3.0,PT1H
2024-10-02T08:00:00Z,9.0,63.0,45.0,PT1H
2024-10-02T09:00:00Z,10.0,51.0,141.0,PT1H
2024-10-02T10:00:00Z,12.0,39.0,265.0,PT1H
2024-10-02T11:00:00Z,14.0,32.0,373.0,PT1H
2024-10-02T12:00:00Z,16.0,31.0,427.0,PT1H
2024-10-02T13:00:00Z,17.0,35.0,415.0,PT1H
2024-10-02T14:00:00Z,18.0,38.0,370.0,PT1H
2024-10-02T15:00:00Z,18.0,44.0,289.0,PT1H
2024-10-02T16:00:00Z,18.0,54.0,180.0,PT1H
2024-10-02T17:00:00Z,17.0,65.0,81.0,PT1H
2024-10-02T18:00:00Z,15.0,77.0,18.0,PT1H
2024-10-02T19:00:00Z,14.0,79.0,0.0,PT1H
2024-10-02T20:00:00Z,14.0,80.0,0.0,PT1H
2024-10-02T21:00:00Z,13.0,80.0,0.0,PT1H
2024-10-02T22:00:00Z,13.0,81.0,0.0,PT1H
2024-10-02T23:00:00Z,13.0,81.0,0.0,PT1H
2024-10-03,13.0,79.0,0.0,PT1H
2024-10-03T01:00:00Z,13.0,76.0,0.0,PT1H
2024-10-03T02:00:00Z,13.0,71.0,0.0,PT1H
2024-10-03T03:00:00Z,13.0,68.0,0.0,PT1H
2024-10-03T04:00:00Z,13.0,68.0,0.0,PT1H
2024-10-03T05:00:00Z,14.0,68.0,0.0,PT1H
2024-10-03T06:00:00Z,14.0,68.0,0.0,PT1H
2024-10-03T07:00:00Z,14.0,67.0,2.0,PT1H
2024-10-03T08:00:00Z,14.0,66.0,36.0,PT1H
2024-10-03T09:00:00Z,15.0,55.0,117.0,PT1H
2024-10-03T10:00:00Z,17.0,47.0,217.0,PT1H
2024-10-03T11:00:00Z,17.0,43.0,298.0,PT1H
2024-10-03T12:00:00Z,17.0,48.0,307.0,PT1H
2024-10-03T13:00:00Z,16.0,55.0,272.0,PT1H
2024-10-03T14:00:00Z,16.0,60.0,230.0,PT1H
2024-10-03T15:00:00Z,16.0,67.0,162.0,PT1H
2024-10-03T16:00:00Z,15.0,74.0,94.0,PT1H
2024-10-03T17:00:00Z,13.0,81.0,40.0,PT1H
2024-10-03T18:00:00Z,13.0,84.0,9.0,PT1H
2024-10-03T19:00:00Z,13.0,82.0,0.0,PT1H
2024-10-03T20:00:00Z,13.0,81.0,0.0,PT1H
2024-10-03T21:00:00Z,13.0,81.0,0.0,PT1H
2024-10-03T22:00:00Z,13.0,82.0,0.0,PT1H
2024-10-03T23:00:00Z,13.0,84.0,0.0,PT1H
2024-10-04,13.0,82.0,0.0,PT1H
2024-10-04T01:00:00Z,12.0,77.0,0.0,PT1H
2024-10-04T02:00:00Z,12.0,71.0,0.0,PT1H
2024-10-04T03:00:00Z,12.0,68.0,0.0,PT1H
2024-10-04T04:00:00Z,12.0,68.0,0.0,PT1H
2024-10-04T05:00:00Z,12.0,68.0,0.0,PT1H
2024-10-04T06:00:00Z,12.0,68.0,0.0,PT1H
2024-10-04T07:00:00Z,12.0,68.0,1.0,PT1H
2024-10-04T08:00:00Z,12.0,67.0,23.0,PT1H
2024-10-04T09:00:00Z,12.0,60.0,79.0,PT1H
2024-10-04T10:00:00Z,12.0,54.0,164.0,PT1H
2024-10-04T11:00:00Z,12.0,47.0,259.0,PT1H
2024-10-04T12:00:00Z,13.0,44.0,316.0,PT1H
2024-10-04T13:00:00Z,13.0,49.0,303.0,PT1H
2024-10-04T14:00:00Z,14.0,55.0,253.0,PT1H
2024-10-04T15:00:00Z,15.0,60.0,193.0,PT1H
2024-10-04T16:00:00Z,15.0,64.0,127.0,PT1H
2024-10-04T17:00:00Z,15.0,72.0,59.0,PT1H
2024-10-04T18:00:00Z,15.0,80.0,12.0,PT1H
2024-10-04T19:00:00Z,15.0,82.0,0.0,PT1H
2024-10-04T20:00:00Z,15.0,83.0,0.0,PT1H
2024-10-04T21:00:00Z,14.0,83.0,0.0,PT1H
2024-10-04T22:00:00Z,14.0,82.0,0.0,PT1H
2024-10-04T23:00:00Z,13.0,80.0,0.0,PT1H
2024-10-05,13.0,79.0,0.0,PT1H
2024-10-05T01:00:00Z,13.0,78.0,0.0,PT1H
2024-10-05T02:00:00Z,12.0,77.0,0.0,PT1H
2024-10-05T03:00:00Z,12.0,77.0,0.0,PT1H
2024-10-05T04:00:00Z,12.0,77.0,0.0,PT1H
2024-10-05T05:00:00Z,11.0,77.0,0.0,PT1H
2024-10-05T06:00:00Z,11.0,77.0,0.0,PT1H
2024-10-05T07:00:00Z,11.0,77.0,1.0,PT1H
2024-10-05T08:00:00Z,11.0,75.0,25.0,PT1H
2024-10-05T09:00:00Z,11.0,68.0,82.0,PT1H
2024-10-05T10:00:00Z,12.0,65.0,141.0,PT1H
2024-10-05T11:00:00Z,13.0,65.0,177.0,PT1H
2024-10-05T12:00:00Z,14.0,64.0,204.0,PT1H
2024-10-05T13:00:00Z,14.0,62.0,217.0,PT1H
2024-10-05T14:00:00Z,15.0,64.0,200.0,PT1H
2024-10-05T15:00:00Z,15.0,64.0,170.0,PT1H
2024-10-05T16:00:00Z,15.0,64.0,123.0,PT1H
2024-10-05T17:00:00Z,15.0,67.0,60.0,PT1H
2024-10-05T18:00:00Z,14.0,72.0,13.0,PT1H
2024-10-05T19:00:00Z,13.0,71.0,0.0,PT1H
2024-10-05T20:00:00Z,12.0,70.0,0.0,PT1H
2024-10-05T21:00:00Z,11.0,70.0,0.0,PT1H
2024-10-05T22:00:00Z,10.0,70.0,0.0,PT1H
2024-10-05T23:00:00Z,10.0,70.0,0.0,PT1H
2024-10-06,9.0,70.0,0.0,PT1H
2024-10-06T01:00:00Z,9.0,70.0,0.0,PT1H
2024-10-06T02:00:00Z,9.0,71.0,0.0,PT1H
2024-10-06T03:00:00Z,9.0,70.0,0.0,PT1H
2024-10-06T04:00:00Z,8.0,67.0,0.0,PT1H
2024-10-06T05:00:00Z,8.0,65.0,0.0,PT1H
2024-10-06T06:00:00Z,8.0,62.0,0.0,PT1H
2024-10-06T07:00:00Z,9.0,60.0,1.0,PT1H
2024-10-06T08:00:00Z,9.0,56.0,39.0,PT1H
2024-10-06T09:00:00Z,10.0,48.0,129.0,PT1H
2024-10-06T10:00:00Z,12.0,40.0,239.0,PT1H
2024-10-06T11:00:00Z,14.0,35.0,334.0,PT1H
2024-10-06T12:00:00Z,15.0,33.0,389.0,PT1H
2024-10-06T13:00:00Z,16.0,32.0,403.0,PT1H
2024-10-06T14:00:00Z,17.0,33.0,376.0,PT1H
2024-10-06T15:00:00Z,17.0,37.0,303.0,PT1H
2024-10-06T16:00:00Z,17.0,43.0,200.0,PT1H
2024-10-06T17:00:00Z,16.0,52.0,95.0,PT1H
2024-10-06T18:00:00Z,16.0,60.0,20.0,PT1H
2024-10-06T19:00:00Z,15.0,62.0,0.0,PT1H
2024-10-06T20:00:00Z,14.0,64.0,0.0,PT1H
