period_end,air_temp,cloud_opacity,ghi,period
2024-09-18T10:00:00Z,0.0,0.0,0.0,0
2024-09-18T11:00:00Z,0.0,0.0,0.0,0
2024-09-18T12:00:00Z,18.0,60.0,270.0,PT1H
2024-09-18T13:00:00Z,19.0,58.0,293.0,PT1H
2024-09-18T14:00:00Z,21.0,48.0,341.0,PT1H
2024-09-18T15:00:00Z,21.0,44.0,318.0,PT1H
2024-09-18T16:00:00Z,20.0,41.0,259.0,PT1H
2024-09-18T17:00:00Z,18.0,41.0,167.0,PT1H
2024-09-18T18:00:00Z,17.0,45.0,64.0,PT1H
2024-09-18T19:00:00Z,16.0,45.0,5.0,PT1H
2024-09-18T20:00:00Z,16.0,43.0,0.0,PT1H
2024-09-18T21:00:00Z,16.0,41.0,0.0,PT1H
2024-09-18T22:00:00Z,15.0,38.0,0.0,PT1H
2024-09-18T23:00:00Z,14.0,32.0,0.0,PT1H
2024-09-19,13.0,27.0,0.0,PT1H
2024-09-19T01:00:00Z,12.0,25.0,0.0,PT1H
2024-09-19T02:00:00Z,12.0,23.0,0.0,PT1H
2024-09-19T03:00:00Z,11.0,19.0,0.0,PT1H
2024-09-19T04:00:00Z,11.0,17.0,0.0,PT1H
2024-09-19T05:00:00Z,10.0,17.0,0.0,PT1H
2024-09-19T06:00:00Z,10.0,17.0,0.0,PT1H
2024-09-19T07:00:00Z,10.0,17.0,28.0,PT1H
2024-09-19T08:00:00Z,12.0,16.0,151.0,PT1H
2024-09-19T09:00:00Z,14.0,13.0,306.0,PT1H
2024-09-19T10:00:00Z,16.0,6.0,479.0,PT1H
2024-09-19T11:00:00Z,18.0,0.0,621.0,PT1H
2024-09-19T12:00:00Z,18.0,3.0,672.0,PT1H
2024-09-19T13:00:00Z,18.0,7.0,659.0,PT1H
2024-09-19T14:00:00Z,18.0,12.0,596.0,PT1H
2024-09-19T15:00:00Z,18.0,20.0,470.0,PT1H
2024-09-19T16:00:00Z,18.0,24.0,341.0,PT1H
2024-09-19T17:00:00Z,18.0,25.0,216.0,PT1H
2024-09-19T18:00:00Z,17.0,27.0,84.0,PT1H
2024-09-19T19:00:00Z,15.0,28.0,6.0,PT1H
2024-09-19T20:00:00Z,14.0,27.0,0.0,PT1H
2024-09-19T21:00:00Z,12.0,27.0,0.0,PT1H
2024-09-19T22:00:00Z,12.0,27.0,0.0,PT1H
2024-09-19T23:00:00Z,12.0,27.0,0.0,PT1H
2024-09-20,11.0,26.0,0.0,PT1H
2024-09-20T01:00:00Z,11.0,23.0,0.0,PT1H
2024-09-20T02:00:00Z,11.0,19.0,0.0,PT1H
2024-09-20T03:00:00Z,12.0,19.0,0.0,PT1H
2024-09-20T04:00:00Z,12.0,20.0,0.0,PT1H
2024-09-20T05:00:00Z,12.0,20.0,0.0,PT1H
2024-09-20T06:00:00Z,10.0,21.0,0.0,PT1H
2024-09-20T07:00:00Z,10.0,21.0,26.0,PT1H
2024-09-20T08:00:00Z,12.0,19.0,147.0,PT1H
2024-09-20T09:00:00Z,15.0,15.0,304.0,PT1H
