air_temp,cloud_opacity,ghi,period_end,period
30,6,622,2024-08-05T14:00:00Z,PT1H
30,8,468,2024-08-05T15:00:00Z,PT1H
29,19,277,2024-08-05T16:00:00Z,PT1H
28,45,93,2024-08-05T17:00:00Z,PT1H
26,56,13,2024-08-05T18:00:00Z,PT1H
23,59,0,2024-08-05T19:00:00Z,PT1H
21,59,0,2024-08-05T20:00:00Z,PT1H
20,58,0,2024-08-05T21:00:00Z,PT1H
19,57,0,2024-08-05T22:00:00Z,PT1H
20,55,0,2024-08-05T23:00:00Z,PT1H
20,51,0,2024-08-06,PT1H
19,45,0,2024-08-06T01:00:00Z,PT1H
18,38,0,2024-08-06T02:00:00Z,PT1H
17,31,0,2024-08-06T03:00:00Z,PT1H
16,27,8,2024-08-06T04:00:00Z,PT1H
16,22,91,2024-08-06T05:00:00Z,PT1H
18,17,237,2024-08-06T06:00:00Z,PT1H
20,11,418,2024-08-06T07:00:00Z,PT1H
22,3,614,2024-08-06T08:00:00Z,PT1H
24,2,745,2024-08-06T09:00:00Z,PT1H
25,7,784,2024-08-06T10:00:00Z,PT1H
26,16,743,2024-08-06T11:00:00Z,PT1H
27,24,657,2024-08-06T12:00:00Z,PT1H
28,30,562,2024-08-06T13:00:00Z,PT1H
28,31,468,2024-08-06T14:00:00Z,PT1H
28,29,377,2024-08-06T15:00:00Z,PT1H
27,22,278,2024-08-06T16:00:00Z,PT1H
26,17,149,2024-08-06T17:00:00Z,PT1H
22,19,28,2024-08-06T18:00:00Z,PT1H
20,17,0,2024-08-06T19:00:00Z,PT1H
18,15,0,2024-08-06T20:00:00Z,PT1H
17,13,0,2024-08-06T21:00:00Z,PT1H
17,13,0,2024-08-06T22:00:00Z,PT1H
16,12,0,2024-08-06T23:00:00Z,PT1H
15,11,0,2024-08-07,PT1H
15,11,0,2024-08-07T01:00:00Z,PT1H
14,11,0,2024-08-07T02:00:00Z,PT1H
14,0,0,2024-08-07T03:00:00Z,PT1H
14,0,12,2024-08-07T04:00:00Z,PT1H
16,0,131,2024-08-07T05:00:00Z,PT1H
19,0,305,2024-08-07T06:00:00Z,PT1H
22,0,482,2024-08-07T07:00:00Z,PT1H
24,0,642,2024-08-07T08:00:00Z,PT1H
26,0,770,2024-08-07T09:00:00Z,PT1H
28,0,854,2024-08-07T10:00:00Z,PT1H
30,0,888,2024-08-07T11:00:00Z,PT1H
31,0,869,2024-08-07T12:00:00Z,PT1H
32,0,799,2024-08-07T13:00:00Z,PT1H
32,0,683,2024-08-07T14:00:00Z,PT1H
32,0,531,2024-08-07T15:00:00Z,PT1H
32,0,356,2024-08-07T16:00:00Z,PT1H
30,0,178,2024-08-07T17:00:00Z,PT1H
27,0,34,2024-08-07T18:00:00Z,PT1H
24,11,0,2024-08-07T19:00:00Z,PT1H
22,11,0,2024-08-07T20:00:00Z,PT1H
22,11,0,2024-08-07T21:00:00Z,PT1H
21,11,0,2024-08-07T22:00:00Z,PT1H
20,0,0,2024-08-07T23:00:00Z,PT1H
20,0,0,2024-08-08,PT1H
20,0,0,2024-08-08T01:00:00Z,PT1H
19,0,0,2024-08-08T02:00:00Z,PT1H
19,11,0,2024-08-08T03:00:00Z,PT1H
19,11,10,2024-08-08T04:00:00Z,PT1H
21,7,119,2024-08-08T05:00:00Z,PT1H
25,0,296,2024-08-08T06:00:00Z,PT1H
28,0,471,2024-08-08T07:00:00Z,PT1H
30,0,628,2024-08-08T08:00:00Z,PT1H
32,0,753,2024-08-08T09:00:00Z,PT1H
34,0,835,2024-08-08T10:00:00Z,PT1H
35,0,867,2024-08-08T11:00:00Z,PT1H
35,0,847,2024-08-08T12:00:00Z,PT1H
35,0,776,2024-08-08T13:00:00Z,PT1H
35,0,660,2024-08-08T14:00:00Z,PT1H
34,0,510,2024-08-08T15:00:00Z,PT1H
34,0,338,2024-08-08T16:00:00Z,PT1H
32,3,161,2024-08-08T17:00:00Z,PT1H
28,0,29,2024-08-08T18:00:00Z,PT1H
26,0,0,2024-08-08T19:00:00Z,PT1H
25,0,0,2024-08-08T20:00:00Z,PT1H
24,0,0,2024-08-08T21:00:00Z,PT1H
23,11,0,2024-08-08T22:00:00Z,PT1H
23,11,0,2024-08-08T23:00:00Z,PT1H
22,12,0,2024-08-09,PT1H
22,14,0,2024-08-09T01:00:00Z,PT1H
21,14,0,2024-08-09T02:00:00Z,PT1H
21,12,0,2024-08-09T03:00:00Z,PT1H
22,14,8,2024-08-09T04:00:00Z,PT1H
23,9,104,2024-08-09T05:00:00Z,PT1H
26,0,277,2024-08-09T06:00:00Z,PT1H
28,0,451,2024-08-09T07:00:00Z,PT1H
31,0,610,2024-08-09T08:00:00Z,PT1H
32,0,736,2024-08-09T09:00:00Z,PT1H
33,0,821,2024-08-09T10:00:00Z,PT1H
34,0,853,2024-08-09T11:00:00Z,PT1H
36,1,828,2024-08-09T12:00:00Z,PT1H
36,1,756,2024-08-09T13:00:00Z,PT1H
35,5,620,2024-08-09T14:00:00Z,PT1H
35,11,445,2024-08-09T15:00:00Z,PT1H
33,14,282,2024-08-09T16:00:00Z,PT1H
32,18,131,2024-08-09T17:00:00Z,PT1H
29,24,20,2024-08-09T18:00:00Z,PT1H
27,21,0,2024-08-09T19:00:00Z,PT1H
25,17,0,2024-08-09T20:00:00Z,PT1H
24,17,0,2024-08-09T21:00:00Z,PT1H
23,16,0,2024-08-09T22:00:00Z,PT1H
22,18,0,2024-08-09T23:00:00Z,PT1H
22,18,0,2024-08-10,PT1H
21,14,0,2024-08-10T01:00:00Z,PT1H
20,11,0,2024-08-10T02:00:00Z,PT1H
20,0,0,2024-08-10T03:00:00Z,PT1H
20,0,8,2024-08-10T04:00:00Z,PT1H
21,0,111,2024-08-10T05:00:00Z,PT1H
24,0,276,2024-08-10T06:00:00Z,PT1H
26,0,450,2024-08-10T07:00:00Z,PT1H
27,0,608,2024-08-10T08:00:00Z,PT1H
29,0,733,2024-08-10T09:00:00Z,PT1H
31,1,810,2024-08-10T10:00:00Z,PT1H
32,0,845,2024-08-10T11:00:00Z,PT1H
33,7,775,2024-08-10T12:00:00Z,PT1H
34,11,677,2024-08-10T13:00:00Z,PT1H
34,10,587,2024-08-10T14:00:00Z,PT1H
34,14,430,2024-08-10T15:00:00Z,PT1H
32,18,268,2024-08-10T16:00:00Z,PT1H
30,23,120,2024-08-10T17:00:00Z,PT1H
27,26,18,2024-08-10T18:00:00Z,PT1H
26,22,0,2024-08-10T19:00:00Z,PT1H
24,19,0,2024-08-10T20:00:00Z,PT1H
23,18,0,2024-08-10T21:00:00Z,PT1H
23,18,0,2024-08-10T22:00:00Z,PT1H
22,16,0,2024-08-10T23:00:00Z,PT1H
22,14,0,2024-08-11,PT1H
21,13,0,2024-08-11T01:00:00Z,PT1H
21,13,0,2024-08-11T02:00:00Z,PT1H
21,13,0,2024-08-11T03:00:00Z,PT1H
22,13,7,2024-08-11T04:00:00Z,PT1H
24,9,102,2024-08-11T05:00:00Z,PT1H
26,0,278,2024-08-11T06:00:00Z,PT1H
29,0,454,2024-08-11T07:00:00Z,PT1H
31,0,612,2024-08-11T08:00:00Z,PT1H
