period_end,air_temp,cloud_opacity,ghi,period
2024-05-24T09:00:00Z,0.0,0.0,0.0,0
2024-05-24T10:00:00Z,0.0,0.0,0.0,0
2024-05-24T11:00:00Z,19.0,0.0,877.0,PT1H
2024-05-24T12:00:00Z,20.0,0.0,943.0,PT1H
2024-05-24T13:00:00Z,21.0,4.0,916.0,PT1H
2024-05-24T14:00:00Z,21.0,12.0,806.0,PT1H
2024-05-24T15:00:00Z,21.0,17.0,686.0,PT1H
2024-05-24T16:00:00Z,20.0,17.0,578.0,PT1H
2024-05-24T17:00:00Z,19.0,16.0,447.0,PT1H
2024-05-24T18:00:00Z,18.0,19.0,282.0,PT1H
2024-05-24T19:00:00Z,16.0,25.0,126.0,PT1H
2024-05-24T20:00:00Z,14.0,27.0,21.0,PT1H
2024-05-24T21:00:00Z,12.0,26.0,0.0,PT1H
2024-05-24T22:00:00Z,11.0,26.0,0.0,PT1H
2024-05-24T23:00:00Z,11.0,25.0,0.0,PT1H
2024-05-25,10.0,24.0,0.0,PT1H
2024-05-25T01:00:00Z,10.0,23.0,0.0,PT1H
2024-05-25T02:00:00Z,9.0,22.0,0.0,PT1H
2024-05-25T03:00:00Z,9.0,22.0,0.0,PT1H
2024-05-25T04:00:00Z,9.0,21.0,0.0,PT1H
2024-05-25T05:00:00Z,9.0,20.0,3.0,PT1H
2024-05-25T06:00:00Z,10.0,18.0,75.0,PT1H
2024-05-25T07:00:00Z,12.0,12.0,223.0,PT1H
2024-05-25T08:00:00Z,14.0,13.0,375.0,PT1H
2024-05-25T09:00:00Z,15.0,19.0,485.0,PT1H
2024-05-25T10:00:00Z,15.0,26.0,551.0,PT1H
2024-05-25T11:00:00Z,15.0,28.0,616.0,PT1H
2024-05-25T12:00:00Z,16.0,34.0,605.0,PT1H
2024-05-25T13:00:00Z,17.0,42.0,533.0,PT1H
2024-05-25T14:00:00Z,16.0,47.0,465.0,PT1H
2024-05-25T15:00:00Z,16.0,50.0,389.0,PT1H
2024-05-25T16:00:00Z,15.0,48.0,343.0,PT1H
2024-05-25T17:00:00Z,15.0,45.0,276.0,PT1H
2024-05-25T18:00:00Z,16.0,41.0,193.0,PT1H
2024-05-25T19:00:00Z,15.0,34.0,103.0,PT1H
2024-05-25T20:00:00Z,13.0,29.0,19.0,PT1H
2024-05-25T21:00:00Z,10.0,26.0,0.0,PT1H
2024-05-25T22:00:00Z,9.0,25.0,0.0,PT1H
2024-05-25T23:00:00Z,8.0,23.0,0.0,PT1H
2024-05-26,7.0,20.0,0.0,PT1H
2024-05-26T01:00:00Z,7.0,17.0,0.0,PT1H
2024-05-26T02:00:00Z,6.0,12.0,0.0,PT1H
2024-05-26T03:00:00Z,6.0,0.0,0.0,PT1H
2024-05-26T04:00:00Z,5.0,0.0,0.0,PT1H
2024-05-26T05:00:00Z,5.0,0.0,4.0,PT1H
2024-05-26T06:00:00Z,6.0,0.0,100.0,PT1H
2024-05-26T07:00:00Z,9.0,0.0,272.0,PT1H
2024-05-26T08:00:00Z,11.0,0.0,458.0,PT1H
2024-05-26T09:00:00Z,14.0,0.0,633.0,PT1H
2024-05-26T10:00:00Z,16.0,0.0,782.0,PT1H
2024-05-26T11:00:00Z,17.0,0.0,891.0,PT1H
2024-05-26T12:00:00Z,18.0,0.0,952.0,PT1H
2024-05-26T13:00:00Z,19.0,0.0,963.0,PT1H
2024-05-26T14:00:00Z,19.0,0.0,921.0,PT1H
2024-05-26T15:00:00Z,19.0,0.0,831.0,PT1H
2024-05-26T16:00:00Z,19.0,1.0,692.0,PT1H
2024-05-26T17:00:00Z,18.0,1.0,530.0,PT1H
2024-05-26T18:00:00Z,17.0,2.0,349.0,PT1H
2024-05-26T19:00:00Z,15.0,10.0,159.0,PT1H
2024-05-26T20:00:00Z,12.0,13.0,28.0,PT1H
2024-05-26T21:00:00Z,10.0,12.0,0.0,PT1H
2024-05-26T22:00:00Z,9.0,12.0,0.0,PT1H
2024-05-26T23:00:00Z,8.0,12.0,0.0,PT1H
2024-05-27,7.0,12.0,0.0,PT1H
2024-05-27T01:00:00Z,7.0,12.0,0.0,PT1H
2024-05-27T02:00:00Z,6.0,12.0,0.0,PT1H
2024-05-27T03:00:00Z,6.0,11.0,0.0,PT1H
2024-05-27T04:00:00Z,6.0,11.0,0.0,PT1H
2024-05-27T05:00:00Z,6.0,13.0,4.0,PT1H
2024-05-27T06:00:00Z,6.0,14.0,85.0,PT1H
2024-05-27T07:00:00Z,8.0,10.0,240.0,PT1H
2024-05-27T08:00:00Z,10.0,9.0,404.0,PT1H
2024-05-27T09:00:00Z,11.0,14.0,530.0,PT1H
2024-05-27T10:00:00Z,12.0,16.0,644.0,PT1H
2024-05-27T11:00:00Z,11.0,15.0,741.0,PT1H
2024-05-27T12:00:00Z,12.0,19.0,756.0,PT1H
2024-05-27T13:00:00Z,12.0,25.0,709.0,PT1H
2024-05-27T14:00:00Z,13.0,33.0,607.0,PT1H
2024-05-27T15:00:00Z,12.0,38.0,499.0,PT1H
2024-05-27T16:00:00Z,12.0,41.0,399.0,PT1H
2024-05-27T17:00:00Z,12.0,44.0,291.0,PT1H
2024-05-27T18:00:00Z,12.0,44.0,192.0,PT1H
2024-05-27T19:00:00Z,10.0,40.0,100.0,PT1H
2024-05-27T20:00:00Z,8.0,38.0,19.0,PT1H
2024-05-27T21:00:00Z,7.0,36.0,0.0,PT1H
2024-05-27T22:00:00Z,6.0,32.0,0.0,PT1H
2024-05-27T23:00:00Z,6.0,28.0,0.0,PT1H
2024-05-28,6.0,27.0,0.0,PT1H
2024-05-28T01:00:00Z,6.0,30.0,0.0,PT1H
2024-05-28T02:00:00Z,6.0,32.0,0.0,PT1H
2024-05-28T03:00:00Z,6.0,34.0,0.0,PT1H
2024-05-28T04:00:00Z,6.0,37.0,0.0,PT1H
2024-05-28T05:00:00Z,6.0,38.0,2.0,PT1H
2024-05-28T06:00:00Z,7.0,42.0,52.0,PT1H
2024-05-28T07:00:00Z,9.0,52.0,120.0,PT1H
2024-05-28T08:00:00Z,10.0,63.0,162.0,PT1H
2024-05-28T09:00:00Z,12.0,64.0,218.0,PT1H
2024-05-28T10:00:00Z,13.0,62.0,290.0,PT1H
2024-05-28T11:00:00Z,14.0,60.0,348.0,PT1H
2024-05-28T12:00:00Z,14.0,53.0,434.0,PT1H
2024-05-28T13:00:00Z,15.0,47.0,501.0,PT1H
2024-05-28T14:00:00Z,15.0,43.0,514.0,PT1H
2024-05-28T15:00:00Z,15.0,41.0,479.0,PT1H
2024-05-28T16:00:00Z,15.0,40.0,405.0,PT1H
2024-05-28T17:00:00Z,15.0,40.0,312.0,PT1H
2024-05-28T18:00:00Z,14.0,41.0,201.0,PT1H
2024-05-28T19:00:00Z,13.0,41.0,97.0,PT1H
2024-05-28T20:00:00Z,11.0,40.0,18.0,PT1H
2024-05-28T21:00:00Z,9.0,38.0,0.0,PT1H
2024-05-28T22:00:00Z,9.0,34.0,0.0,PT1H
2024-05-28T23:00:00Z,8.0,30.0,0.0,PT1H
2024-05-29,7.0,28.0,0.0,PT1H
2024-05-29T01:00:00Z,7.0,29.0,0.0,PT1H
2024-05-29T02:00:00Z,7.0,29.0,0.0,PT1H
2024-05-29T03:00:00Z,7.0,29.0,0.0,PT1H
2024-05-29T04:00:00Z,7.0,30.0,0.0,PT1H
2024-05-29T05:00:00Z,7.0,31.0,3.0,PT1H
2024-05-29T06:00:00Z,8.0,33.0,62.0,PT1H
2024-05-29T07:00:00Z,9.0,39.0,157.0,PT1H
2024-05-29T08:00:00Z,10.0,45.0,240.0,PT1H
2024-05-29T09:00:00Z,12.0,44.0,341.0,PT1H
2024-05-29T10:00:00Z,14.0,38.0,469.0,PT1H
2024-05-29T11:00:00Z,15.0,33.0,584.0,PT1H
2024-05-29T12:00:00Z,16.0,30.0,643.0,PT1H
2024-05-29T13:00:00Z,16.0,31.0,648.0,PT1H
2024-05-29T14:00:00Z,17.0,33.0,603.0,PT1H
2024-05-29T15:00:00Z,17.0,35.0,532.0,PT1H
2024-05-29T16:00:00Z,17.0,36.0,437.0,PT1H
2024-05-29T17:00:00Z,16.0,38.0,323.0,PT1H
2024-05-29T18:00:00Z,16.0,38.0,212.0,PT1H
2024-05-29T19:00:00Z,14.0,35.0,107.0,PT1H
2024-05-29T20:00:00Z,12.0,34.0,21.0,PT1H
2024-05-29T21:00:00Z,11.0,34.0,0.0,PT1H
2024-05-29T22:00:00Z,10.0,34.0,0.0,PT1H
2024-05-29T23:00:00Z,10.0,32.0,0.0,PT1H
2024-05-30,9.0,31.0,0.0,PT1H
2024-05-30T01:00:00Z,9.0,28.0,0.0,PT1H
2024-05-30T02:00:00Z,9.0,26.0,0.0,PT1H
2024-05-30T03:00:00Z,9.0,25.0,0.0,PT1H
2024-05-30T04:00:00Z,8.0,25.0,0.0,PT1H
2024-05-30T05:00:00Z,8.0,24.0,4.0,PT1H
2024-05-30T06:00:00Z,9.0,23.0,74.0,PT1H
2024-05-30T07:00:00Z,11.0,21.0,205.0,PT1H
2024-05-30T08:00:00Z,13.0,20.0,350.0,PT1H
2024-05-30T09:00:00Z,15.0,22.0,477.0,PT1H
2024-05-30T10:00:00Z,16.0,24.0,575.0,PT1H
2024-05-30T11:00:00Z,17.0,27.0,630.0,PT1H
2024-05-30T12:00:00Z,18.0,30.0,645.0,PT1H
2024-05-30T13:00:00Z,18.0,32.0,639.0,PT1H
2024-05-30T14:00:00Z,18.0,35.0,581.0,PT1H
2024-05-30T15:00:00Z,18.0,37.0,506.0,PT1H
2024-05-30T16:00:00Z,18.0,38.0,420.0,PT1H
2024-05-30T17:00:00Z,18.0,38.0,318.0,PT1H
2024-05-30T18:00:00Z,17.0,37.0,213.0,PT1H
2024-05-30T19:00:00Z,15.0,34.0,108.0,PT1H
2024-05-30T20:00:00Z,14.0,33.0,21.0,PT1H
2024-05-30T21:00:00Z,12.0,33.0,0.0,PT1H
2024-05-30T22:00:00Z,12.0,32.0,0.0,PT1H
2024-05-30T23:00:00Z,11.0,32.0,0.0,PT1H
2024-05-31,11.0,32.0,0.0,PT1H
2024-05-31T01:00:00Z,11.0,34.0,0.0,PT1H
2024-05-31T02:00:00Z,11.0,35.0,0.0,PT1H
2024-05-31T03:00:00Z,11.0,35.0,0.0,PT1H
2024-05-31T04:00:00Z,11.0,35.0,0.0,PT1H
2024-05-31T05:00:00Z,11.0,36.0,3.0,PT1H
2024-05-31T06:00:00Z,11.0,37.0,57.0,PT1H
2024-05-31T07:00:00Z,12.0,42.0,146.0,PT1H
2024-05-31T08:00:00Z,12.0,46.0,234.0,PT1H
2024-05-31T09:00:00Z,13.0,44.0,336.0,PT1H
