air_temp,cloud_opacity,ghi,period_end,period
25,2,642,2024-08-05T14:00:00Z,PT1H
25,11,446,2024-08-05T15:00:00Z,PT1H
23,24,247,2024-08-05T16:00:00Z,PT1H
20,31,103,2024-08-05T17:00:00Z,PT1H
19,32,16,2024-08-05T18:00:00Z,PT1H
19,36,0,2024-08-05T19:00:00Z,PT1H
19,40,0,2024-08-05T20:00:00Z,PT1H
19,48,0,2024-08-05T21:00:00Z,PT1H
17,54,0,2024-08-05T22:00:00Z,PT1H
15,54,0,2024-08-05T23:00:00Z,PT1H
15,52,0,2024-08-06,PT1H
15,52,0,2024-08-06T01:00:00Z,PT1H
14,52,0,2024-08-06T02:00:00Z,PT1H
14,53,0,2024-08-06T03:00:00Z,PT1H
13,55,9,2024-08-06T04:00:00Z,PT1H
14,56,64,2024-08-06T05:00:00Z,PT1H
15,54,147,2024-08-06T06:00:00Z,PT1H
15,58,206,2024-08-06T07:00:00Z,PT1H
15,62,245,2024-08-06T08:00:00Z,PT1H
14,59,318,2024-08-06T09:00:00Z,PT1H
14,57,363,2024-08-06T10:00:00Z,PT1H
14,53,413,2024-08-06T11:00:00Z,PT1H
16,42,496,2024-08-06T12:00:00Z,PT1H
18,34,514,2024-08-06T13:00:00Z,PT1H
19,40,403,2024-08-06T14:00:00Z,PT1H
18,49,262,2024-08-06T15:00:00Z,PT1H
18,45,182,2024-08-06T16:00:00Z,PT1H
17,39,97,2024-08-06T17:00:00Z,PT1H
16,41,14,2024-08-06T18:00:00Z,PT1H
14,41,0,2024-08-06T19:00:00Z,PT1H
14,39,0,2024-08-06T20:00:00Z,PT1H
13,36,0,2024-08-06T21:00:00Z,PT1H
13,34,0,2024-08-06T22:00:00Z,PT1H
12,27,0,2024-08-06T23:00:00Z,PT1H
12,21,0,2024-08-07,PT1H
12,19,0,2024-08-07T01:00:00Z,PT1H
12,18,0,2024-08-07T02:00:00Z,PT1H
12,17,0,2024-08-07T03:00:00Z,PT1H
12,14,21,2024-08-07T04:00:00Z,PT1H
14,6,154,2024-08-07T05:00:00Z,PT1H
16,0,339,2024-08-07T06:00:00Z,PT1H
18,0,515,2024-08-07T07:00:00Z,PT1H
20,0,671,2024-08-07T08:00:00Z,PT1H
21,0,792,2024-08-07T09:00:00Z,PT1H
22,1,856,2024-08-07T10:00:00Z,PT1H
24,6,839,2024-08-07T11:00:00Z,PT1H
25,8,801,2024-08-07T12:00:00Z,PT1H
25,4,758,2024-08-07T13:00:00Z,PT1H
26,0,663,2024-08-07T14:00:00Z,PT1H
25,0,506,2024-08-07T15:00:00Z,PT1H
24,1,328,2024-08-07T16:00:00Z,PT1H
22,8,144,2024-08-07T17:00:00Z,PT1H
20,14,19,2024-08-07T18:00:00Z,PT1H
18,14,0,2024-08-07T19:00:00Z,PT1H
17,14,0,2024-08-07T20:00:00Z,PT1H
17,14,0,2024-08-07T21:00:00Z,PT1H
