air_temp,cloud_opacity,ghi,period_end,period
27,14,546,2024-08-05T14:00:00Z,PT1H
27,23,374,2024-08-05T15:00:00Z,PT1H
26,46,167,2024-08-05T16:00:00Z,PT1H
24,34,88,2024-08-05T17:00:00Z,PT1H
21,24,14,2024-08-05T18:00:00Z,PT1H
20,25,0,2024-08-05T19:00:00Z,PT1H
20,28,0,2024-08-05T20:00:00Z,PT1H
19,31,0,2024-08-05T21:00:00Z,PT1H
17,38,0,2024-08-05T22:00:00Z,PT1H
15,46,0,2024-08-05T23:00:00Z,PT1H
15,52,0,2024-08-06,PT1H
15,57,0,2024-08-06T01:00:00Z,PT1H
15,60,0,2024-08-06T02:00:00Z,PT1H
14,62,0,2024-08-06T03:00:00Z,PT1H
14,64,10,2024-08-06T04:00:00Z,PT1H
14,66,54,2024-08-06T05:00:00Z,PT1H
14,62,130,2024-08-06T06:00:00Z,PT1H
15,50,252,2024-08-06T07:00:00Z,PT1H
16,39,406,2024-08-06T08:00:00Z,PT1H
16,31,536,2024-08-06T09:00:00Z,PT1H
17,31,590,2024-08-06T10:00:00Z,PT1H
18,28,629,2024-08-06T11:00:00Z,PT1H
19,22,660,2024-08-06T12:00:00Z,PT1H
20,22,598,2024-08-06T13:00:00Z,PT1H
20,26,477,2024-08-06T14:00:00Z,PT1H
20,28,355,2024-08-06T15:00:00Z,PT1H
19,34,212,2024-08-06T16:00:00Z,PT1H
19,39,91,2024-08-06T17:00:00Z,PT1H
17,39,12,2024-08-06T18:00:00Z,PT1H
15,38,0,2024-08-06T19:00:00Z,PT1H
14,38,0,2024-08-06T20:00:00Z,PT1H
13,38,0,2024-08-06T21:00:00Z,PT1H
12,37,0,2024-08-06T22:00:00Z,PT1H
12,35,0,2024-08-06T23:00:00Z,PT1H
11,34,0,2024-08-07,PT1H
11,34,0,2024-08-07T01:00:00Z,PT1H
11,33,0,2024-08-07T02:00:00Z,PT1H
11,33,0,2024-08-07T03:00:00Z,PT1H
11,34,20,2024-08-07T04:00:00Z,PT1H
13,32,116,2024-08-07T05:00:00Z,PT1H
16,25,260,2024-08-07T06:00:00Z,PT1H
18,10,464,2024-08-07T07:00:00Z,PT1H
21,2,657,2024-08-07T08:00:00Z,PT1H
23,0,783,2024-08-07T09:00:00Z,PT1H
25,0,854,2024-08-07T10:00:00Z,PT1H
26,3,849,2024-08-07T11:00:00Z,PT1H
27,7,792,2024-08-07T12:00:00Z,PT1H
27,9,699,2024-08-07T13:00:00Z,PT1H
27,12,565,2024-08-07T14:00:00Z,PT1H
27,18,404,2024-08-07T15:00:00Z,PT1H
27,19,256,2024-08-07T16:00:00Z,PT1H
24,21,116,2024-08-07T17:00:00Z,PT1H
21,20,15,2024-08-07T18:00:00Z,PT1H
19,17,0,2024-08-07T19:00:00Z,PT1H
18,18,0,2024-08-07T20:00:00Z,PT1H
17,16,0,2024-08-07T21:00:00Z,PT1H
16,13,0,2024-08-07T22:00:00Z,PT1H
16,11,0,2024-08-07T23:00:00Z,PT1H
15,11,0,2024-08-08,PT1H
15,11,0,2024-08-08T01:00:00Z,PT1H
15,0,0,2024-08-08T02:00:00Z,PT1H
14,0,0,2024-08-08T03:00:00Z,PT1H
15,0,29,2024-08-08T04:00:00Z,PT1H
17,0,165,2024-08-08T05:00:00Z,PT1H
20,0,337,2024-08-08T06:00:00Z,PT1H
23,0,507,2024-08-08T07:00:00Z,PT1H
25,0,658,2024-08-08T08:00:00Z,PT1H
27,0,773,2024-08-08T09:00:00Z,PT1H
28,0,845,2024-08-08T10:00:00Z,PT1H
29,0,866,2024-08-08T11:00:00Z,PT1H
30,0,836,2024-08-08T12:00:00Z,PT1H
30,0,756,2024-08-08T13:00:00Z,PT1H
30,0,634,2024-08-08T14:00:00Z,PT1H
30,0,479,2024-08-08T15:00:00Z,PT1H
29,2,302,2024-08-08T16:00:00Z,PT1H
27,8,127,2024-08-08T17:00:00Z,PT1H
23,11,14,2024-08-08T18:00:00Z,PT1H
21,0,0,2024-08-08T19:00:00Z,PT1H
20,0,0,2024-08-08T20:00:00Z,PT1H
19,0,0,2024-08-08T21:00:00Z,PT1H
19,11,0,2024-08-08T22:00:00Z,PT1H
18,11,0,2024-08-08T23:00:00Z,PT1H
18,0,0,2024-08-09,PT1H
17,11,0,2024-08-09T01:00:00Z,PT1H
16,11,0,2024-08-09T02:00:00Z,PT1H
16,11,0,2024-08-09T03:00:00Z,PT1H
16,11,21,2024-08-09T04:00:00Z,PT1H
18,0,151,2024-08-09T05:00:00Z,PT1H
22,0,321,2024-08-09T06:00:00Z,PT1H
25,0,493,2024-08-09T07:00:00Z,PT1H
28,0,644,2024-08-09T08:00:00Z,PT1H
30,0,760,2024-08-09T09:00:00Z,PT1H
32,0,830,2024-08-09T10:00:00Z,PT1H
32,2,836,2024-08-09T11:00:00Z,PT1H
32,6,770,2024-08-09T12:00:00Z,PT1H
32,9,682,2024-08-09T13:00:00Z,PT1H
31,12,549,2024-08-09T14:00:00Z,PT1H
29,20,381,2024-08-09T15:00:00Z,PT1H
27,21,238,2024-08-09T16:00:00Z,PT1H
26,18,110,2024-08-09T17:00:00Z,PT1H
23,18,12,2024-08-09T18:00:00Z,PT1H
21,16,0,2024-08-09T19:00:00Z,PT1H
20,13,0,2024-08-09T20:00:00Z,PT1H
19,15,0,2024-08-09T21:00:00Z,PT1H
18,18,0,2024-08-09T22:00:00Z,PT1H
18,18,0,2024-08-09T23:00:00Z,PT1H
17,19,0,2024-08-10,PT1H
17,18,0,2024-08-10T01:00:00Z,PT1H
17,20,0,2024-08-10T02:00:00Z,PT1H
17,24,0,2024-08-10T03:00:00Z,PT1H
18,26,17,2024-08-10T04:00:00Z,PT1H
19,22,117,2024-08-10T05:00:00Z,PT1H
22,16,267,2024-08-10T06:00:00Z,PT1H
24,12,433,2024-08-10T07:00:00Z,PT1H
26,10,576,2024-08-10T08:00:00Z,PT1H
28,9,686,2024-08-10T09:00:00Z,PT1H
29,8,756,2024-08-10T10:00:00Z,PT1H
30,6,788,2024-08-10T11:00:00Z,PT1H
31,3,787,2024-08-10T12:00:00Z,PT1H
31,2,722,2024-08-10T13:00:00Z,PT1H
31,3,595,2024-08-10T14:00:00Z,PT1H
30,10,416,2024-08-10T15:00:00Z,PT1H
29,17,243,2024-08-10T16:00:00Z,PT1H
26,21,100,2024-08-10T17:00:00Z,PT1H
24,20,10,2024-08-10T18:00:00Z,PT1H
22,16,0,2024-08-10T19:00:00Z,PT1H
21,16,0,2024-08-10T20:00:00Z,PT1H
20,16,0,2024-08-10T21:00:00Z,PT1H
19,15,0,2024-08-10T22:00:00Z,PT1H
18,14,0,2024-08-10T23:00:00Z,PT1H
17,11,0,2024-08-11,PT1H
17,0,0,2024-08-11T01:00:00Z,PT1H
17,0,0,2024-08-11T02:00:00Z,PT1H
16,0,0,2024-08-11T03:00:00Z,PT1H
17,0,22,2024-08-11T04:00:00Z,PT1H
19,0,148,2024-08-11T05:00:00Z,PT1H
21,0,319,2024-08-11T06:00:00Z,PT1H
24,0,489,2024-08-11T07:00:00Z,PT1H
26,0,639,2024-08-11T08:00:00Z,PT1H
28,0,756,2024-08-11T09:00:00Z,PT1H
29,0,829,2024-08-11T10:00:00Z,PT1H
30,0,851,2024-08-11T11:00:00Z,PT1H
31,0,819,2024-08-11T12:00:00Z,PT1H
32,0,740,2024-08-11T13:00:00Z,PT1H
31,0,617,2024-08-11T14:00:00Z,PT1H
31,3,450,2024-08-11T15:00:00Z,PT1H
30,4,281,2024-08-11T16:00:00Z,PT1H
27,10,114,2024-08-11T17:00:00Z,PT1H
25,13,10,2024-08-11T18:00:00Z,PT1H
23,11,0,2024-08-11T19:00:00Z,PT1H
22,0,0,2024-08-11T20:00:00Z,PT1H
21,0,0,2024-08-11T21:00:00Z,PT1H
20,0,0,2024-08-11T22:00:00Z,PT1H
19,0,0,2024-08-11T23:00:00Z,PT1H
18,0,0,2024-08-12,PT1H
18,0,0,2024-08-12T01:00:00Z,PT1H
17,0,0,2024-08-12T02:00:00Z,PT1H
16,0,0,2024-08-12T03:00:00Z,PT1H
17,0,21,2024-08-12T04:00:00Z,PT1H
20,0,150,2024-08-12T05:00:00Z,PT1H
22,0,323,2024-08-12T06:00:00Z,PT1H
25,0,495,2024-08-12T07:00:00Z,PT1H
27,0,646,2024-08-12T08:00:00Z,PT1H
29,0,762,2024-08-12T09:00:00Z,PT1H
31,0,831,2024-08-12T10:00:00Z,PT1H
33,0,852,2024-08-12T11:00:00Z,PT1H
34,0,821,2024-08-12T12:00:00Z,PT1H
35,0,740,2024-08-12T13:00:00Z,PT1H
34,0,617,2024-08-12T14:00:00Z,PT1H
