air_temp,cloud_opacity,ghi,period_end,period
21,3,469,2024-04-30T15:00:00Z,PT1H
20,41,187,2024-04-30T16:00:00Z,PT1H
18,39,77,2024-04-30T17:00:00Z,PT1H
16,19,10,2024-04-30T18:00:00Z,PT1H
16,9,0,2024-04-30T19:00:00Z,PT1H
16,9,0,2024-04-30T20:00:00Z,PT1H
15,10,0,2024-04-30T21:00:00Z,PT1H
14,10,0,2024-04-30T22:00:00Z,PT1H
14,10,0,2024-04-30T23:00:00Z,PT1H
15,10,0,2024-05-01,PT1H
15,10,0,2024-05-01T01:00:00Z,PT1H
14,10,0,2024-05-01T02:00:00Z,PT1H
12,11,0,2024-05-01T03:00:00Z,PT1H
12,11,10,2024-05-01T04:00:00Z,PT1H
13,8,119,2024-05-01T05:00:00Z,PT1H
15,2,300,2024-05-01T06:00:00Z,PT1H
17,1,481,2024-05-01T07:00:00Z,PT1H
19,0,646,2024-05-01T08:00:00Z,PT1H
20,0,772,2024-05-01T09:00:00Z,PT1H
21,0,851,2024-05-01T10:00:00Z,PT1H
22,0,878,2024-05-01T11:00:00Z,PT1H
22,0,853,2024-05-01T12:00:00Z,PT1H
22,0,776,2024-05-01T13:00:00Z,PT1H
22,0,653,2024-05-01T14:00:00Z,PT1H
22,0,495,2024-05-01T15:00:00Z,PT1H
21,0,316,2024-05-01T16:00:00Z,PT1H
19,7,131,2024-05-01T17:00:00Z,PT1H
18,12,14,2024-05-01T18:00:00Z,PT1H
18,12,0,2024-05-01T19:00:00Z,PT1H
17,13,0,2024-05-01T20:00:00Z,PT1H
16,16,0,2024-05-01T21:00:00Z,PT1H
15,24,0,2024-05-01T22:00:00Z,PT1H
16,31,0,2024-05-01T23:00:00Z,PT1H
16,34,0,2024-05-02,PT1H
16,39,0,2024-05-02T01:00:00Z,PT1H
16,47,0,2024-05-02T02:00:00Z,PT1H
15,54,0,2024-05-02T03:00:00Z,PT1H
14,55,5,2024-05-02T04:00:00Z,PT1H
14,56,54,2024-05-02T05:00:00Z,PT1H
13,56,130,2024-05-02T06:00:00Z,PT1H
13,52,225,2024-05-02T07:00:00Z,PT1H
13,50,316,2024-05-02T08:00:00Z,PT1H
14,47,396,2024-05-02T09:00:00Z,PT1H
14,43,476,2024-05-02T10:00:00Z,PT1H
15,39,519,2024-05-02T11:00:00Z,PT1H
17,38,511,2024-05-02T12:00:00Z,PT1H
18,35,491,2024-05-02T13:00:00Z,PT1H
18,30,438,2024-05-02T14:00:00Z,PT1H
18,27,342,2024-05-02T15:00:00Z,PT1H
