period_end,air_temp,cloud_opacity,ghi,period
2024-05-02T08:00:00Z,0.0,0.0,0.0,0
2024-05-02T09:00:00Z,0.0,0.0,0.0,0
2024-05-02T10:00:00Z,16.0,17.0,577.0,PT1H
2024-05-02T11:00:00Z,18.0,25.0,606.0,PT1H
2024-05-02T12:00:00Z,19.0,10.0,794.0,PT1H
2024-05-02T13:00:00Z,20.0,18.0,734.0,PT1H
2024-05-02T14:00:00Z,21.0,29.0,607.0,PT1H
2024-05-02T15:00:00Z,21.0,30.0,533.0,PT1H
2024-05-02T16:00:00Z,21.0,32.0,429.0,PT1H
2024-05-02T17:00:00Z,21.0,34.0,310.0,PT1H
2024-05-02T18:00:00Z,19.0,37.0,184.0,PT1H
2024-05-02T19:00:00Z,17.0,41.0,70.0,PT1H
2024-05-02T20:00:00Z,16.0,47.0,5.0,PT1H
2024-05-02T21:00:00Z,15.0,48.0,0.0,PT1H
2024-05-02T22:00:00Z,15.0,48.0,0.0,PT1H
2024-05-02T23:00:00Z,15.0,49.0,0.0,PT1H
2024-05-03,15.0,50.0,0.0,PT1H
2024-05-03T01:00:00Z,14.0,53.0,0.0,PT1H
2024-05-03T02:00:00Z,14.0,55.0,0.0,PT1H
2024-05-03T03:00:00Z,13.0,54.0,0.0,PT1H
2024-05-03T04:00:00Z,12.0,54.0,0.0,PT1H
2024-05-03T05:00:00Z,12.0,55.0,0.0,PT1H
2024-05-03T06:00:00Z,12.0,55.0,13.0,PT1H
2024-05-03T07:00:00Z,12.0,60.0,65.0,PT1H
2024-05-03T08:00:00Z,14.0,66.0,120.0,PT1H
2024-05-03T09:00:00Z,15.0,62.0,206.0,PT1H
2024-05-03T10:00:00Z,17.0,56.0,305.0,PT1H
2024-05-03T11:00:00Z,18.0,52.0,384.0,PT1H
2024-05-03T12:00:00Z,20.0,48.0,455.0,PT1H
2024-05-03T13:00:00Z,20.0,46.0,487.0,PT1H
2024-05-03T14:00:00Z,21.0,47.0,460.0,PT1H
2024-05-03T15:00:00Z,21.0,46.0,418.0,PT1H
2024-05-03T16:00:00Z,21.0,45.0,355.0,PT1H
2024-05-03T17:00:00Z,20.0,45.0,265.0,PT1H
2024-05-03T18:00:00Z,18.0,46.0,163.0,PT1H
2024-05-03T19:00:00Z,16.0,44.0,71.0,PT1H
2024-05-03T20:00:00Z,14.0,44.0,6.0,PT1H
2024-05-03T21:00:00Z,13.0,43.0,0.0,PT1H
2024-05-03T22:00:00Z,12.0,42.0,0.0,PT1H
2024-05-03T23:00:00Z,12.0,40.0,0.0,PT1H
2024-05-04,11.0,37.0,0.0,PT1H
2024-05-04T01:00:00Z,11.0,35.0,0.0,PT1H
2024-05-04T02:00:00Z,11.0,34.0,0.0,PT1H
2024-05-04T03:00:00Z,11.0,31.0,0.0,PT1H
2024-05-04T04:00:00Z,11.0,31.0,0.0,PT1H
2024-05-04T05:00:00Z,11.0,30.0,0.0,PT1H
2024-05-04T06:00:00Z,11.0,30.0,22.0,PT1H
2024-05-04T07:00:00Z,12.0,27.0,128.0,PT1H
2024-05-04T08:00:00Z,14.0,20.0,283.0,PT1H
2024-05-04T09:00:00Z,15.0,18.0,434.0,PT1H
2024-05-04T10:00:00Z,16.0,18.0,564.0,PT1H
2024-05-04T11:00:00Z,18.0,13.0,698.0,PT1H
2024-05-04T12:00:00Z,19.0,12.0,775.0,PT1H
2024-05-04T13:00:00Z,20.0,15.0,759.0,PT1H
2024-05-04T14:00:00Z,21.0,16.0,719.0,PT1H
2024-05-04T15:00:00Z,20.0,19.0,630.0,PT1H
2024-05-04T16:00:00Z,20.0,20.0,521.0,PT1H
2024-05-04T17:00:00Z,20.0,16.0,408.0,PT1H
2024-05-04T18:00:00Z,20.0,13.0,268.0,PT1H
2024-05-04T19:00:00Z,18.0,14.0,113.0,PT1H
2024-05-04T20:00:00Z,16.0,12.0,11.0,PT1H
2024-05-04T21:00:00Z,15.0,10.0,0.0,PT1H
2024-05-04T22:00:00Z,15.0,11.0,0.0,PT1H
2024-05-04T23:00:00Z,13.0,10.0,0.0,PT1H
2024-05-05,11.0,9.0,0.0,PT1H
2024-05-05T01:00:00Z,10.0,9.0,0.0,PT1H
2024-05-05T02:00:00Z,10.0,9.0,0.0,PT1H
2024-05-05T03:00:00Z,9.0,8.0,0.0,PT1H
2024-05-05T04:00:00Z,8.0,0.0,0.0,PT1H
2024-05-05T05:00:00Z,8.0,0.0,0.0,PT1H
2024-05-05T06:00:00Z,8.0,0.0,36.0,PT1H
2024-05-05T07:00:00Z,10.0,0.0,184.0,PT1H
2024-05-05T08:00:00Z,12.0,0.0,364.0,PT1H
2024-05-05T09:00:00Z,14.0,0.0,540.0,PT1H
2024-05-05T10:00:00Z,16.0,0.0,692.0,PT1H
2024-05-05T11:00:00Z,18.0,0.0,808.0,PT1H
2024-05-05T12:00:00Z,20.0,0.0,876.0,PT1H
2024-05-05T13:00:00Z,21.0,4.0,854.0,PT1H
2024-05-05T14:00:00Z,22.0,8.0,794.0,PT1H
2024-05-05T15:00:00Z,22.0,13.0,675.0,PT1H
2024-05-05T16:00:00Z,22.0,16.0,537.0,PT1H
2024-05-05T17:00:00Z,22.0,18.0,392.0,PT1H
2024-05-05T18:00:00Z,21.0,20.0,240.0,PT1H
2024-05-05T19:00:00Z,18.0,24.0,99.0,PT1H
2024-05-05T20:00:00Z,16.0,27.0,9.0,PT1H
2024-05-05T21:00:00Z,15.0,28.0,0.0,PT1H
2024-05-05T22:00:00Z,14.0,29.0,0.0,PT1H
2024-05-05T23:00:00Z,14.0,31.0,0.0,PT1H
2024-05-06,13.0,31.0,0.0,PT1H
2024-05-06T01:00:00Z,12.0,31.0,0.0,PT1H
2024-05-06T02:00:00Z,11.0,28.0,0.0,PT1H
2024-05-06T03:00:00Z,11.0,25.0,0.0,PT1H
2024-05-06T04:00:00Z,10.0,23.0,0.0,PT1H
2024-05-06T05:00:00Z,10.0,21.0,0.0,PT1H
2024-05-06T06:00:00Z,10.0,20.0,27.0,PT1H
2024-05-06T07:00:00Z,12.0,23.0,133.0,PT1H
2024-05-06T08:00:00Z,13.0,30.0,241.0,PT1H
2024-05-06T09:00:00Z,14.0,35.0,337.0,PT1H
2024-05-06T10:00:00Z,14.0,33.0,444.0,PT1H
2024-05-06T11:00:00Z,16.0,32.0,535.0,PT1H
2024-05-06T12:00:00Z,18.0,29.0,607.0,PT1H
2024-05-06T13:00:00Z,20.0,28.0,628.0,PT1H
2024-05-06T14:00:00Z,20.0,30.0,586.0,PT1H
2024-05-06T15:00:00Z,20.0,33.0,506.0,PT1H
2024-05-06T16:00:00Z,20.0,36.0,402.0,PT1H
2024-05-06T17:00:00Z,19.0,40.0,282.0,PT1H
2024-05-06T18:00:00Z,18.0,41.0,175.0,PT1H
2024-05-06T19:00:00Z,16.0,37.0,80.0,PT1H
2024-05-06T20:00:00Z,14.0,33.0,9.0,PT1H
2024-05-06T21:00:00Z,13.0,30.0,0.0,PT1H
2024-05-06T22:00:00Z,12.0,28.0,0.0,PT1H
2024-05-06T23:00:00Z,12.0,27.0,0.0,PT1H
2024-05-07,11.0,27.0,0.0,PT1H
2024-05-07T01:00:00Z,10.0,26.0,0.0,PT1H
2024-05-07T02:00:00Z,10.0,25.0,0.0,PT1H
2024-05-07T03:00:00Z,9.0,26.0,0.0,PT1H
2024-05-07T04:00:00Z,9.0,30.0,0.0,PT1H
2024-05-07T05:00:00Z,8.0,33.0,0.0,PT1H
