air_temp,cloud_opacity,ghi,period_end,period
13,0,445,2024-03-27T14:00:00Z,PT1H
13,2,280,2024-03-27T15:00:00Z,PT1H
13,25,98,2024-03-27T16:00:00Z,PT1H
11,24,11,2024-03-27T17:00:00Z,PT1H
10,21,0,2024-03-27T18:00:00Z,PT1H
9,26,0,2024-03-27T19:00:00Z,PT1H
8,30,0,2024-03-27T20:00:00Z,PT1H
7,37,0,2024-03-27T21:00:00Z,PT1H
7,47,0,2024-03-27T22:00:00Z,PT1H
7,56,0,2024-03-27T23:00:00Z,PT1H
8,62,0,2024-03-28,PT1H
8,64,0,2024-03-28T01:00:00Z,PT1H
8,65,0,2024-03-28T02:00:00Z,PT1H
7,65,0,2024-03-28T03:00:00Z,PT1H
7,65,0,2024-03-28T04:00:00Z,PT1H
8,65,5,2024-03-28T05:00:00Z,PT1H
9,58,38,2024-03-28T06:00:00Z,PT1H
11,56,91,2024-03-28T07:00:00Z,PT1H
13,62,141,2024-03-28T08:00:00Z,PT1H
12,62,192,2024-03-28T09:00:00Z,PT1H
10,59,250,2024-03-28T10:00:00Z,PT1H
10,57,295,2024-03-28T11:00:00Z,PT1H
12,51,341,2024-03-28T12:00:00Z,PT1H
14,41,379,2024-03-28T13:00:00Z,PT1H
15,23,395,2024-03-28T14:00:00Z,PT1H
15,12,311,2024-03-28T15:00:00Z,PT1H
14,15,147,2024-03-28T16:00:00Z,PT1H
12,16,22,2024-03-28T17:00:00Z,PT1H
11,19,0,2024-03-28T18:00:00Z,PT1H
10,18,0,2024-03-28T19:00:00Z,PT1H
10,18,0,2024-03-28T20:00:00Z,PT1H
10,16,0,2024-03-28T21:00:00Z,PT1H
10,13,0,2024-03-28T22:00:00Z,PT1H
10,12,0,2024-03-28T23:00:00Z,PT1H
10,13,0,2024-03-29,PT1H
10,13,0,2024-03-29T01:00:00Z,PT1H
10,13,0,2024-03-29T02:00:00Z,PT1H
10,12,0,2024-03-29T03:00:00Z,PT1H
11,11,0,2024-03-29T04:00:00Z,PT1H
11,12,31,2024-03-29T05:00:00Z,PT1H
10,13,170,2024-03-29T06:00:00Z,PT1H
10,3,370,2024-03-29T07:00:00Z,PT1H
11,0,545,2024-03-29T08:00:00Z,PT1H
12,0,674,2024-03-29T09:00:00Z,PT1H
13,0,755,2024-03-29T10:00:00Z,PT1H
14,0,781,2024-03-29T11:00:00Z,PT1H
15,0,751,2024-03-29T12:00:00Z,PT1H
16,0,666,2024-03-29T13:00:00Z,PT1H
16,0,533,2024-03-29T14:00:00Z,PT1H
16,2,361,2024-03-29T15:00:00Z,PT1H
15,8,167,2024-03-29T16:00:00Z,PT1H
13,5,27,2024-03-29T17:00:00Z,PT1H
