air_temp,cloud_opacity,ghi,period_end,period
12,10,132,2024-03-27T16:00:00Z,PT1H
10,30,16,2024-03-27T17:00:00Z,PT1H
8,46,0,2024-03-27T18:00:00Z,PT1H
8,52,0,2024-03-27T19:00:00Z,PT1H
8,56,0,2024-03-27T20:00:00Z,PT1H
8,57,0,2024-03-27T21:00:00Z,PT1H
8,58,0,2024-03-27T22:00:00Z,PT1H
8,57,0,2024-03-27T23:00:00Z,PT1H
8,56,0,2024-03-28,PT1H
7,59,0,2024-03-28T01:00:00Z,PT1H
7,62,0,2024-03-28T02:00:00Z,PT1H
7,64,0,2024-03-28T03:00:00Z,PT1H
8,65,0,2024-03-28T04:00:00Z,PT1H
8,67,4,2024-03-28T05:00:00Z,PT1H
9,66,32,2024-03-28T06:00:00Z,PT1H
10,66,78,2024-03-28T07:00:00Z,PT1H
11,69,120,2024-03-28T08:00:00Z,PT1H
9,68,171,2024-03-28T09:00:00Z,PT1H
8,62,253,2024-03-28T10:00:00Z,PT1H
10,54,337,2024-03-28T11:00:00Z,PT1H
12,43,419,2024-03-28T12:00:00Z,PT1H
14,32,446,2024-03-28T13:00:00Z,PT1H
14,18,430,2024-03-28T14:00:00Z,PT1H
14,8,335,2024-03-28T15:00:00Z,PT1H
13,15,156,2024-03-28T16:00:00Z,PT1H
11,15,25,2024-03-28T17:00:00Z,PT1H
10,16,0,2024-03-28T18:00:00Z,PT1H
10,16,0,2024-03-28T19:00:00Z,PT1H
9,16,0,2024-03-28T20:00:00Z,PT1H
9,16,0,2024-03-28T21:00:00Z,PT1H
9,22,0,2024-03-28T22:00:00Z,PT1H
9,26,0,2024-03-28T23:00:00Z,PT1H
10,26,0,2024-03-29,PT1H
10,26,0,2024-03-29T01:00:00Z,PT1H
11,26,0,2024-03-29T02:00:00Z,PT1H
10,24,0,2024-03-29T03:00:00Z,PT1H
10,21,0,2024-03-29T04:00:00Z,PT1H
9,24,23,2024-03-29T05:00:00Z,PT1H
9,27,137,2024-03-29T06:00:00Z,PT1H
9,21,298,2024-03-29T07:00:00Z,PT1H
10,16,459,2024-03-29T08:00:00Z,PT1H
12,12,599,2024-03-29T09:00:00Z,PT1H
13,7,717,2024-03-29T10:00:00Z,PT1H
14,3,772,2024-03-29T11:00:00Z,PT1H
15,2,752,2024-03-29T12:00:00Z,PT1H
15,1,672,2024-03-29T13:00:00Z,PT1H
15,0,542,2024-03-29T14:00:00Z,PT1H
15,2,367,2024-03-29T15:00:00Z,PT1H
14,9,170,2024-03-29T16:00:00Z,PT1H
12,7,30,2024-03-29T17:00:00Z,PT1H
10,7,0,2024-03-29T18:00:00Z,PT1H
10,7,0,2024-03-29T19:00:00Z,PT1H
10,7,0,2024-03-29T20:00:00Z,PT1H
