period_end,air_temp,cloud_opacity,ghi,period
2024-05-02T08:00:00Z,0.0,0.0,0.0,0
2024-05-02T09:00:00Z,0.0,0.0,0.0,0
2024-05-02T10:00:00Z,16.0,6.0,655.0,PT1H
2024-05-02T11:00:00Z,17.0,4.0,783.0,PT1H
2024-05-02T12:00:00Z,18.0,18.0,719.0,PT1H
2024-05-02T13:00:00Z,19.0,26.0,666.0,PT1H
2024-05-02T14:00:00Z,20.0,21.0,677.0,PT1H
2024-05-02T15:00:00Z,20.0,22.0,599.0,PT1H
2024-05-02T16:00:00Z,20.0,29.0,451.0,PT1H
2024-05-02T17:00:00Z,20.0,36.0,302.0,PT1H
2024-05-02T18:00:00Z,19.0,42.0,169.0,PT1H
2024-05-02T19:00:00Z,17.0,44.0,66.0,PT1H
2024-05-02T20:00:00Z,15.0,47.0,5.0,PT1H
2024-05-02T21:00:00Z,14.0,48.0,0.0,PT1H
2024-05-02T22:00:00Z,13.0,48.0,0.0,PT1H
2024-05-02T23:00:00Z,13.0,48.0,0.0,PT1H
2024-05-03,13.0,49.0,0.0,PT1H
2024-05-03T01:00:00Z,13.0,52.0,0.0,PT1H
2024-05-03T02:00:00Z,13.0,56.0,0.0,PT1H
2024-05-03T03:00:00Z,12.0,57.0,0.0,PT1H
2024-05-03T04:00:00Z,12.0,57.0,0.0,PT1H
2024-05-03T05:00:00Z,11.0,56.0,0.0,PT1H
2024-05-03T06:00:00Z,11.0,56.0,11.0,PT1H
2024-05-03T07:00:00Z,12.0,64.0,57.0,PT1H
2024-05-03T08:00:00Z,13.0,71.0,99.0,PT1H
2024-05-03T09:00:00Z,14.0,69.0,162.0,PT1H
2024-05-03T10:00:00Z,15.0,64.0,245.0,PT1H
2024-05-03T11:00:00Z,16.0,60.0,318.0,PT1H
2024-05-03T12:00:00Z,17.0,56.0,384.0,PT1H
2024-05-03T13:00:00Z,18.0,54.0,407.0,PT1H
2024-05-03T14:00:00Z,19.0,57.0,368.0,PT1H
2024-05-03T15:00:00Z,19.0,57.0,329.0,PT1H
2024-05-03T16:00:00Z,17.0,54.0,296.0,PT1H
2024-05-03T17:00:00Z,16.0,51.0,236.0,PT1H
2024-05-03T18:00:00Z,15.0,49.0,155.0,PT1H
2024-05-03T19:00:00Z,14.0,44.0,72.0,PT1H
2024-05-03T20:00:00Z,13.0,41.0,7.0,PT1H
2024-05-03T21:00:00Z,12.0,41.0,0.0,PT1H
2024-05-03T22:00:00Z,12.0,43.0,0.0,PT1H
2024-05-03T23:00:00Z,11.0,44.0,0.0,PT1H
2024-05-04,10.0,40.0,0.0,PT1H
2024-05-04T01:00:00Z,10.0,36.0,0.0,PT1H
2024-05-04T02:00:00Z,10.0,32.0,0.0,PT1H
2024-05-04T03:00:00Z,10.0,28.0,0.0,PT1H
2024-05-04T04:00:00Z,9.0,28.0,0.0,PT1H
2024-05-04T05:00:00Z,10.0,28.0,0.0,PT1H
2024-05-04T06:00:00Z,10.0,29.0,21.0,PT1H
2024-05-04T07:00:00Z,11.0,28.0,123.0,PT1H
2024-05-04T08:00:00Z,12.0,22.0,275.0,PT1H
2024-05-04T09:00:00Z,14.0,18.0,435.0,PT1H
2024-05-04T10:00:00Z,16.0,14.0,586.0,PT1H
2024-05-04T11:00:00Z,17.0,10.0,727.0,PT1H
2024-05-04T12:00:00Z,18.0,12.0,775.0,PT1H
2024-05-04T13:00:00Z,19.0,18.0,739.0,PT1H
2024-05-04T14:00:00Z,20.0,23.0,664.0,PT1H
2024-05-04T15:00:00Z,20.0,27.0,572.0,PT1H
2024-05-04T16:00:00Z,20.0,28.0,467.0,PT1H
2024-05-04T17:00:00Z,19.0,29.0,346.0,PT1H
2024-05-04T18:00:00Z,19.0,28.0,225.0,PT1H
2024-05-04T19:00:00Z,17.0,19.0,106.0,PT1H
2024-05-04T20:00:00Z,15.0,11.0,11.0,PT1H
2024-05-04T21:00:00Z,13.0,9.0,0.0,PT1H
2024-05-04T22:00:00Z,12.0,9.0,0.0,PT1H
2024-05-04T23:00:00Z,11.0,9.0,0.0,PT1H
2024-05-05,10.0,8.0,0.0,PT1H
2024-05-05T01:00:00Z,10.0,0.0,0.0,PT1H
2024-05-05T02:00:00Z,9.0,0.0,0.0,PT1H
2024-05-05T03:00:00Z,9.0,0.0,0.0,PT1H
2024-05-05T04:00:00Z,8.0,0.0,0.0,PT1H
2024-05-05T05:00:00Z,8.0,0.0,0.0,PT1H
2024-05-05T06:00:00Z,8.0,0.0,33.0,PT1H
2024-05-05T07:00:00Z,10.0,0.0,179.0,PT1H
2024-05-05T08:00:00Z,12.0,0.0,359.0,PT1H
2024-05-05T09:00:00Z,15.0,0.0,536.0,PT1H
2024-05-05T10:00:00Z,17.0,0.0,690.0,PT1H
2024-05-05T11:00:00Z,18.0,0.0,807.0,PT1H
2024-05-05T12:00:00Z,20.0,2.0,863.0,PT1H
2024-05-05T13:00:00Z,21.0,8.0,826.0,PT1H
2024-05-05T14:00:00Z,21.0,11.0,764.0,PT1H
2024-05-05T15:00:00Z,21.0,21.0,617.0,PT1H
2024-05-05T16:00:00Z,21.0,29.0,459.0,PT1H
2024-05-05T17:00:00Z,21.0,34.0,321.0,PT1H
2024-05-05T18:00:00Z,20.0,34.0,201.0,PT1H
2024-05-05T19:00:00Z,18.0,29.0,93.0,PT1H
2024-05-05T20:00:00Z,16.0,26.0,10.0,PT1H
2024-05-05T21:00:00Z,14.0,26.0,0.0,PT1H
2024-05-05T22:00:00Z,13.0,29.0,0.0,PT1H
2024-05-05T23:00:00Z,12.0,33.0,0.0,PT1H
2024-05-06,12.0,32.0,0.0,PT1H
2024-05-06T01:00:00Z,11.0,27.0,0.0,PT1H
2024-05-06T02:00:00Z,11.0,21.0,0.0,PT1H
2024-05-06T03:00:00Z,10.0,19.0,0.0,PT1H
2024-05-06T04:00:00Z,10.0,20.0,0.0,PT1H
2024-05-06T05:00:00Z,10.0,21.0,0.0,PT1H
2024-05-06T06:00:00Z,10.0,22.0,24.0,PT1H
2024-05-06T07:00:00Z,12.0,25.0,126.0,PT1H
2024-05-06T08:00:00Z,13.0,29.0,242.0,PT1H
2024-05-06T09:00:00Z,13.0,29.0,366.0,PT1H
2024-05-06T10:00:00Z,14.0,26.0,493.0,PT1H
2024-05-06T11:00:00Z,16.0,19.0,638.0,PT1H
2024-05-06T12:00:00Z,18.0,20.0,688.0,PT1H
2024-05-06T13:00:00Z,19.0,26.0,645.0,PT1H
2024-05-06T14:00:00Z,19.0,31.0,582.0,PT1H
2024-05-06T15:00:00Z,19.0,34.0,504.0,PT1H
2024-05-06T16:00:00Z,19.0,32.0,430.0,PT1H
2024-05-06T17:00:00Z,19.0,32.0,324.0,PT1H
2024-05-06T18:00:00Z,17.0,31.0,206.0,PT1H
2024-05-06T19:00:00Z,16.0,27.0,94.0,PT1H
2024-05-06T20:00:00Z,14.0,22.0,10.0,PT1H
2024-05-06T21:00:00Z,13.0,19.0,0.0,PT1H
2024-05-06T22:00:00Z,12.0,18.0,0.0,PT1H
2024-05-06T23:00:00Z,12.0,17.0,0.0,PT1H
2024-05-07,11.0,18.0,0.0,PT1H
2024-05-07T01:00:00Z,11.0,20.0,0.0,PT1H
2024-05-07T02:00:00Z,10.0,22.0,0.0,PT1H
2024-05-07T03:00:00Z,10.0,25.0,0.0,PT1H
2024-05-07T04:00:00Z,9.0,29.0,0.0,PT1H
2024-05-07T05:00:00Z,8.0,32.0,0.0,PT1H
