air_temp,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,period_end,period
9,223,222,4.2,3.2,2024-12-19T10:00:00Z,PT15M
9,224,222,4.2,3.2,2024-12-19T10:15:00Z,PT15M
10,224,222,4.1,3.2,2024-12-19T10:30:00Z,PT15M
10,223,222,4.1,3.2,2024-12-19T10:45:00Z,PT15M
10,223,221,4.1,3.2,2024-12-19T11:00:00Z,PT15M
10,221,219,4.1,3.2,2024-12-19T11:15:00Z,PT15M
10,218,216,4.2,3.2,2024-12-19T11:30:00Z,PT15M
10,215,213,4.3,3.3,2024-12-19T11:45:00Z,PT15M
10,213,210,4.4,3.4,2024-12-19T12:00:00Z,PT15M
10,211,208,4.4,3.3,2024-12-19T12:15:00Z,PT15M
10,210,207,4.3,3.1,2024-12-19T12:30:00Z,PT15M
10,208,207,4.2,2.9,2024-12-19T12:45:00Z,PT15M
10,207,206,4.1,2.7,2024-12-19T13:00:00Z,PT15M
10,206,204,4,2.5,2024-12-19T13:15:00Z,PT15M
10,203,200,3.9,2.4,2024-12-19T13:30:00Z,PT15M
9,201,195,3.8,2.3,2024-12-19T13:45:00Z,PT15M
9,199,191,3.7,2.2,2024-12-19T14:00:00Z,PT15M
8,195,185,3.8,2.2,2024-12-19T14:15:00Z,PT15M
8,190,180,4.1,2.4,2024-12-19T14:30:00Z,PT15M
8,185,176,4.4,2.6,2024-12-19T14:45:00Z,PT15M
8,182,172,4.7,2.8,2024-12-19T15:00:00Z,PT15M
8,179,170,5,3,2024-12-19T15:15:00Z,PT15M
8,178,170,5.2,3,2024-12-19T15:30:00Z,PT15M
8,177,169,5.5,3.1,2024-12-19T15:45:00Z,PT15M
7,176,169,5.7,3.1,2024-12-19T16:00:00Z,PT15M
7,176,170,5.8,3.1,2024-12-19T16:15:00Z,PT15M
7,177,171,5.9,3.1,2024-12-19T16:30:00Z,PT15M
7,178,172,5.9,3.1,2024-12-19T16:45:00Z,PT15M
7,179,174,6,3,2024-12-19T17:00:00Z,PT15M
7,180,175,6,3,2024-12-19T17:15:00Z,PT15M
7,182,178,6,3,2024-12-19T17:30:00Z,PT15M
7,183,180,6.1,3,2024-12-19T17:45:00Z,PT15M
7,185,183,6.1,3,2024-12-19T18:00:00Z,PT15M
7,186,184,6.1,3,2024-12-19T18:15:00Z,PT15M
7,186,184,6,2.9,2024-12-19T18:30:00Z,PT15M
7,187,184,6,2.9,2024-12-19T18:45:00Z,PT15M
6,188,184,5.9,2.8,2024-12-19T19:00:00Z,PT15M
6,188,185,5.9,2.8,2024-12-19T19:15:00Z,PT15M
6,189,186,6,2.9,2024-12-19T19:30:00Z,PT15M
6,189,186,6.1,2.9,2024-12-19T19:45:00Z,PT15M
6,190,187,6.2,2.9,2024-12-19T20:00:00Z,PT15M
6,190,188,6.3,2.9,2024-12-19T20:15:00Z,PT15M
6,190,187,6.2,2.8,2024-12-19T20:30:00Z,PT15M
6,190,187,6.1,2.7,2024-12-19T20:45:00Z,PT15M
6,190,187,6,2.7,2024-12-19T21:00:00Z,PT15M
